Adalberto Panobianco Bergamasco, Professor Associado, SMA
Adenilso da Silva Simão, Professor Doutor, SSC
Afonso Paiva Neto, Professor Doutor, SME
Agma Juci Machado Traina, Professor Titular, SCC
Alexandre Cláudio Botazzo Delbem, Professor Associado, SSC
Alexandre Nolasco de Carvalho, Professor Titular, SMA
Ali Tahzibi, Professor Associado, SMA
Alneu de Andrade Lopes, Professor Doutor, SCC
Alysson Machado Costa, Professor Doutor, SME
Ana Claudia Nabarro, Professor Doutor, SMA
Ana Paula Peron, Professor Doutor, SMA
André Carlos Ponce de Leon Ferreira de Carvalho, Professor Titular, SCC
Antonio Castelo Filho, Professor Associado, SME
Caetano Traina Junior, Professor Titular, SCC
Carlos Alberto Maquera Apaza, Professor Doutor, SMA
Carlos Biasi, Professor Doutor, SMA
Carlos Henrique Grossi Ferreira, Professor Doutor, SMA
Cibele Maria Russo Noveli, Professor Doutor, SME
Cláudio Fabiano Motta Toledo, Professor Doutor, SSC
Cristina Dutra de Aguiar Ciferri, Professor Doutor, SCC
Daniel Levcovitz, Professor Associado, SMA
Daniel Smania Brandão, Professor Associado, SMA
Denis Fernando Wolf, Professor Doutor, SSC
Denise de Mattos, Professor Doutor, SMA
Dilvan de Abreu Moreira, Professor Doutor, SCC
Dorival Leão Pinto Junior, Professor Doutor, SME
Ederson Moreira dos Santos, Professor Doutor, SMA
Edna Maura Zuffi, Professor Doutor, SMA
Edson dos Santos Moreira, Professor Titular, SSC
Eduardo do Valle Simões, Professor Doutor, SSC
Eduardo Fontoura Costa, Professor Associado, SME
Eduardo Marques, Professor Associado, SSC
Eduardo Raul Hruschka, Professor Doutor, SCC
Eduardo Tengan, Professor Doutor, SMA
Elaine Parros Machado de Sousa, Professor Doutor, SCC
Elias Salomão Helou Neto, Professor Doutor, SME
Elisa Yumi Nakagawa, Professor Doutor, SSC
Ellen Francine Barbosa, Professor Doutor, SSC
Esther Pacheco de Almeida Prado, Professor Doutor, SMA
Eugenio Tommaso Massa, Professor Associado, SMA
Evandro Raimundo da Silva, Professor Doutor, SMA
Everaldo de Mello Bonotto, Professor Doutor, SME
Eyüp Kizil, Professor Doutor, SMA
Fabrício Simeoni de Sousa, Professor Doutor, SME
Fernando Manfio, Professor Doutor, SMA
Fernando Santos Osório, Professor Doutor, SSC
Fernando Vieira Paulovich, Professor Doutor, SCC
Francisco Aparecido Rodrigues, Professor Doutor, SME
Francisco José Monaco, Professor Doutor, SSC
Franklina Maria Bragion de Toledo, Professor Doutor, SME
Gustavo Carlos Buscaglia, Prof. Titular, SME
Gustavo Enrique de Almeida Prado Alves Batista, Professor Doutor, SCC
Herivelto Martins Borges Filho, Professor Doutor, SMA
Hermano de Souza Ribeiro, Professor Doutor, SMA
Hildebrando Munhoz Rodrigues, Professor Titular, SME
Igor Mencattini, Professor Doutor, SMA
Irene Ignazia Onnis, Professor Doutor, SMA
Ires Dias, Professor Doutor, SMA
Janete Crema, Professor Doutor, SMA
Jo Ueyama, Prof. Doutor, SSC
João do Espirito Santo Batista Neto, Professor Doutor, SCC
João Luis Garcia Rosa, Professor Doutor, SCC
João Porto de Albuquerque, Professor Doutor, SSC
Jorge Luiz e Silva, Professor Doutor, SSC
José Alberto Cuminato, Professor Titular, SME
José Carlos Maldonado, Professor Titular, SSC
José Eduardo Prado Pires de Campos, Professor Doutor, SMA
José Fernando Rodrigues Junior, Professor Doutor, SCC
Juliana Cobre, Professor Doutor, SME
Júlio Cézar Estrella, Professor Doutor, SSC
Kalinka Regina L. J. Castelo Branco, Professor Doutor, SSC
Leandro Fiorini Aurichi, Professor Doutor, SMA
Leandro Franco de Souza, Professor Doutor, SME
Luis Gustavo Nonato, Professor Associado, SME
Ma To Fu, Professor Associado, SMA
Marcelo José Saia, Professor Titular, SMA
Marcia Cristina Anderson Braz Federson, Professor Associado, SMA
Marcio Eduardo Delamaro, Professor Associado, SSC
Marcio Fuzeto Gameiro, Professor Doutor, SME
Marcos José Santana, Professor Associado, SSC
Marcos Nereu Arenales, Professor Titular, SME
Maria Aparecida Soares Ruas, Professor Titular, SMA
Maria Carolina Monard, Professor Titular, SCC
Maria Cristina Ferreira de Oliveira, Professor Titular, SCC
Maria da Graça Campos Pimentel, Professor Associado, SCC
Maria das Graças Volpe Nunes, Professor Associado, SCC
Maria do Carmo Carbinatto, Professor Associado, SMA
Maria Luisa Bambozzi de Oliveira, Professor Doutor, SME
Mariana Cúri, Professor Doutor, SME
Marina Andretta, Professor Doutor, SME
Marinho Gomes de Andrade Filho, Professor Associado, SME
Mario de Castro Andrade Filho, Professor Doutor, SME
Maristela Oliveira dos Santos, Professor Doutor, SME
Mauro Flavio Spreafico, Professor Titular, SMA
Miguel Vinicius Santini Frasson, Professor Doutor, SME
Miriam Cardoso Utsumi, Professor Doutor, SMA
Miriam Garcia Manoel, Professor Doutor, SMA
Moacir Pereira Ponti Junior, Professor Doutor, SCC
Murilo Francisco Tomé, Professor Associado, SME
Nivaldo de Goes Grulha Junior, Professor Doutor, SMA
Onofre Trindade Junior, Professor Doutor, SSC
Oziride Manzoli Neto, Professor Associado, SMA
Paulo Afonso Faria da Veiga, Professor Associado, SME
Paulo Cesar Masiero, Professor Titular, SSC
Paulo Leandro Dattori da Silva, Professor Doutor, SMA
Paulo Sergio Lopes de Souza, Professor Doutor, SSC
Pedro Paulo de Magalhães Rios, Professor Doutor, SMA
Raimundo Nonato Araújo dos Santos, Professor Doutor, SMA
Regilene Delazari dos Santos Oliveira, Professor Doutor, SMA
Regina Helena Carlucci Santana, Professor Associado, SSC
Reiko Aoki, Professor Doutor, SME
Renata Cristina Geromel Meneghetti, Professor Doutor, SMA
Renata Pontin de Mattos Fortes, Professor Associado, SCC
Ricardo José Gabrielli Barreto Campello, Professor Doutor, SCC
Ricardo Sandes Ehlers, Professor Doutor, SME
