"International Conference on Building Energy and Environment","COBEE","Not ranked"
"International Conference on Engineering Management","ICEM","Not ranked"
"International Conference on Biomedical Robotics and Biomechatronics","BIO ROB","B"
"3-D Digital Imaging and Modelling","3DIM","C"
"A Satellite workshop on Formal Approaches to Testing of Software","FATES","C"
"AAEE - Annual Conference of Australasian Association for Engineering Education",,"B"
"Accelerating excellence in the built environment World Conference","WCAEBE","C"
"Accounting and Finance Association of Australia and New Zealand Conference","AFAANZ","C"
"ACIS Conference on Software Engineering Research, Management and Applications","SERA","C"
"ACM Annual Computer Science Conference","CSC","C"
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","SIGCOMM","A"
"ACM Conference on Computer and Communications Security","CCS","A"
"ACM Conference on Computer Supported Cooperative Work","CSCW","A"
"ACM Conference on Electronic Commerce","EC","B"
"ACM Conference on Embedded Networked Sensor Systems","SENSYS","A"
"ACM Conference on Embedded Software","EMSOFT","A"
"ACM Conference on Hypertext and Hypermedia","Hypertext","A"
"ACM Conference on Object Oriented Programming Systems Languages and Applications","OOPSLA","A"
"ACM Creativity and Cognition","CC","A"
"ACM Digital Rights Management Workshop","DRM","C"
"ACM Information Technology Education","SIGITE","C"
"ACM International Conference on Advances in Geographic Information Systems","SIGSPATIAL","B"
"ACM International Conference on Digital Interactive Media in Entertainment and Arts","DIMEA","B"
"ACM International Conference on Emerging Networking Experiments and Technologies","CoNEXT","A"
"ACM International Conference on Information and Knowledge Management","CIKM","A"
"ACM International Conference on Knowledge Discovery and Data Mining","SIGKDD","A"
"ACM International Conference on Mobile Computing and Networking","MOBICOM","A"
"ACM International Conference on Recommender Systems","RecSys","B"
"ACM International Conference on Research and Development in Information Retrieval","SIGIR","A"
"ACM International Conference on Supercomputing","ICS","A"
"ACM International Conference on Web Search and Data Mining","WSDM","B"
"ACM International Symposium on Computer Architecture","ISCA","A"
"ACM International Symposium on High Performance Distributed Computing","HPDC","A"
"ACM International Wireless Communications and Mobile Computing Conference","IWCMC","B"
"ACM International Workshop On Multimedia Databases","MMDB","C"
"ACM International Workshop on. Mobility Management and Wireless Access","MobiWac","B"
"ACM Multimedia","ACMMM","A"
"ACM SIG International Conference on Computer Graphics and Interactive Techniques","SIGGRAPH","A"
"ACM SIG on Computer and Communications Metrics and Performance","SIGMETRICS","A"
