1,"Algoritmos e Teoria da Computação"
2,"Bancos de Dados, Recuperação de Informação, Bibliotecas Digitais, Mineração de Dados"
3,"Biologia Computacional"
4,"Computação Aplicada"
5,"Computação Gráfica, Processamento de Imagens, Visão Computacional"
6,"Concepção de Circuitos Integrados"
7,"Engenharia de Software, Métodos Formais"
8,"Geoinformática"
9,"Informática na Educação"
10,"Inteligência Artificial"
11,"Interação Humano Computador, Sistemas Colaborativos"
12,"Linguagens de Programação"
13,"Multitemáticas"
14,"Pesquisa Operacional e Otimização Combinatória"
15,"Redes de Computadores, Sistemas Distribuídos, Sistemas P2P"
16,"Simulação e Modelagem"
19,"Jogos e Entretenimento, Realidade Virtual"
18,"Web, Sistemas Multimídia e Hipermídia"
21,"Sistemas de Informação"
22,"Aprendizado de Máquina"
23,"Robótica, Controle e Automação"
25,"Segurança"
26,"Arquitetura de Computadores, Processamento de Alto Desempenho, Sistemas Operacionais"
27,"Sistemas Embarcados, Sistemas de Tempo Real, Sistemas Tolerantes a Falhas"
28,"Computação Ubíqua"
29,"Formalismos, Lógica, Semântica da Computação"
30,"Processamento de Língua Natural"
