"ID","ShortName","NAME","IDGRUPO","POS","RANK","CLASS"
6218,"VRST","ACM Virtual Reality Software and Technology",19,1,1.00000,"A"
5921,"MOBICOM","ACM International Conference on Mobile Computing and Networking",28,2,1.00000,"A"
6216,"VR","IEEE Virtual Reality Conference",19,3,1.00000,"A"
5846,"INFOCOM","Annual Joint Conference of the IEEE Computer and Communications Societies ",15,4,1.00000,"A"
5611,"ACM-GIS","ACM International Symposium on Advances in Geographic Information Systems",8,5,0.98148,"A"
5466,"ICCV","IEEE International Conference on Computer Vision",5,6,0.98039,"A"
5854,"SIGCOMM","ACM Special Interest Group on Data Communications Conference",15,7,0.97980,"A"
5334,"FOCS","IEEE Symposium on Foundations of Computer Science",1,8,0.97917,"A"
5927,"MOBIHOC","ACM Symposium of Mobile and Ad-hoc Computing",28,9,0.97778,"A"
5352,"STOC","ACM Symposium on Theory of Computing",1,10,0.97143,"A"
5457,"CVPR","IEEE Conference on Computer Vision and Pattern Recognition",5,11,0.96970,"A"
5478,"SIGGRAPH","ACM International Conference on Computer Graphics and Interactive Techniques",5,12,0.96875,"A"
6134,"CSCW","ACM Conference on Computer Supported Cooperative Work",11,13,0.96552,"A"
5507,"DAC","Design Automation Conference",6,14,0.96491,"A"
5994,"ISCA","ACM International Symposium on Computer Architecture",26,15,0.96429,"A"
6137,"CHI","Conference on Human Factors in Computing Systems",11,16,0.96429,"A"
5882,"GLOBECOM","IEEE Global Telecommunications Conference",15,17,0.96190,"A"
5470,"ICIP","IEEE International Conference on Image Processing",5,18,0.95238,"A"
5508,"DATE","Design, Automation and Test in Europe Conference and Exhibition",6,19,0.95000,"A"
6280,"PROPOR","Workshop on Computational Processing of Written and Spoken Portuguese",30,20,0.94872,"A"
5347,"LICS","IEEE Symposium on Logic in Computer Science",29,21,0.94737,"A"
5661,"IJCAI","International Joint Conference on Artificial Intelligence",10,22,0.94643,"A"
5941,"CCS","ACM Conference on Computer and Communications Security",25,23,0.94444,"A"
5693,"CoNLL","Conference on Natural Language Learning",30,24,0.94444,"A"
5393,"KDD","ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",2,25,0.94340,"A"
6187,"WWW","International World Wide Web Conference",18,26,0.94118,"A"
6268,"IPDPS","IEEE International Parallel and Distributed Processing Symposium",26,27,0.94048,"A"
5715,"ICML","International Conference on Machine Learning",22,28,0.93939,"A"
