"1981-5530","ARTES / MÚSICA                                    ","@rquivo@ - Revista Eletrônica do Programa de Pós-Graduação do Instituto de Artes - UNESP - S. Paulo","B5",2008
"1981-030X","ARTES / MÚSICA                                    ","19&20 (Rio de Janeiro)","B2",2008
"0102-700X","ARTES / MÚSICA                                    ","Acervo (Rio de Janeiro)","B3",2008
"1850-2032","ARTES / MÚSICA                                    ","Actas de Diseño","A2",2008
"1850-6267","ARTES / MÚSICA                                    ","Afuera. Estudios de Crítica Cultural (En línea)","B2",2008
"1981-7827","ARTES / MÚSICA                                    ","Aisthe (Online)","B3",2008
"1518-8728","ARTES / MÚSICA                                    ","Alceu (PUCRJ)","B1",2008
"1517-106X","ARTES / MÚSICA                                    ","Alea: Estudos Neolatinos (Impresso)","A2",2008
"1679-3749","ARTES / MÚSICA                                    ","Aletria (UFMG)","B2",2008
"1405-339X","ARTES / MÚSICA                                    ","Alternativas en Psicología","B5",2008
"1678-8087","ARTES / MÚSICA                                    ","Análise & Síntese","B4",2008
"1982-8462","ARTES / MÚSICA                                    ","Ao Peda-letra (Macaé)","C ",2008
"1809-6298","ARTES / MÚSICA                                    ","Arquitextos (São Paulo)","B3",2008
"1982-3053","ARTES / MÚSICA                                    ","Arquivo Maaravi (UFMG)","C ",2008
"1678-5320","ARTES / MÚSICA                                    ","ARS (São Paulo)","A2",2008
"1806-2962","ARTES / MÚSICA                                    ","Art& (São Paulo. Online)","B4",2008
"1646-3463","ARTES / MÚSICA                                    ","ARTCIENCIA.COM","B1",2008
"1516-8603","ARTES / MÚSICA                                    ","ArtCultura (UFU)","A2",2008
"1516-1692","ARTES / MÚSICA                                    ","Arte & Ensaio (UFRJ)","A2",2008
"0103-8508","ARTES / MÚSICA                                    ","Arte e Cultura da America Latina","B5",2008
"1984-3488","ARTES / MÚSICA                                    ","Arte Institucional Número Cinco","C ",2008
"1809-8274","ARTES / MÚSICA                                    ","Artefilosofia (UFOP)","B4",2008
"0102-6550","ARTES / MÚSICA                                    ","ARTEunesp","B4",2008
"1063-2913","ARTES / MÚSICA                                    ","Arts Education Policy Review","A2",2008
"0810-4123","ARTES / MÚSICA                                    ","Australasian Drama Studies","B1",2008
"1981-710X","ARTES / MÚSICA                                    ","Berggasse19 (Rio de Janeiro)","B5",2008
"0045-1959","ARTES / MÚSICA                                    ","Biblioteca Teatrale","B1",2008
"1886-8932","ARTES / MÚSICA                                    ","Bilboquet (Madrid)","B5",2008
