"1983-6422","ASTRONOMIA / FÍSICA                               ","A Física na Escola (Impresso)","C ",2008
"0360-0300","ASTRONOMIA / FÍSICA                               ","ACM Computing Surveys","A1",2008
"1063-7710","ASTRONOMIA / FÍSICA                               ","Acoustical Physics (Print)","B5",2008
"1936-0851","ASTRONOMIA / FÍSICA                               ","ACS Nano","A2",2008
"0001-5237","ASTRONOMIA / FÍSICA                               ","Acta Astronomica","B2",2008
"0108-7673","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section A, Foundations of Crystallography","B1",2008
"0108-7681","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section B, Structural Science","B1",2008
"0108-2701","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section C, Crystal Structure Communications.","B4",2008
"0907-4449","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section D, Biological Crystallography","B1",2008
"1600-5368","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section E","B4",2008
"1744-3091","ASTRONOMIA / FÍSICA                               ","Acta Crystallographica. Section F","B4",2008
"1359-6454","ASTRONOMIA / FÍSICA                               ","Acta Materialia (Oxford)","A2",2008
"0894-9166","ASTRONOMIA / FÍSICA                               ","Acta Mechanica Solida Sinica","B5",2008
"1146-609X","ASTRONOMIA / FÍSICA                               ","Acta Oecologica (Montrouge)","B3",2008
"1219-7580","ASTRONOMIA / FÍSICA                               ","Acta Physica Hungarica. Heavy Ion Physics (Print)","B5",2008
"0587-4246","ASTRONOMIA / FÍSICA                               ","Acta Physica Polonica. A","B5",2008
"0587-4254","ASTRONOMIA / FÍSICA                               ","Acta Physica Polonica. B","B5",2008
"1899-2358","ASTRONOMIA / FÍSICA                               ","Acta Physica Polonica. B, Proceedings Supplement","B4",2008
"1210-2709","ASTRONOMIA / FÍSICA                               ","Acta Polytechnica","C ",2008
"0001-706X","ASTRONOMIA / FÍSICA                               ","Acta Tropica","B2",2008
"1616-301X","ASTRONOMIA / FÍSICA                               ","Advanced Functional Materials (Print)","A1",2008
"0935-9648","ASTRONOMIA / FÍSICA                               ","Advanced Materials (Weinheim Print)","A1",2008
"1313-1311","ASTRONOMIA / FÍSICA                               ","Advanced Studies in Theoretical Physics","C ",2008
"0898-8838","ASTRONOMIA / FÍSICA                               ","Advances in Inorganic Chemistry (Print)","A2",2008
"0001-8732","ASTRONOMIA / FÍSICA                               ","Advances in Physics","A1",2008
"0273-1177","ASTRONOMIA / FÍSICA                               ","Advances in Space Research","B4",2008
"0278-6826","ASTRONOMIA / FÍSICA                               ","Aerosol Science and Technology (Print)","B1",2008
"0094-243X","ASTRONOMIA / FÍSICA                               ","AIP Conference Proceedings","C ",2008
"0717-4055","ASTRONOMIA / FÍSICA                               ","ALASBIMN Journal","C ",2008
"0002-9505","ASTRONOMIA / FÍSICA                               ","American Journal of Physics","B3",2008
"0365-0596","ASTRONOMIA / FÍSICA                               ","Anais Brasileiros de Dermatologia (Impresso)","C ",2008
"0001-3765","ASTRONOMIA / FÍSICA                               ","Anais da Academia Brasileira de Ciências (Impresso)","B4",2008
"0003-2654","ASTRONOMIA / FÍSICA                               ","Analyst (London. 1877. Print)","A2",2008
"1873-4324","ASTRONOMIA / FÍSICA                               ","Analytica Chimica Acta (Online)","B1",2008
"0003-2670","ASTRONOMIA / FÍSICA                               ","Analytica Chimica Acta (Print)","B1",2008
"1433-7851","ASTRONOMIA / FÍSICA                               ","Angewandte Chemie (International ed. Print)","A1",2008
"0003-3804","ASTRONOMIA / FÍSICA                               ","Annalen der Physik (Leipzig)","B3",2008
"1778-7017","ASTRONOMIA / FÍSICA                               ","Annales de l'Institut Henri Poincaré. B, Probabilités et Statistiques","C ",2008
"0992-7689","ASTRONOMIA / FÍSICA                               ","Annales Geophysicae (Berlin)","B3",2008
"1424-0637","ASTRONOMIA / FÍSICA                               ","Annales Henri Poincaré (Print)","B3",2008
"0090-6964","ASTRONOMIA / FÍSICA                               ","Annals of Biomedical Engineering","B1",2008
"0306-4549","ASTRONOMIA / FÍSICA                               ","Annals of Nuclear Energy","B5",2008
"0003-4916","ASTRONOMIA / FÍSICA                               ","Annals of Physics (Print)","B1",2008
"0066-4146","ASTRONOMIA / FÍSICA                               ","Annual Review of Astronomy and Astrophysics (Print)","A1",2008
"0066-426X","ASTRONOMIA / FÍSICA                               ","Annual Review of Physical Chemistry (Print)","A1",2008
"1980-5578","ASTRONOMIA / FÍSICA                               ","Applied Cancer Research (Online)","C ",2008
"0926-860X","ASTRONOMIA / FÍSICA                               ","Applied Catalysis. A, General (Print)","B1",2008
"0926-3373","ASTRONOMIA / FÍSICA                               ","Applied Catalysis. B, Environmental (Print)","A2",2008
"0937-9347","ASTRONOMIA / FÍSICA                               ","Applied Magnetic Resonance","B4",2008
"0003-6935","ASTRONOMIA / FÍSICA                               ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","B2",2008
"0003-6951","ASTRONOMIA / FÍSICA                               ","Applied Physics Letters","A2",2008
"1432-0630","ASTRONOMIA / FÍSICA                               ","Applied Physics. A, Materials Science & Processing (Internet)","B2",2008
"0947-8396","ASTRONOMIA / FÍSICA                               ","Applied Physics. A, Materials Science & Processing (Print)","B2",2008
"0721-7250","ASTRONOMIA / FÍSICA                               ","Applied Physics. A, Solids and Surfaces (Cessou em 1994. Cont. 0947-8396 Applied Physics. A, Materials Science & Processing)","B2",2008
"0946-2171","ASTRONOMIA / FÍSICA                               ","Applied Physics. B, Lasers and Optics (Print)","B1",2008
"0969-8043","ASTRONOMIA / FÍSICA                               ","Applied Radiation and Isotopes","B3",2008
"0003-7028","ASTRONOMIA / FÍSICA                               ","Applied Spectroscopy","B1",2008
"0169-4332","ASTRONOMIA / FÍSICA                               ","Applied Surface Science","B2",2008
"0302-8933","ASTRONOMIA / FÍSICA                               ","Archives of Microbiology","B2",2008
"0004-6337","ASTRONOMIA / FÍSICA                               ","Astronomische Nachrichten (Print)","B3",2008
"0004-6361","ASTRONOMIA / FÍSICA                               ","Astronomy & Astrophysics (Berlin. Print)","A2",2008
"0365-0138","ASTRONOMIA / FÍSICA                               ","Astronomy & Astrophysics. Supplement Series (Print) (Cessou em 2000. Foi absorvido pelo ISSN 0004-6361 Astronomy & Astrophysics (Berlin. Print)","C ",2008
"1063-7737","ASTRONOMIA / FÍSICA                               ","Astronomy Letters (Print)","B3",2008
"1063-7729","ASTRONOMIA / FÍSICA                               ","Astronomy Reports (Print)","B4",2008
"0927-6505","ASTRONOMIA / FÍSICA                               ","Astroparticle Physics (Print)","A2",2008
"0888-6512","ASTRONOMIA / FÍSICA                               ","Astrophysical Letters & Communications","C ",2008
"0004-640X","ASTRONOMIA / FÍSICA                               ","Astrophysics and Space Science","B4",2008
"1680-7324","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics (Online)","A2",2008
"1680-7316","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics (Print)","A2",2008
"1680-7367","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics Discussion (Print)","C ",2008
"1352-2310","ASTRONOMIA / FÍSICA                               ","Atmospheric Environment (1994)","B1",2008
"0092-640X","ASTRONOMIA / FÍSICA                               ","Atomic Data and Nuclear Data Tables (Print)","B1",2008
"1806-8340","ASTRONOMIA / FÍSICA                               ","Avisa Lá (Centro de Estudos e Informações Crecheplan)","C ",2008
"0006-291X","ASTRONOMIA / FÍSICA                               ","Biochemical and Biophysical Research Communications (Print)","B1",2008
"0005-2736","ASTRONOMIA / FÍSICA                               ","Biochimica et Biophysica Acta. Biomembranes","A2",2008
"1570-9639","ASTRONOMIA / FÍSICA                               ","Biochimica et Biophysica Acta. Proteins and Proteomics","B1",2008
"0300-9084","ASTRONOMIA / FÍSICA                               ","Biochimie (Paris. Print)","B1",2008
"1367-4803","ASTRONOMIA / FÍSICA                               ","Bioinformatics (Oxford. Print)","A2",2008
"0966-0844","ASTRONOMIA / FÍSICA                               ","BioMetals (Oxford)","B1",2008
"0968-0896","ASTRONOMIA / FÍSICA                               ","Bioorganic & Medicinal Chemistry (Print)","B1",2008
"0301-4622","ASTRONOMIA / FÍSICA                               ","Biophysical Chemistry (Print)","B1",2008
"0006-3495","ASTRONOMIA / FÍSICA                               ","Biophysical Journal (Print)","A2",2008
"0006-3525","ASTRONOMIA / FÍSICA                               ","Biopolymers (New York. Print)","B1",2008
"0956-5663","ASTRONOMIA / FÍSICA                               ","Biosensors & Bioelectronics","A2",2008
"0006-4971","ASTRONOMIA / FÍSICA                               ","Blood (Philadelphia, PA)","A1",2008
