"0101-9163","CIÊNCIAS AGRÁRIAS I                               ","A Hora Veterinária","B4",2008
"0023-9135","CIÊNCIAS AGRÁRIAS I                               ","A Lavoura (Rio de Janeiro)","B5",2008
"1519-0552","CIÊNCIAS AGRÁRIAS I                               ","Ação Ambiental (UFV)","B5",2008
"0044-586X","CIÊNCIAS AGRÁRIAS I                               ","Acarologia (La Varenne-sur-Seine)","B3",2008
"0949-1775","CIÊNCIAS AGRÁRIAS I                               ","Accreditation and Quality Assurance","B1",2008
"1331-7768","CIÊNCIAS AGRÁRIAS I                               ","ACS. Agriculturae Conspectus Scintificus (Tisak)","B5",2008
"0044-5967","CIÊNCIAS AGRÁRIAS I                               ","Acta Amazonica (Impresso)","B2",2008
"1677-7298","CIÊNCIAS AGRÁRIAS I                               ","Acta Ambiental Catarinense","B5",2008
"0120-548X","CIÊNCIAS AGRÁRIAS I                               ","Acta Biologica Colombiana","B3",2008
"0101-5354","CIÊNCIAS AGRÁRIAS I                               ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B5",2008
"0301-2123","CIÊNCIAS AGRÁRIAS I                               ","Acta Biológica Paranaense","B5",2008
"0102-3306","CIÊNCIAS AGRÁRIAS I                               ","Acta Botanica Brasílica (Impresso)","B3",2008
"0365-0588","CIÊNCIAS AGRÁRIAS I                               ","Acta Botanica Croatica","B3",2008
"0102-8650","CIÊNCIAS AGRÁRIAS I                               ","Acta Cirúrgica Brasileira (Impresso)","C ",2008
"1600-5368","CIÊNCIAS AGRÁRIAS I                               ","Acta Crystallographica. Section E","B1",2008
"1744-3091","CIÊNCIAS AGRÁRIAS I                               ","Acta Crystallographica. Section F","B1",2008
"0326-2383","CIÊNCIAS AGRÁRIAS I                               ","Acta Farmacéutica Bonaerense","B1",2008
"0567-7572","CIÊNCIAS AGRÁRIAS I                               ","Acta Horticulturae","B3",2008
"0102-6712","CIÊNCIAS AGRÁRIAS I                               ","Acta Limnológica Brasiliensia","B5",2008
"1146-609X","CIÊNCIAS AGRÁRIAS I                               ","Acta Oecologica (Montrouge)","A2",2008
"0587-4246","CIÊNCIAS AGRÁRIAS I                               ","Acta Physica Polonica. A","B1",2008
"0137-5881","CIÊNCIAS AGRÁRIAS I                               ","Acta Physiologiae Plantarum","B1",2008
"1679-9216","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiae Veterinariae (Online)","B5",2008
"1678-0345","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiae Veterinariae (UFRGS. Impresso)","B5",2008
"1415-6814","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum (UEM) (Cessou em 2002)","B2",2008
"1679-9275","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Agronomy (Impresso)","B2",2008
"1807-8621","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Agronomy (Online)","B2",2008
"1807-8672","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Animal Sciences","B5",2008
"1679-9283","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Biological Sciences (Impresso)","B5",2008
"1807-863X","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Biological Sciences (Online)","B5",2008
"1679-9291","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Health Sciences (Impresso)","B5",2008
"1679-7361","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B5",2008
"1806-2563","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Technology (Impresso)","B5",2008
"1807-8664","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Technology (Online)","B5",2008
"1806-2636","CIÊNCIAS AGRÁRIAS I                               ","Acta Scientiarum. Zootechny","B5",2008
"1982-422X","CIÊNCIAS AGRÁRIAS I                               ","Acta Tecnológica","B5",2008
"0001-7132","CIÊNCIAS AGRÁRIAS I                               ","Acta Universitatis Carolinae. Geologica","B4",2008
"1981-5484","CIÊNCIAS AGRÁRIAS I                               ","Acta Veterinaria Brasilica (UFERSA)","B5",2008
"1217-8837","CIÊNCIAS AGRÁRIAS I                               ","Acta Zoologica Academiae Scientiarum Hungaricae (1994)","B1",2008
"0065-1737","CIÊNCIAS AGRÁRIAS I                               ","Acta Zoológica Mexicana","B5",2008
"0929-5607","CIÊNCIAS AGRÁRIAS I                               ","Adsorption (Boston)","A2",2008
"0263-6174","CIÊNCIAS AGRÁRIAS I                               ","Adsorption Science & Technology","B1",2008
"0065-2113","CIÊNCIAS AGRÁRIAS I                               ","Advances in Agronomy","A1",2008
"1991-637X","CIÊNCIAS AGRÁRIAS I                               ","African Journal of Agricultural Research","B5",2008
"1684-5315","CIÊNCIAS AGRÁRIAS I                               ","African Journal of Biotechnology","B1",2008
"0141-6707","CIÊNCIAS AGRÁRIAS I                               ","African Journal of Ecology","B1",2008
"1981-0997","CIÊNCIAS AGRÁRIAS I                               ","Agrária (Recife. Online)","B4",2008
"1981-1160","CIÊNCIAS AGRÁRIAS I                               ","Agrária (UFPE. Impresso)","B4",2008
"1984-2538","CIÊNCIAS AGRÁRIAS I                               ","Agrarian (Dourados. Online)","B5",2008
"0948-7298","CIÊNCIAS AGRÁRIAS I                               ","Agrartechnische Forschung","B5",2008
"1807-1570","CIÊNCIAS AGRÁRIAS I                               ","Agrianual (São Paulo)","C ",2008
