"1809-4872","EDUCAÇÃO FÍSICA                                   ","@rquivos internacionais de otorrinolaringologia (Impresso)","B1",2008
"1809-4856","EDUCAÇÃO FÍSICA                                   ","@rquivos internacionais de otorrinolaringologia (Online)","B1",2008
"1676-0336","EDUCAÇÃO FÍSICA                                   ","A Terceira Idade","B5",2008
"1809-3604","EDUCAÇÃO FÍSICA                                   ","Academos (São Bernardo do Campo)","B5",2008
"1806-9436","EDUCAÇÃO FÍSICA                                   ","Ação & Movimento (Rio de Janeiro)","B5",2008
"1980-7686","EDUCAÇÃO FÍSICA                                   ","Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)","B5",2008
"0044-5967","EDUCAÇÃO FÍSICA                                   ","Acta Amazonica (Impresso)","B2",2008
"1808-0987","EDUCAÇÃO FÍSICA                                   ","Acta do Movimento Humano","B5",2008
"0326-2383","EDUCAÇÃO FÍSICA                                   ","Acta Farmacéutica Bonaerense","B2",2008
"0104-7795","EDUCAÇÃO FÍSICA                                   ","Acta Fisiatrica (USP)","B3",2008
"0870-399X","EDUCAÇÃO FÍSICA                                   ","Acta Médica Portuguesa","B2",2008
"0300-9009","EDUCAÇÃO FÍSICA                                   ","Acta Neurologica Belgica","B1",2008
"1809-8770","EDUCAÇÃO FÍSICA                                   ","Acta ORL","B5",2008
"1413-7852","EDUCAÇÃO FÍSICA                                   ","Acta Ortopédica Brasileira (Impresso)","B2",2008
"0001-6489","EDUCAÇÃO FÍSICA                                   ","Acta Oto-Laryngologica","B1",2008
"0803-5253","EDUCAÇÃO FÍSICA                                   ","Acta Paediatrica (Oslo)","A2",2008
"0303-464X","EDUCAÇÃO FÍSICA                                   ","Acta Reumatológica Portuguesa","B2",2008
"1679-9283","EDUCAÇÃO FÍSICA                                   ","Acta Scientiarum. Biological Sciences (Impresso)","B2",2008
"1679-9291","EDUCAÇÃO FÍSICA                                   ","Acta Scientiarum. Health Sciences (Impresso)","B2",2008
"1679-7361","EDUCAÇÃO FÍSICA                                   ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B4",2008
"1808-8902","EDUCAÇÃO FÍSICA                                   ","Adapta (Rio Claro)","B5",2008
"0736-5829","EDUCAÇÃO FÍSICA                                   ","Adapted Physical Activity Quarterly","B1",2008
"1043-4046","EDUCAÇÃO FÍSICA                                   ","Advances in Physiology Education","B1",2008
"1403-8196","EDUCAÇÃO FÍSICA                                   ","Advances in Physiotherapy","B1",2008
"1441-7049","EDUCAÇÃO FÍSICA                                   ","Advances in Speech Language Pathology (Cessou em 2007. Cont. ISSN 1754-9507 International Journal of Speech-Language Pathology (Print))","B1",2008
"0002-0729","EDUCAÇÃO FÍSICA                                   ","Age and Ageing","C ",2008
