"1516-1528","ENGENHARIAS I                                     ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1677-0579","ENGENHARIAS I                                     ","A Construção em Goiás","C ",2008
"1676-0336","ENGENHARIAS I                                     ","A Terceira Idade","B5",2008
"0149-1423","ENGENHARIAS I                                     ","AAPG Bulletin (Print)","B1",2008
"1980-4814","ENGENHARIAS I                                     ","ABCustos (São Leopoldo, RS)","B5",2008
"0034-9798","ENGENHARIAS I                                     ","Acero Latinoamericano","B5",2008
"0102-700X","ENGENHARIAS I                                     ","Acervo (Rio de Janeiro)","B4",2008
"1097-1424","ENGENHARIAS I                                     ","ACI International (Cessou em 2007)","B2",2008
"0889-325X","ENGENHARIAS I                                     ","ACI Materials Journal","A1",2008
"0889-3241","ENGENHARIAS I                                     ","ACI Structural Journal","A2",2008
"0044-5967","ENGENHARIAS I                                     ","Acta Amazonica (Impresso)","B3",2008
"0101-5354","ENGENHARIAS I                                     ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B4",2008
"0102-3306","ENGENHARIAS I                                     ","Acta Botanica Brasílica (Impresso)","B3",2008
"0102-6712","ENGENHARIAS I                                     ","Acta Limnológica Brasiliensia","B3",2008
"1415-6814","ENGENHARIAS I                                     ","Acta Scientiarum (UEM) (Cessou em 2002)","B5",2008
"1679-9275","ENGENHARIAS I                                     ","Acta Scientiarum. Agronomy (Impresso)","B4",2008
"1806-2563","ENGENHARIAS I                                     ","Acta Scientiarum. Technology (Impresso)","B3",2008
"1807-8664","ENGENHARIAS I                                     ","Acta Scientiarum. Technology (Online)","B3",2008
"1518-0204","ENGENHARIAS I                                     ","Activity Report (Laboratório Nacional de Luz Síncrotron)","C ",2008
"1715-5312","ENGENHARIAS I                                     ","Acústica e Vibrações","B3",2008
"1983-442X","ENGENHARIAS I                                     ","Acústica e Vibrações","B5",2008
"1474-0346","ENGENHARIAS I                                     ","Advanced Engineering Informatics","A1",2008
"0965-9978","ENGENHARIAS I                                     ","Advances in Engineering Software (1992)","A2",2008
"0309-1708","ENGENHARIAS I                                     ","Advances in Water Resources","A1",2008
"1518-3769","ENGENHARIAS I                                     ","Advir (ASDUERJ)","C ",2008
"1569-7649","ENGENHARIAS I                                     ","Aerlines (Amsterdam)","B3",2008
"1684-5315","ENGENHARIAS I                                     ","African Journal of Biotechnology","B2",2008
"1981-0997","ENGENHARIAS I                                     ","Agrária (Recife. Online)","B5",2008
"0168-1923","ENGENHARIAS I                                     ","Agricultural and Forest Meteorology (Print)","A1",2008
"0378-3774","ENGENHARIAS I                                     ","Agricultural Water Management (Print)","A1",2008
"1982-8470","ENGENHARIAS I                                     ","Agro@mbiente On-line","B5",2008
"0100-4298","ENGENHARIAS I                                     ","Agroanalysis (FGV)","B4",2008
"0101-7004","ENGENHARIAS I                                     ","Águas Subterrâneas (São Paulo)","B4",2008
"1413-2591","ENGENHARIAS I                                     ","Alcance (UNIVALI) (Cessou em 2007)","B5",2008
"0971-4693","ENGENHARIAS I                                     ","Allelopathy Journal","B2",2008
"1808-0251","ENGENHARIAS I                                     ","Ambiência (UNICENTRO)","B5",2008
"1678-8621","ENGENHARIAS I                                     ","Ambiente Construído (Online)","B2",2008
"1415-8876","ENGENHARIAS I                                     ","Ambiente Construído (São Paulo. Impresso)","B2",2008
"0044-7447","ENGENHARIAS I                                     ","Ambio (Oslo)","A1",2008
"1518-0360","ENGENHARIAS I                                     ","Âmbito Jurídico","B5",2008
"1546-9239","ENGENHARIAS I                                     ","American Journal of Applied Sciences","B2",2008
"1075-9964","ENGENHARIAS I                                     ","Anaerobe (London. Print)","A1",2008
"0001-3765","ENGENHARIAS I                                     ","Anais da Academia Brasileira de Ciências (Impresso)","A2",2008
"0301-8059","ENGENHARIAS I                                     ","Anais da Sociedade Entomológica do Brasil (Impresso) (Cessou em 2000. Cont. ISSN 1519-566X Neotropical Entomology (Impresso)","B5",2008
"0101-4714","ENGENHARIAS I                                     ","Anais do Museu Paulista (Impresso)","B5",2008
"1677-3055","ENGENHARIAS I                                     ","Analytica (São Paulo)","B5",2008
"1618-2642","ENGENHARIAS I                                     ","Analytical and Bioanalytical Chemistry","A2",2008
"1531-7331","ENGENHARIAS I                                     ","Annual Review of Materials Research (Print)","A1",2008
"0101-9759","ENGENHARIAS I                                     ","Anuário do Instituto de Geociências (UFRJ. Impresso)","B4",2008
"1038-6807","ENGENHARIAS I                                     ","Appita Journal","B1",2008
"0003-682X","ENGENHARIAS I                                     ","Applied Acoustics","A2",2008
"0099-2240","ENGENHARIAS I                                     ","Applied and Environmental Microbiology (Print)","A1",2008
"0273-2289","ENGENHARIAS I                                     ","Applied Biochemistry and Biotechnology","A2",2008
"1808-5512","ENGENHARIAS I                                     ","Applied Cancer Research (Impresso)","B5",2008
