"1807-9792","ENGENHARIAS IV                                    ","Abstracta : linguagem, mente e ação (Niterói)","B5",2008
"0103-0736","ENGENHARIAS IV                                    ","Acesso (São Paulo)","B5",2008
"1525-9293","ENGENHARIAS IV                                    ","ACIS International Journal of Computer and Information Science","B5",2008
"1084-4309","ENGENHARIAS IV                                    ","ACM Transactions on Design Automation of Electronic Systems","A2",2008
"0098-3500","ENGENHARIAS IV                                    ","ACM Transactions on Mathematical Software","B1",2008
"0001-5172","ENGENHARIAS IV                                    ","Acta Anaesthesiologica Scandinavica","B1",2008
"0094-5765","ENGENHARIAS IV                                    ","Acta Astronautica","B2",2008
"0102-8650","ENGENHARIAS IV                                    ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"0353-8109","ENGENHARIAS IV                                    ","Acta Informatica Medica","B5",2008
"0798-4545","ENGENHARIAS IV                                    ","Acta Microscópica - Interamerican Committee of Societies for Electron Microscopy","B5",2008
"1413-7852","ENGENHARIAS IV                                    ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0001-6969","ENGENHARIAS IV                                    ","Acta Scientiarum Mathematicarum","B4",2008
"1518-0204","ENGENHARIAS IV                                    ","Activity Report (Laboratório Nacional de Luz Síncrotron)","B5",2008
"0044-0027","ENGENHARIAS IV                                    ","Adernaâ Fizika / Journal of Nuclear Physics","B5",2008
"0921-8831","ENGENHARIAS IV                                    ","Advanced Powder Technology (Print)","B1",2008
"1615-4150","ENGENHARIAS IV                                    ","Advanced Synthesis & Catalysis (Print)","A2",2008
"0219-5259","ENGENHARIAS IV                                    ","Advances in Complex Systems","B2",2008
"0965-9978","ENGENHARIAS IV                                    ","Advances in Engineering Software (1992)","B1",2008
"1343-4373","ENGENHARIAS IV                                    ","Advances in Mathematical Sciences and Applications","B5",2008
"0730-6679","ENGENHARIAS IV                                    ","Advances in Polymer Technology (Print)","B3",2008
"1615-3871","ENGENHARIAS IV                                    ","Advances in Soft Computing","B5",2008
"0273-1177","ENGENHARIAS IV                                    ","Advances in Space Research","B1",2008
"1270-9638","ENGENHARIAS IV                                    ","Aerospace Science and Technology (Imprimé)","B1",2008
"1434-8411","ENGENHARIAS IV                                    ","AEU. International Journal of Electronics and Communications (Print)","B1",2008
"0161-9152","ENGENHARIAS IV                                    ","AGE (Omaha) (Cessou em 1999. Cont. Journal of the American Aging Association)","A1",2008
"0002-2667","ENGENHARIAS IV                                    ","Aircraft Engineering (Cessou em 1986. Cont. ISSN 1748-8842 Aircraft Engineering and Aerospace Technology)","B2",2008
"1413-0394","ENGENHARIAS IV                                    ","Aletheia (ULBRA)","B5",2008
"1062-3264","ENGENHARIAS IV                                    ","American Journal of Critical Care","B1",2008
"0894-8275","ENGENHARIAS IV                                    ","American Journal of Dentistry","B2",2008
"0889-5406","ENGENHARIAS IV                                    ","American Journal of Orthodontics and Dentofacial Orthopedics","B1",2008
"0002-9505","ENGENHARIAS IV                                    ","American Journal of Physics","B2",2008
"0363-6135","ENGENHARIAS IV                                    ","American Journal of Physiology. Heart and Circulatory Physiology","B1",2008
"0365-0596","ENGENHARIAS IV                                    ","Anais Brasileiros de Dermatologia (Impresso)","B5",2008
"0925-1030","ENGENHARIAS IV                                    ","Analog Integrated Circuits and Signal Processing","A2",2008
"0003-2670","ENGENHARIAS IV                                    ","Analytica Chimica Acta (Print)","B1",2008
"1618-2642","ENGENHARIAS IV                                    ","Analytical and Bioanalytical Chemistry","B1",2008
"0003-2697","ENGENHARIAS IV                                    ","Analytical Biochemistry (Print)","B1",2008
"0003-2700","ENGENHARIAS IV                                    ","Analytical Chemistry (Washington)","A2",2008
"0910-6340","ENGENHARIAS IV                                    ","Analytical Sciences","B1",2008
"0003-3022","ENGENHARIAS IV                                    ","Anesthesiology (Philadelphia)","A2",2008
"1672-352X","ENGENHARIAS IV                                    ","Anhui Nongye Daxue Xuebao / Journal of Anhui Agricultural University","B5",2008
"0003-4088","ENGENHARIAS IV                                    ","Annales de Limnologie","B2",2008
"0003-4347","ENGENHARIAS IV                                    ","Annales des Télécommunications (Cessou em 2007)","A2",2008
"0090-6964","ENGENHARIAS IV                                    ","Annals of Biomedical Engineering","A1",2008
"1047-2797","ENGENHARIAS IV                                    ","Annals of Epidemiology","B1",2008
"0254-5330","ENGENHARIAS IV                                    ","Annals of Operation Research","A2",2008
"1572-9338","ENGENHARIAS IV                                    ","Annals of Operations Research (Dordrecht. Online)","A2",2008
"1022-7091","ENGENHARIAS IV                                    ","Annals of Software Engineering (Cessou em 2002)","B3",2008
"1367-5788","ENGENHARIAS IV                                    ","Annual Reviews in Control","A2",2008
"0066-4804","ENGENHARIAS IV                                    ","Antimicrobial Agents and Chemotherapy (Print)","B1",2008
