"1522-1059","FARMÁCIA                                          ","AAPS PharmSci (Cessou em 2004. Cont. ISSN 1550-7416 The AAPS Journal)","B2",2008
"1530-9932","FARMÁCIA                                          ","AAPS PharmSciTech","B2",2008
"0139-3006","FARMÁCIA                                          ","Acta Alimentaria (Print)","B3",2008
"0325-2957","FARMÁCIA                                          ","Acta Bioquímica Clínica Latinoamericana","B3",2008
"0102-3306","FARMÁCIA                                          ","Acta Botanica Brasílica (Impresso)","B4",2008
"0102-8650","FARMÁCIA                                          ","Acta Cirúrgica Brasileira (Impresso)","B4",2008
"0108-2701","FARMÁCIA                                          ","Acta Crystallographica. Section C, Crystal Structure Communications.","B3",2008
"0907-4449","FARMÁCIA                                          ","Acta Crystallographica. Section D, Biological Crystallography","A2",2008
"1600-5368","FARMÁCIA                                          ","Acta Crystallographica. Section E","B3",2008
"1744-3091","FARMÁCIA                                          ","Acta Crystallographica. Section F","B3",2008
"0326-2383","FARMÁCIA                                          ","Acta Farmacéutica Bonaerense","B2",2008
"0001-5792","FARMÁCIA                                          ","Acta Haematologica","B2",2008
"0065-1281","FARMÁCIA                                          ","Acta Histochemica (Print)","B2",2008
"0326-4815","FARMÁCIA                                          ","Acta Odontológica Latinoamericana","B3",2008
"1230-2821","FARMÁCIA                                          ","Acta Parasitologica","B2",2008
"1671-4083","FARMÁCIA                                          ","Acta Pharmacologica Sinica","B1",2008
"0137-5881","FARMÁCIA                                          ","Acta Physiologiae Plantarum","B3",2008
"0065-1583","FARMÁCIA                                          ","Acta Protozoologica (Druk)","B2",2008
"1679-9275","FARMÁCIA                                          ","Acta Scientiarum. Agronomy (Impresso)","B5",2008
"1679-9291","FARMÁCIA                                          ","Acta Scientiarum. Health Sciences (Impresso)","B3",2008
"1121-2098","FARMÁCIA                                          ","Acta Technologiae et Legis Medicamenti","B5",2008
"0001-706X","FARMÁCIA                                          ","Acta Tropica","B1",2008
"1996-0778","FARMÁCIA                                          ","African Journal of Biochemistry Research","C ",2008
"1684-5315","FARMÁCIA                                          ","African Journal of Biotechnology","B3",2008
"0889-2229","FARMÁCIA                                          ","AIDS Research and Human Retroviruses","B1",2008
"0741-8329","FARMÁCIA                                          ","Alcohol (Fayetteville, N.Y.)","B1",2008
"0103-4235","FARMÁCIA                                          ","Alimentos e Nutrição (UNESP. Marilia)","C ",2008
"0971-4693","FARMÁCIA                                          ","Allelopathy Journal","B3",2008
"1530-1338","FARMÁCIA                                          ","Allured's Cosmetics & Toiletries (Cessou em 2001. Cont. Cosmetics & Toiletries (2002))","B5",2008
"0103-2992","FARMÁCIA                                          ","Ambito Hopitalar","C ",2008
"1079-2082","FARMÁCIA                                          ","American Journal of Health-System Pharmacy","B1",2008
"0361-8609","FARMÁCIA                                          ","American Journal of Hematology (Print)","B1",2008
"0889-5406","FARMÁCIA                                          ","American Journal of Orthodontics and Dentofacial Orthopedics","B2",2008
"1557-4962","FARMÁCIA                                          ","American Journal of Pharmacology and Toxicology","B5",2008
"0363-6119","FARMÁCIA                                          ","American Journal of Physiology. Regulatory, Integrative and Comparative Physiology","A1",2008
"1099-8012","FARMÁCIA                                          ","American Pharmaceutical Review","B3",2008
"1075-9964","FARMÁCIA                                          ","Anaerobe (London. Print)","B2",2008
"0365-0596","FARMÁCIA                                          ","Anais Brasileiros de Dermatologia (Impresso)","B3",2008
"0001-3765","FARMÁCIA                                          ","Anais da Academia Brasileira de Ciências (Impresso)","B2",2008
"1677-3055","FARMÁCIA                                          ","Analytica (São Paulo)","C ",2008
"0003-2670","FARMÁCIA                                          ","Analytica Chimica Acta (Print)","A1",2008
"1618-2642","FARMÁCIA                                          ","Analytical and Bioanalytical Chemistry","A1",2008
"0003-2697","FARMÁCIA                                          ","Analytical Biochemistry (Print)","A1",2008
"0003-2719","FARMÁCIA                                          ","Analytical Letters","B2",2008
"0910-6340","FARMÁCIA                                          ","Analytical Sciences","B2",2008
"0340-2096","FARMÁCIA                                          ","Anatomia, Histologia, Embryologia","B3",2008
"0003-3472","FARMÁCIA                                          ","Animal Behaviour","A2",2008
"0004-5632","FARMÁCIA                                          ","Annals of Clinical Biochemistry","B1",2008
"0003-4800","FARMÁCIA                                          ","Annals of Human Genetics (Print)","A2",2008
"1590-4261","FARMÁCIA                                          ","Annals of Microbiology","B3",2008
"0250-6807","FARMÁCIA                                          ","Annals of Nutrition & Metabolism","B1",2008
"0077-8923","FARMÁCIA                                          ","Annals of the New York Academy of Sciences","B1",2008
"0003-4983","FARMÁCIA                                          ","Annals of Tropical Medicine and Parasitology","B2",2008
"0890-5096","FARMÁCIA                                          ","Annals of Vascular Surgery (Print)","B2",2008
"0959-4973","FARMÁCIA                                          ","Anti-Cancer Drugs","B1",2008
"1871-5214","FARMÁCIA                                          ","Anti-infective Agents in Medicinal Chemistry","B3",2008
"0066-4804","FARMÁCIA                                          ","Antimicrobial Agents and Chemotherapy (Print)","A1",2008
"0003-6072","FARMÁCIA                                          ","Antonie van Leeuwenhoek (Gedrukt)","B1",2008
"0862-7940","FARMÁCIA                                          ","Applications of Mathematics (Praha)","B3",2008
"0273-2289","FARMÁCIA                                          ","Applied Biochemistry and Biotechnology","B2",2008
"1808-5512","FARMÁCIA                                          ","Applied Cancer Research (Impresso)","B5",2008
"1980-5578","FARMÁCIA                                          ","Applied Cancer Research (Online)","B5",2008
"0175-7598","FARMÁCIA                                          ","Applied Microbiology and Biotechnology","A2",2008
"0947-8396","FARMÁCIA                                          ","Applied Physics. A, Materials Science & Processing (Print)","B1",2008
"0969-8043","FARMÁCIA                                          ","Applied Radiation and Isotopes","B2",2008
"0169-4332","FARMÁCIA                                          ","Applied Surface Science","B2",2008
"0044-8486","FARMÁCIA                                          ","Aquaculture (Amsterdam)","B1",2008
"0967-6120","FARMÁCIA                                          ","Aquaculture International","B3",2008
"0365-6233","FARMÁCIA                                          ","Archiv der Pharmazie (Weinheim)","B2",2008
"0003-9861","FARMÁCIA                                          ","Archives of Biochemistry and Biophysics (Print)","A2",2008
"0932-0067","FARMÁCIA                                          ","Archives of Gynecology and Obstetrics (Print)","B3",2008
"0003-9969","FARMÁCIA                                          ","Archives of Oral Biology","B2",2008
"0253-6269","FARMÁCIA                                          ","Archives of Pharmacal Research (Seoul. Print)","B2",2008
"0340-5761","FARMÁCIA                                          ","Archives of Toxicology","A2",2008
"1432-0738","FARMÁCIA                                          ","Archives of Toxicology (Internet)","B3",2008
"0004-0622","FARMÁCIA                                          ","Archivos Latinoamericanos de Nutrición","B3",2008
"1424-6376","FARMÁCIA                                          ","ARKIVOC","B2",2008
"0102-0935","FARMÁCIA                                          ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","B3",2008
"0066-782X","FARMÁCIA                                          ","Arquivos Brasileiros de Cardiologia (Impresso)","B3",2008
"0004-2730","FARMÁCIA                                          ","Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)","B4",2008
"1414-7149","FARMÁCIA                                          ","Arquivos da APADEC (Cessou em 2005. Cont. ISSN 1980-959X Arquivos do Mudi)","C ",2008
"0004-2803","FARMÁCIA                                          ","Arquivos de Gastroenterologia (Impresso)","B3",2008
"1678-4219","FARMÁCIA                                          ","Arquivos de Gastroenterologia (Online)","B5",2008
"0871-3413","FARMÁCIA                                          ","Arquivos de Medicina","B4",2008
"0004-282X","FARMÁCIA                                          ","Arquivos de Neuro-Psiquiatria (Impresso)","B3",2008
"0160-564X","FARMÁCIA                                          ","Artificial Organs","B1",2008
"0004-4172","FARMÁCIA                                          ","Arzneimittel-Forschung","B3",2008
"0021-9150","FARMÁCIA                                          ","Atherosclerosis (Amsterdam)","A1",2008
"0004-9425","FARMÁCIA                                          ","Australian Journal of Chemistry (Print)","A2",2008
"1566-0702","FARMÁCIA                                          ","Autonomic Neuroscience: Basic & Clinical","B1",2008
"1742-7835","FARMÁCIA                                          ","Basic & Clinical Pharmacology & Toxicology (Print)","B1",2008
"1377-2368","FARMÁCIA                                          ","BELGEO (Leuven)","B4",2008
"1806-4272","FARMÁCIA                                          ","BEPA. Boletim Epidemiológico Paulista (Online)","C ",2008
"1809-5577","FARMÁCIA                                          ","Bio Farma","C ",2008
"0327-9545","FARMÁCIA                                          ","Biocell (Mendoza)","B3",2008
"0006-291X","FARMÁCIA                                          ","Biochemical and Biophysical Research Communications (Print)","A2",2008
"0307-4412","FARMÁCIA                                          ","Biochemical Education (Cessou em 2000. Cont. ISSN 1470-8175 Biochemistry and Molecular Biology Education)","B3",2008
"1369-703X","FARMÁCIA                                          ","Biochemical Engineering Journal","B1",2008
"0006-2928","FARMÁCIA                                          ","Biochemical Genetics","B3",2008
"0006-2952","FARMÁCIA                                          ","Biochemical Pharmacology","A1",2008
"0305-1978","FARMÁCIA                                          ","Biochemical Systematics and Ecology","B2",2008
"0006-2960","FARMÁCIA                                          ","Biochemistry (Easton)","A1",2008
"1470-8175","FARMÁCIA                                          ","Biochemistry and Molecular Biology Education","B3",2008
"0006-3002","FARMÁCIA                                          ","Biochimica et Biophysica Acta (Print) (Cessou em 1963. Desmembrado em 2: ISSN 0926-6526 Biochimica et Biophysica Acta. Specialized Section on Mucoproteins and Mucopolysaccharides e ISSN 0304-4165 Biochimica et Biophysica Acta. G, General Subjects (Print)","A2",2008
"0005-2736","FARMÁCIA                                          ","Biochimica et Biophysica Acta. Biomembranes","A1",2008
"0304-4165","FARMÁCIA                                          ","Biochimica et Biophysica Acta. G, General Subjects (Print)","A2",2008
"1570-9639","FARMÁCIA                                          ","Biochimica et Biophysica Acta. Proteins and Proteomics","B1",2008
"0300-9084","FARMÁCIA                                          ","Biochimie (Paris. Print)","A1",2008
"1043-1802","FARMÁCIA                                          ","Bioconjugate Chemistry","A1",2008
"0918-6158","FARMÁCIA                                          ","Biological & Pharmaceutical Bulletin","B1",2008
