"1982-2790","GEOCIÊNCIAS                                       ","A Ressurgência (Niterói)","C ",2008
"0149-1423","GEOCIÊNCIAS                                       ","AAPG Bulletin (Print)","B1",2008
"1806-9436","GEOCIÊNCIAS                                       ","Ação & Movimento (Rio de Janeiro)","B5",2008
"0044-5967","GEOCIÊNCIAS                                       ","Acta Amazonica (Impresso)","B2",2008
"0094-5765","GEOCIÊNCIAS                                       ","Acta Astronautica","B3",2008
"0101-5354","GEOCIÊNCIAS                                       ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B2",2008
"0102-3306","GEOCIÊNCIAS                                       ","Acta Botanica Brasílica (Impresso)","B2",2008
"1980-5772","GEOCIÊNCIAS                                       ","Acta Geográfica (UFRR)","B5",2008
"0001-5709","GEOCIÊNCIAS                                       ","Acta Geologica Polonica","B3",2008
"0323-4320","GEOCIÊNCIAS                                       ","Acta Hydrochimica et Hydrobiologica (Cessou em 2006)","B1",2008
"0102-6712","GEOCIÊNCIAS                                       ","Acta Limnológica Brasiliensia","B2",2008
"1000-0674","GEOCIÊNCIAS                                       ","Acta Micropalaeontologica Sinica (Beijing)","B3",2008
"0798-4545","GEOCIÊNCIAS                                       ","Acta Microscópica - Interamerican Committee of Societies for Electron Microscopy","B4",2008
"1146-609X","GEOCIÊNCIAS                                       ","Acta Oecologica (Montrouge)","B1",2008
"0567-7920","GEOCIÊNCIAS                                       ","Acta Palaeontologica Polonica","B1",2008
"1000-0569","GEOCIÊNCIAS                                       ","Acta Petrologica Sinica (Beijing)","B3",2008
"1679-9275","GEOCIÊNCIAS                                       ","Acta Scientiarum. Agronomy (Impresso)","B4",2008
"1679-9283","GEOCIÊNCIAS                                       ","Acta Scientiarum. Biological Sciences (Impresso)","B4",2008
"1806-2563","GEOCIÊNCIAS                                       ","Acta Scientiarum. Technology (Impresso)","B4",2008
"0001-706X","GEOCIÊNCIAS                                       ","Acta Tropica","A2",2008
"0326-1921","GEOCIÊNCIAS                                       ","Actas - Asociación Argentina de Geología Aplicada a la Ingeniería (Cessou em 1997. Cont. ISSN 1851-7838 Revista de Geología Aplicada a la Ingeniería y al Ambiente)","B5",2008
"1680-7340","GEOCIÊNCIAS                                       ","Advances in Geosciences (Print)","B3",2008
"0273-1177","GEOCIÊNCIAS                                       ","Advances in Space Research","B1",2008
"0278-6826","GEOCIÊNCIAS                                       ","Aerosol Science and Technology (Print)","A2",2008
"1981-1160","GEOCIÊNCIAS                                       ","Agrária (UFPE. Impresso)","B5",2008
"0168-1923","GEOCIÊNCIAS                                       ","Agricultural and Forest Meteorology (Print)","A1",2008
"0378-3774","GEOCIÊNCIAS                                       ","Agricultural Water Management (Print)","B1",2008
"0002-1962","GEOCIÊNCIAS                                       ","Agronomy Journal (Print)","B1",2008
"1415-6822","GEOCIÊNCIAS                                       ","Agropecuária Clima Temperado (Pelotas)","B5",2008
"0103-3816","GEOCIÊNCIAS                                       ","Agrotrópica (Itabuna)","B5",2008
"0101-7004","GEOCIÊNCIAS                                       ","Águas Subterrâneas (São Paulo)","B2",2008
"0094-243X","GEOCIÊNCIAS                                       ","AIP Conference Proceedings","C ",2008
"0311-5518","GEOCIÊNCIAS                                       ","Alcheringa (Sydney)","B3",2008
"0065-6755","GEOCIÊNCIAS                                       ","Amazoniana (Kiel)","B3",2008
"1808-0251","GEOCIÊNCIAS                                       ","Ambiência (UNICENTRO)","B5",2008
"1413-8638","GEOCIÊNCIAS                                       ","Ambiente & Educação (FURG)","B5",2008
"0044-7447","GEOCIÊNCIAS                                       ","Ambio (Oslo)","A2",2008
"0002-7014","GEOCIÊNCIAS                                       ","Ameghiniana","B1",2008
"0002-9122","GEOCIÊNCIAS                                       ","American Journal of Botany","A2",2008
"1553-345X","GEOCIÊNCIAS                                       ","American Journal of Environmental Sciences","B3",2008
"0002-9483","GEOCIÊNCIAS                                       ","American Journal of Physical Anthropology","A2",2008
"0275-2565","GEOCIÊNCIAS                                       ","American Journal of Primatology (Print)","A2",2008
"0002-9599","GEOCIÊNCIAS                                       ","American Journal of Science (1880)","A2",2008
"0003-0082","GEOCIÊNCIAS                                       ","American Museum Novitates","B1",2008
"0001-3765","GEOCIÊNCIAS                                       ","Anais da Academia Brasileira de Ciências (Impresso)","B1",2008
"0373-9260","GEOCIÊNCIAS                                       ","Anais Hidrográficos","B5",2008
"0003-2670","GEOCIÊNCIAS                                       ","Analytica Chimica Acta (Print)","A1",2008
"1618-2642","GEOCIÊNCIAS                                       ","Analytical and Bioanalytical Chemistry","A1",2008
"0003-2700","GEOCIÊNCIAS                                       ","Analytical Chemistry (Washington)","A1",2008
"0755-0685","GEOCIÊNCIAS                                       ","Annales Geophysicae (1983) (Cessou em 1985. Foi desdobrado em dois: ISSN 0980-8752 Annales Geophysicae. Series A, Upper atmosphere and space sciences e ISSN 0980-8760 Annales Geophysicae. Series B, Terrestrial and Planetary Physics)","B1",2008
"0992-7689","GEOCIÊNCIAS                                       ","Annales Geophysicae (Berlin)","B1",2008
"1286-4560","GEOCIÊNCIAS                                       ","Annals of Forest Science (Print)","B1",2008
"0260-3055","GEOCIÊNCIAS                                       ","Annals of Glaciology","B3",2008
"0013-8746","GEOCIÊNCIAS                                       ","Annals of the Entomological Society of America","B1",2008
"0077-8923","GEOCIÊNCIAS                                       ","Annals of the New York Academy of Sciences","A2",2008
"0954-1020","GEOCIÊNCIAS                                       ","Antarctic Science (Print)","B1",2008
"0101-9759","GEOCIÊNCIAS                                       ","Anuário do Instituto de Geociências (UFRJ. Impresso)","B4",2008
"0169-1317","GEOCIÊNCIAS                                       ","Applied Clay Science (Print)","A2",2008
"1350-4851","GEOCIÊNCIAS                                       ","Applied Economics Letters (Print)","B3",2008
"0306-2619","GEOCIÊNCIAS                                       ","Applied Energy","B1",2008
"0883-2927","GEOCIÊNCIAS                                       ","Applied Geochemistry","A2",2008
"1832-5505","GEOCIÊNCIAS                                       ","Applied GIS","B3",2008
"0307-904X","GEOCIÊNCIAS                                       ","Applied Mathematical Modelling","B1",2008
"0096-3003","GEOCIÊNCIAS                                       ","Applied Mathematics and Computation","B1",2008
"0003-6935","GEOCIÊNCIAS                                       ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","A2",2008
"0969-8043","GEOCIÊNCIAS                                       ","Applied Radiation and Isotopes","B1",2008
"0169-4332","GEOCIÊNCIAS                                       ","Applied Surface Science","B1",2008
"0044-8486","GEOCIÊNCIAS                                       ","Aquaculture (Amsterdam)","B1",2008
"1463-4988","GEOCIÊNCIAS                                       ","Aquatic Ecosystem Health & Management","B3",2008
"1380-6165","GEOCIÊNCIAS                                       ","Aquatic Geochemistry","B1",2008
"0103-5657","GEOCIÊNCIAS                                       ","Ararajuba (Rio de Janeiro)","B5",2008
"0003-9810","GEOCIÊNCIAS                                       ","Archives Internationales d'Histoire des Sciences","B3",2008
