"1516-1528","MEDICINA I                                        ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1677-7530","MEDICINA I                                        ","@rquivos de Otorrinolaringologia (Cessou em 2005. Cont. 1809-4872 @rquivos Internacionais de Otorrinolaringologia)","C ",2008
"1809-4872","MEDICINA I                                        ","@rquivos internacionais de otorrinolaringologia (Impresso)","B5",2008
"0010-6631","MEDICINA I                                        ","A Construção São Paulo (Cessou em 2001)","C ",2008
"1028-3072","MEDICINA I                                        ","AAA. Archivos de Arquitectura Antillana","C ",2008
"0102-6720","MEDICINA I                                        ","ABCD. Arquivos Brasileiros de Cirurgia Digestiva","B5",2008
"0874-2731","MEDICINA I                                        ","ABO. Revista de Medicina Transfusional","B5",2008
"1069-6563","MEDICINA I                                        ","Academic Emergency Medicine","B1",2008
"1085-6862","MEDICINA I                                        ","ACOG Clinical Review","B5",2008
"1056-8751","MEDICINA I                                        ","ACP Journal Club (Cessou em 2008)","B3",2008
"0001-5172","MEDICINA I                                        ","Acta Anaesthesiologica Scandinavica","B1",2008
"1234-950X","MEDICINA I                                        ","Acta Angiologica","B5",2008
"0236-5383","MEDICINA I                                        ","Acta Biologica Hungarica (Print)","B2",2008
"0102-3306","MEDICINA I                                        ","Acta Botanica Brasílica (Impresso)","B4",2008
"0001-5385","MEDICINA I                                        ","Acta Cardiologica (Imprimé)","B2",2008
"1318-0207","MEDICINA I                                        ","Acta Chimica Slovenica (Print ed.)","B2",2008
"0102-8650","MEDICINA I                                        ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"1678-2674","MEDICINA I                                        ","Acta Cirúrgica Brasileira (Online)","B3",2008
"0907-4449","MEDICINA I                                        ","Acta Crystallographica. Section D, Biological Crystallography","A2",2008
"1744-3091","MEDICINA I                                        ","Acta Crystallographica. Section F","B2",2008
"0001-5547","MEDICINA I                                        ","Acta Cytologica","B2",2008
"0001-5555","MEDICINA I                                        ","Acta Dermato-Venereologica","B1",2008
"1330-027X","MEDICINA I                                        ","Acta Dermatovenerologica Croatica","B3",2008
"0940-5429","MEDICINA I                                        ","Acta Diabetologica (Print)","B2",2008
"0326-2383","MEDICINA I                                        ","Acta Farmacéutica Bonaerense","B2",2008
"0104-7795","MEDICINA I                                        ","Acta Fisiatrica (USP)","B5",2008
"0300-9033","MEDICINA I                                        ","Acta Gastroenterológica Latinoamericana","B3",2008
"0001-5792","MEDICINA I                                        ","Acta Haematologica","B2",2008
"0065-1281","MEDICINA I                                        ","Acta Histochemica (Print)","B2",2008
"0103-5037","MEDICINA I                                        ","Acta Médica (Porto Alegre)","B5",2008
"0870-399X","MEDICINA I                                        ","Acta Médica Portuguesa","B3",2008
"0001-6268","MEDICINA I                                        ","Acta Neurochirurgica","B1",2008
"0001-6314","MEDICINA I                                        ","Acta Neurologica Scandinavica","B1",2008
"0924-2708","MEDICINA I                                        ","Acta Neuropsychiatrica","B1",2008
"0001-6349","MEDICINA I                                        ","Acta Obstetricia et Gynecologica Scandinavica","B1",2008
"0001-6357","MEDICINA I                                        ","Acta Odontologica Scandinavica (Trykt utg.)","B2",2008
"0284-186X","MEDICINA I                                        ","Acta Oncologica (Stockholm)","A2",2008
"0100-3127","MEDICINA I                                        ","Acta Oncologica Brasileira (Cessou em 2004. Cont. ISSN 1808-5512 Applied Cancer Research (Impresso))","B5",2008
"1395-3907","MEDICINA I                                        ","Acta Ophthalmologica Scandinavica (Cessou em 2007. Cont. ISSN 1755-375X Acta Ophthalmologica (2008. Print))","B3",2008
"1809-8770","MEDICINA I                                        ","Acta ORL","B5",2008
"1413-7852","MEDICINA I                                        ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0001-6489","MEDICINA I                                        ","Acta Oto-Laryngologica","B2",2008
"0392-100X","MEDICINA I                                        ","Acta Otorhinolaryngologica Italica (Testo stampato)","B3",2008
