"1516-1528","MEDICINA II                                       ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1677-7530","MEDICINA II                                       ","@rquivos de Otorrinolaringologia (Cessou em 2005. Cont. 1809-4872 @rquivos Internacionais de Otorrinolaringologia)","B5",2008
"1809-4872","MEDICINA II                                       ","@rquivos internacionais de otorrinolaringologia (Impresso)","B5",2008
"1809-4856","MEDICINA II                                       ","@rquivos internacionais de otorrinolaringologia (Online)","B5",2008
"1530-9932","MEDICINA II                                       ","AAPS PharmSciTech","B1",2008
"0747-0088","MEDICINA II                                       ","ABA journal","B3",2008
"0102-6720","MEDICINA II                                       ","ABCD. Arquivos Brasileiros de Cirurgia Digestiva","B5",2008
"0922-9280","MEDICINA II                                       ","Abstract Book (Groningen)","C ",2008
"0192-5857","MEDICINA II                                       ","Abstracts of Papers Presented to the American Mathematical Society","B5",2008
"1060-2011","MEDICINA II                                       ","Abstracts of the General Meeting of the American Society for Microbiology","B5",2008
"1076-6332","MEDICINA II                                       ","Academic Radiology","B1",2008
"1806-9436","MEDICINA II                                       ","Ação & Movimento (Rio de Janeiro)","B5",2008
"0044-5967","MEDICINA II                                       ","Acta Amazonica (Impresso)","B3",2008
"0103-555X","MEDICINA II                                       ","Acta AWHO (Impresso) (Cessou em 2001. Cont. ISSN 1678-2143 Acta AWHO (Online))","C ",2008
"0717-5906","MEDICINA II                                       ","Acta Bioethica (Impresa)","B4",2008
"0236-5383","MEDICINA II                                       ","Acta Biologica Hungarica (Print)","B2",2008
"0301-2123","MEDICINA II                                       ","Acta Biológica Paranaense","B5",2008
"0325-2957","MEDICINA II                                       ","Acta Bioquímica Clínica Latinoamericana","B3",2008
"0904-213X","MEDICINA II                                       ","Acta Chemica Scandinavica (Copenhagen) (Cessou em 1999)","B3",2008
"1318-0207","MEDICINA II                                       ","Acta Chimica Slovenica (Print ed.)","B2",2008
"0102-8650","MEDICINA II                                       ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"1678-2674","MEDICINA II                                       ","Acta Cirúrgica Brasileira (Online)","B3",2008
"0907-4449","MEDICINA II                                       ","Acta Crystallographica. Section D, Biological Crystallography","A2",2008
"1600-5368","MEDICINA II                                       ","Acta Crystallographica. Section E","B2",2008
"0001-5547","MEDICINA II                                       ","Acta Cytologica","B2",2008
"0001-5555","MEDICINA II                                       ","Acta Dermato-Venereologica","A2",2008
"1330-027X","MEDICINA II                                       ","Acta Dermatovenerologica Croatica","B3",2008
"0326-2383","MEDICINA II                                       ","Acta Farmacéutica Bonaerense","B2",2008
"0104-7795","MEDICINA II                                       ","Acta Fisiatrica (USP)","B5",2008
"0300-9033","MEDICINA II                                       ","Acta Gastroenterológica Latinoamericana","B3",2008
"0001-5792","MEDICINA II                                       ","Acta Haematologica","B1",2008
"0065-1281","MEDICINA II                                       ","Acta Histochemica (Print)","B1",2008
"0567-7572","MEDICINA II                                       ","Acta Horticulturae","B3",2008
"0001-5938","MEDICINA II                                       ","Acta Leprologica","B3",2008
"0103-5037","MEDICINA II                                       ","Acta Médica (Porto Alegre)","B5",2008
"0870-399X","MEDICINA II                                       ","Acta Médica Portuguesa","B3",2008
"0001-6268","MEDICINA II                                       ","Acta Neurochirurgica","B1",2008
"0001-6314","MEDICINA II                                       ","Acta Neurologica Scandinavica","B1",2008
"0001-6322","MEDICINA II                                       ","Acta Neuropathologica","A1",2008
"0924-2708","MEDICINA II                                       ","Acta Neuropsychiatrica","B1",2008
"0001-6349","MEDICINA II                                       ","Acta Obstetricia et Gynecologica Scandinavica","B1",2008
"0326-4815","MEDICINA II                                       ","Acta Odontológica Latinoamericana","B3",2008
"0001-6357","MEDICINA II                                       ","Acta Odontologica Scandinavica (Trykt utg.)","B2",2008
"0001-6365","MEDICINA II                                       ","Acta Odontológica Venezolana","B3",2008
"0284-186X","MEDICINA II                                       ","Acta Oncologica (Stockholm)","A2",2008
"0100-3127","MEDICINA II                                       ","Acta Oncologica Brasileira (Cessou em 2004. Cont. ISSN 1808-5512 Applied Cancer Research (Impresso))","B5",2008
"1395-3907","MEDICINA II                                       ","Acta Ophthalmologica Scandinavica (Cessou em 2007. Cont. ISSN 1755-375X Acta Ophthalmologica (2008. Print))","B3",2008
"1413-7852","MEDICINA II                                       ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0001-6489","MEDICINA II                                       ","Acta Oto-Laryngologica","B2",2008
"0803-5253","MEDICINA II                                       ","Acta Paediatrica (Oslo)","B1",2008
"0001-656X","MEDICINA II                                       ","Acta Paediatrica Scandinavica","B3",2008
"1230-2821","MEDICINA II                                       ","Acta Parasitologica","B2",2008
"0103-2100","MEDICINA II                                       ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","B4",2008
"0873-9781","MEDICINA II                                       ","Acta Pediatrica Portuguesa","B5",2008
"1748-1708","MEDICINA II                                       ","Acta Physiologica (Print)","A2",2008
"0231-424X","MEDICINA II                                       ","Acta Physiologica Hungarica (Print)","B2",2008
"0001-690X","MEDICINA II                                       ","Acta Psychiatrica Scandinavica","A2",2008
"0065-1591","MEDICINA II                                       ","Acta Psychiatrica Scandinavica. Supplementum","B3",2008
"0284-1851","MEDICINA II                                       ","Acta Radiologica (1987)","B2",2008
"0303-464X","MEDICINA II                                       ","Acta Reumatológica Portuguesa","B3",2008
"1679-9216","MEDICINA II                                       ","Acta Scientiae Veterinariae (Online)","B5",2008
"1678-0345","MEDICINA II                                       ","Acta Scientiae Veterinariae (UFRGS. Impresso)","B5",2008
"1415-6814","MEDICINA II                                       ","Acta Scientiarum (UEM) (Cessou em 2002)","B5",2008
"1679-9291","MEDICINA II                                       ","Acta Scientiarum. Health Sciences (Impresso)","B5",2008
"0001-706X","MEDICINA II                                       ","Acta Tropica","B1",2008
"1139-9287","MEDICINA II                                       ","Actas Espanõlas de Psiquiatría","B2",2008
"0360-1293","MEDICINA II                                       ","Acupuncture & Electro-Therapeutics Research","B2",2008
"1366-0071","MEDICINA II                                       ","Acute Pain","B5",2008
"0965-2140","MEDICINA II                                       ","Addiction (Abingdon. Print)","A1",2008
"0001-8082","MEDICINA II                                       ","Addiction (Toronto)","B5",2008
"0306-4603","MEDICINA II                                       ","Addictive Behaviors","B1",2008
"0935-9648","MEDICINA II                                       ","Advanced Materials (Weinheim Print)","A1",2008
"1072-4109","MEDICINA II                                       ","Advances in Anatomic Pathology","A2",2008
"0065-230X","MEDICINA II                                       ","Advances in Cancer Research","A1",2008
"1548-5595","MEDICINA II                                       ","Advances in Chronic Kidney Disease (Print)","B1",2008
"0065-2776","MEDICINA II                                       ","Advances in Immunology (Print)","A1",2008
"0091-3952","MEDICINA II                                       ","Advances in Neurology","B3",2008
"1043-4046","MEDICINA II                                       ","Advances in Physiology Education","B1",2008
"1522-1229","MEDICINA II                                       ","Advances in Physiology Education (Online)","B5",2008
"0364-216X","MEDICINA II                                       ","Aesthetic Plastic Surgery","B2",2008
"0096-140X","MEDICINA II                                       ","Aggressive Behavior (Print)","B1",2008
"1360-7863","MEDICINA II                                       ","Aging & Mental Health (Print)","B1",2008
"1594-0667","MEDICINA II                                       ","Aging Clinical and Experimental Research (Testo stampato)","B1",2008
"0269-9370","MEDICINA II                                       ","AIDS (London)","A1",2008
"1350-2840","MEDICINA II                                       ","AIDS (Supplement)","B3",2008
"1090-7165","MEDICINA II                                       ","AIDS and Behavior","A2",2008
"0954-0121","MEDICINA II                                       ","AIDS Care (Print)","B1",2008
"1087-2914","MEDICINA II                                       ","AIDS patient care and STDs","A2",2008
"0889-2229","MEDICINA II                                       ","AIDS Research and Human Retroviruses","B1",2008
"1742-6405","MEDICINA II                                       ","AIDS Research and Therapy","B3",2008
"0094-243X","MEDICINA II                                       ","AIP Conference Proceedings","B5",2008
"0717-4055","MEDICINA II                                       ","ALASBIMN Journal","B5",2008
"0741-8329","MEDICINA II                                       ","Alcohol (Fayetteville, N.Y.)","A2",2008
"0735-0414","MEDICINA II                                       ","Alcohol and Alcoholism (Oxford)","B1",2008
