"1516-1528","ODONTOLOGIA                                       ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1809-4856","ODONTOLOGIA                                       ","@rquivos internacionais de otorrinolaringologia (Online)","B5",2008
"1523-5378","ODONTOLOGIA                                       ","© 2007 The Authors. Journal compilation","C ",2008
"1085-3375","ODONTOLOGIA                                       ","Abstract and Applied Analysis","B2",2008
"1678-1899","ODONTOLOGIA                                       ","ACDC em Ação (Online)","B5",2008
"0001-5172","ODONTOLOGIA                                       ","Acta Anaesthesiologica Scandinavica","A2",2008
"0717-5906","ODONTOLOGIA                                       ","Acta Bioethica (Impresa)","B3",2008
"1726-569X","ODONTOLOGIA                                       ","Acta Bioethica OMS (Online)","B3",2008
"0001-5504","ODONTOLOGIA                                       ","Acta Científica Venezolana","B3",2008
"0102-8650","ODONTOLOGIA                                       ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"0001-5547","ODONTOLOGIA                                       ","Acta Cytologica","B1",2008
"1359-6454","ODONTOLOGIA                                       ","Acta Materialia (Oxford)","A1",2008
"0326-4815","ODONTOLOGIA                                       ","Acta Odontológica Latinoamericana","B3",2008
"0001-6357","ODONTOLOGIA                                       ","Acta Odontologica Scandinavica (Trykt utg.)","B2",2008
"0001-6365","ODONTOLOGIA                                       ","Acta Odontológica Venezolana","B3",2008
"0100-3127","ODONTOLOGIA                                       ","Acta Oncologica Brasileira (Cessou em 2004. Cont. ISSN 1808-5512 Applied Cancer Research (Impresso))","B4",2008
"1395-3907","ODONTOLOGIA                                       ","Acta Ophthalmologica Scandinavica (Cessou em 2007. Cont. ISSN 1755-375X Acta Ophthalmologica (2008. Print))","B1",2008
"1413-7852","ODONTOLOGIA                                       ","Acta Ortopédica Brasileira (Impresso)","B3",2008
"0001-6489","ODONTOLOGIA                                       ","Acta Oto-Laryngologica","B1",2008
"0303-464X","ODONTOLOGIA                                       ","Acta Reumatológica Portuguesa","B5",2008
"1679-9291","ODONTOLOGIA                                       ","Acta Scientiarum. Health Sciences (Impresso)","B5",2008
