"1676-0336","PSICOLOGIA                                        ","A Terceira Idade","B4",2008
"0102-6720","PSICOLOGIA                                        ","ABCD. Arquivos Brasileiros de Cirurgia Digestiva","B4",2008
"1315-401X","PSICOLOGIA                                        ","Acción Pedagógica (San Cristóbal)","B3",2008
"1677-8855","PSICOLOGIA                                        ","Achegas.net","B5",2008
"0329-9147","PSICOLOGIA                                        ","Acheronta (En línea)","B5",2008
"1980-7686","PSICOLOGIA                                        ","Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)","B4",2008
"0101-5354","PSICOLOGIA                                        ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B4",2008
"0102-8650","PSICOLOGIA                                        ","Acta Cirúrgica Brasileira (Impresso)","B2",2008
"0188-8145","PSICOLOGIA                                        ","Acta Comportamentalia","B1",2008
"0873-9749","PSICOLOGIA                                        ","Acta Ethologica (Print)","A2",2008
"0104-7795","PSICOLOGIA                                        ","Acta Fisiatrica (USP)","B2",2008
"0103-5037","PSICOLOGIA                                        ","Acta Médica (Porto Alegre)","B4",2008
"0001-6314","PSICOLOGIA                                        ","Acta Neurologica Scandinavica","B1",2008
"0100-3127","PSICOLOGIA                                        ","Acta Oncologica Brasileira (Cessou em 2004. Cont. ISSN 1808-5512 Applied Cancer Research (Impresso))","B4",2008
"0103-2100","PSICOLOGIA                                        ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","B1",2008
"0001-6896","PSICOLOGIA                                        ","Acta Psiquiátrica y Psicológica de América Latina","B1",2008
"0001-690X","PSICOLOGIA                                        ","Acta Psychiatrica Scandinavica","A2",2008
"1678-0345","PSICOLOGIA                                        ","Acta Scientiae Veterinariae (UFRGS. Impresso)","B5",2008
"1807-8672","PSICOLOGIA                                        ","Acta Scientiarum. Animal Sciences","B2",2008
"1679-7361","PSICOLOGIA                                        ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B4",2008
"1980-4172","PSICOLOGIA                                        ","Actio (São Paulo. Online)","B5",2008
"1366-0071","PSICOLOGIA                                        ","Acute Pain","B5",2008
"0751-7696","PSICOLOGIA                                        ","Adolescence (Paris)","B5",2008
"1414-7130","PSICOLOGIA                                        ","Adolescência Latinoamericana","B3",2008
"1980-8224","PSICOLOGIA                                        ","Adverbum (Campinas)","B5",2008
"1808-8554","PSICOLOGIA                                        ","Agathos (Idaial)","C ",2008
"1360-7863","PSICOLOGIA                                        ","Aging & Mental Health (Print)","A1",2008
"1516-1498","PSICOLOGIA                                        ","Ágora ( PPGTP/UFRJ)","A2",2008
"1496-9580","PSICOLOGIA                                        ","Agora (Edmonton)","B5",2008
"1414-0454","PSICOLOGIA                                        ","Ágora (UNISC)","B5",2008
"1578-9705","PSICOLOGIA                                        ","AIBR. Asociación de Antropólogos Iberoamericanos en Red","B5",2008
"0269-9370","PSICOLOGIA                                        ","AIDS (London)","A2",2008
"1090-7165","PSICOLOGIA                                        ","AIDS and Behavior","B1",2008
"0954-0121","PSICOLOGIA                                        ","AIDS Care (Print)","A2",2008
"1087-2914","PSICOLOGIA                                        ","AIDS patient care and STDs","B1",2008
"1518-8728","PSICOLOGIA                                        ","Alceu (PUCRJ)","B4",2008
"1807-6211","PSICOLOGIA                                        ","Aleph (UFF. Online)","B5",2008
"1413-0394","PSICOLOGIA                                        ","Aletheia (ULBRA)","B1",2008
"1679-3749","PSICOLOGIA                                        ","Aletria (UFMG)","B3",2008
"0002-5216","PSICOLOGIA                                        ","Alfa: Revista de Linguística (UNESP. São José do Rio Preto. Impresso)","B3",2008
"1519-1893","PSICOLOGIA                                        ","Alter (Rio de Janeiro)","B5",2008
"0100-1655","PSICOLOGIA                                        ","Alter: Revista de Estudos Psicanalíticos","B5",2008
"1405-339X","PSICOLOGIA                                        ","Alternativas en Psicología","B2",2008
"0893-0341","PSICOLOGIA                                        ","Alzheimer Disease and Associated Disorders","B1",2008
"1552-5260","PSICOLOGIA                                        ","Alzheimer's & Dementia","A2",2008
"1413-8638","PSICOLOGIA                                        ","Ambiente & Educação (FURG)","B5",2008
"1414-753X","PSICOLOGIA                                        ","Ambiente e Sociedade (Campinas)","B2",2008
"0002-726X","PSICOLOGIA                                        ","American Annals of the Deaf (Washington, D.C. 1886. Print)","A2",2008
"1042-0533","PSICOLOGIA                                        ","American Journal of Human Biology","B1",2008
"0002-9297","PSICOLOGIA                                        ","American Journal of Human Genetics","A2",2008
