"1676-0336","SERVIÇO SOCIAL                                    ","A Terceira Idade","B4",2008
"1677-8855","SERVIÇO SOCIAL                                    ","Achegas.net","B5",2008
"0803-5253","SERVIÇO SOCIAL                                    ","Acta Paediatrica (Oslo)","A2",2008
"0994-4524","SERVIÇO SOCIAL                                    ","Actuel Marx","B2",2008
"1516-1498","SERVIÇO SOCIAL                                    ","Ágora ( PPGTP/UFRJ)","A2",2008
"0104-7507","SERVIÇO SOCIAL                                    ","Agora (UNC)","B3",2008
"1807-6211","SERVIÇO SOCIAL                                    ","Aleph (UFF. Online)","B4",2008
"1518-0360","SERVIÇO SOCIAL                                    ","Âmbito Jurídico","B5",2008
"1390-1230","SERVIÇO SOCIAL                                    ","America Latina en Movimiento","B5",2008
"0090-0036","SERVIÇO SOCIAL                                    ","American Journal of Public Health (1971)","A2",2008
"1135-1853","SERVIÇO SOCIAL                                    ","Anales del Museo Nacional de Antropología Nos-Otros","B4",2008
"1516-2680","SERVIÇO SOCIAL                                    ","Análise (PUCRS)","B1",2008
"0103-9253","SERVIÇO SOCIAL                                    ","Ariús: Revista de Ciências Humanas e Artes (UFCG)","B5",2008
"1794-7480","SERVIÇO SOCIAL                                    ","Arqueologia Suramericana","B5",2008
"0066-782X","SERVIÇO SOCIAL                                    ","Arquivos Brasileiros de Cardiologia (Impresso)","B1",2008
"0100-8692","SERVIÇO SOCIAL                                    ","Arquivos Brasileiros de Psicologia (Rio de Janeiro. 1979) (Cessou em 2002)","A2",2008
,"SERVIÇO SOCIAL                                    ","Arquivos do Instituto Brasileiro de Direito Social Cesarino Júnior","C ",2008
"0101-6067","SERVIÇO SOCIAL                                    ","Arquivos Médicos dos Hospitais e da Faculdade de Ciências Médicas da Santa Casa de São Paulo (Impresso)","B5",2008
"1516-8603","SERVIÇO SOCIAL                                    ","ArtCultura (UFU)","B2",2008
"1578-8946","SERVIÇO SOCIAL                                    ","Athenea Digital","A2",2008
"1676-3742","SERVIÇO SOCIAL                                    ","Atualidade Teológica (PUCRJ)","C ",2008
"1982-0518","SERVIÇO SOCIAL                                    ","Bagoas : Revista de Estudos Gays","B3",2008
"0103-8117","SERVIÇO SOCIAL                                    ","Bahia Analise & Dados","B5",2008
"0104-6578","SERVIÇO SOCIAL                                    ","Barbarói (UNISC. Impresso)","B1",2008
"0104-1401","SERVIÇO SOCIAL                                    ","Bioética (Brasília) (Cessou em 2006. Cont. ISSN 1983-8042 Revista Bioética (Impresso))","B3",2008
"0100-6150","SERVIÇO SOCIAL                                    ","BJA Boletim de Jurisprudência","C ",2008
"1646-3137","SERVIÇO SOCIAL                                    ","BOCC. Biblioteca On-line de Ciências da Comunicação","C ",2008
"1516-1781","SERVIÇO SOCIAL                                    ","Boletim da Comissão Maranhense de Folclore","B5",2008
"0102-1001","SERVIÇO SOCIAL                                    ","Boletim da Saúde","C ",2008
"0102-549X","SERVIÇO SOCIAL                                    ","Boletim Técnico do SENAC","B5",2008
"0100-879X","SERVIÇO SOCIAL                                    ","Brazilian Journal of Medical and Biological Research (Impresso)","A2",2008
"0110-4381","SERVIÇO SOCIAL                                    ","Build (Wellington)","C ",2008
"0045-3609","SERVIÇO SOCIAL                                    ","Business and Society Review (1974)","B1",2008
"0103-4979","SERVIÇO SOCIAL                                    ","Caderno CRH (UFBA. Impresso)","A2",2008
"3256-502X","SERVIÇO SOCIAL                                    ","Caderno de Cultura do Sindicato dos Professores de Campinas e Região","B5",2008
"1807-3492","SERVIÇO SOCIAL                                    ","Caderno Pós Ciências Sociais (UFMA) (Cessou em 2005. Cont. 1983-4527 Revista Pós Ciências Sociais (UFMA))","B5",2008
"1517-4484","SERVIÇO SOCIAL                                    ","Cadernos ABONG","B5",2008
"1518-0395","SERVIÇO SOCIAL                                    ","Cadernos Camilliani","B5",2008
"1808-0758","SERVIÇO SOCIAL                                    ","Cadernos de Estudos - Secretaria de Avaliação e Gestão da Informação","B5",2008
"0102-4175","SERVIÇO SOCIAL                                    ","Cadernos de Pesquisa - Universidade Federal do Maranhão","C ",2008
"1983-8352","SERVIÇO SOCIAL                                    ","Cadernos de Pesquisa: Anuário da Graduação do Departamento de Serviço Social","C ",2008
"1519-0307","SERVIÇO SOCIAL                                    ","Cadernos de Pós-Graduação em Distúrbios do Desenvolvimento (Cessou em 2002. Cont. ISSN 1809-4139 Cadernos de Pós Graduação em Distúrbios do Desenvolvimento (Online))","B5",2008
"0102-311X","SERVIÇO SOCIAL                                    ","Cadernos de Saúde Pública (ENSP. Impresso)","A2",2008
"1415-1650","SERVIÇO SOCIAL                                    ","Cadernos de Serviço Social (PUCCAMP)","B5",2008
"0103-510X","SERVIÇO SOCIAL                                    ","Cadernos do CEAM (UnB)","B4",2008
"1413-909X","SERVIÇO SOCIAL                                    ","Cadernos do CES (UFF)","B5",2008
"1414-0160","SERVIÇO SOCIAL                                    ","Cadernos IPUB (UFRJ)","B5",2008
"1517-2422","SERVIÇO SOCIAL                                    ","Cadernos Metrópole (PUCSP)","B4",2008
"0104-8333","SERVIÇO SOCIAL                                    ","Cadernos Pagu (UNICAMP. Impresso)","A2",2008
"1980-4784","SERVIÇO SOCIAL                                    ","Cadernos UFS. Serviço Social","B5",2008
"1809-9475","SERVIÇO SOCIAL                                    ","Cadernos UniFOA (Impresso)","B5",2008
"0102-3853","SERVIÇO SOCIAL                                    ","Cambiassú (UFMA)","B5",2008
"1678-3034","SERVIÇO SOCIAL                                    ","Caminhos (UCG. Impresso)","B4",2008
"0101-5532","SERVIÇO SOCIAL                                    ","Carta CEPRO","B5",2008
"1669-8843","SERVIÇO SOCIAL                                    ","Cátedra Paralela (Universidad Nacional de Rosario)","B5",2008
"0102-1109","SERVIÇO SOCIAL                                    ","CES Revista (CES/JF. Impresso)","B5",2008
"1807-4049","SERVIÇO SOCIAL                                    ","CETEC. Revista de Ciência, Empreendedorismo e Tecnologia","B5",2008
"1546-2250","SERVIÇO SOCIAL                                    ","Children, Youth and Environments","B2",2008
"1980-0029","SERVIÇO SOCIAL                                    ","Ciência e Cultura (Barretos)","C ",2008
"1413-8123","SERVIÇO SOCIAL                                    ","Ciência e Saúde Coletiva (Impresso)","A2",2008
"0101-8515","SERVIÇO SOCIAL                                    ","Ciência Hoje","B5",2008
"1677-3861","SERVIÇO SOCIAL                                    ","Ciência, Cuidado & Saúde","B1",2008
