"0104-7922","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","A Agua em Revista","B5",2007
"1413-6090","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","A Economia em Revista","B5",2007
"1980-4814","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","ABCustos (São Leopoldo)","B5",2007
"1012-8255","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Academia (Caracas)","B2",2007
"1677-8855","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Achegas.net","C ",2007
"1850-2032","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Actas de Diseño","C ",2007
"0100-4298","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Agroanalysis (FGV)","C ",2007
"1413-2591","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Alcance (UNIVALI) (Cessou em 2007)","B3",2007
"1807-6211","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Aleph (UFF. Online)","C ",2007
"1415-8876","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Ambiente Construído (São Paulo. Impresso)","B2",2007
"1516-2680","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Análise (PUCRS)","B4",2007
"1980-6302","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Análise (UFRGS)","B4",2007
"0102-9924","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Análise Econômica (UFRGS)","B3",2007
"1677-907X","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Animus (Santa Maria)","C ",2007
"1807-1589","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Anualpec (São Paulo)","C ",2007
"1204-6140","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Applied Semiotics (Online)","C ",2007
"1524-1904","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Applied Stochastic Models in Business and Industry (Print)","A2",2007
"1809-6298","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO       ","Arquitextos (São Paulo)","C ",2007
