"1530-9932","BIOTECNOLOGIA                                     ","AAPS PharmSciTech","B2",2008
"0874-2731","BIOTECNOLOGIA                                     ","ABO. Revista de Medicina Transfusional","C ",2008
"0139-3006","BIOTECNOLOGIA                                     ","Acta Alimentaria (Print)","B4",2008
"0044-5967","BIOTECNOLOGIA                                     ","Acta Amazonica (Impresso)","B4",2008
"0001-5326","BIOTECNOLOGIA                                     ","Acta Biologica Venezuelica","C ",2008
"0102-3306","BIOTECNOLOGIA                                     ","Acta Botanica Brasílica (Impresso)","B4",2008
"0102-8650","BIOTECNOLOGIA                                     ","Acta Cirúrgica Brasileira (Impresso)","B4",2008
"1678-2674","BIOTECNOLOGIA                                     ","Acta Cirúrgica Brasileira (Online)","B4",2008
"0108-2701","BIOTECNOLOGIA                                     ","Acta Crystallographica. Section C, Crystal Structure Communications.","B4",2008
"0907-4449","BIOTECNOLOGIA                                     ","Acta Crystallographica. Section D, Biological Crystallography","B1",2008
"1600-5368","BIOTECNOLOGIA                                     ","Acta Crystallographica. Section E","B4",2008
"1744-3091","BIOTECNOLOGIA                                     ","Acta Crystallographica. Section F","B4",2008
"0001-5547","BIOTECNOLOGIA                                     ","Acta Cytologica","B3",2008
"0326-2383","BIOTECNOLOGIA                                     ","Acta Farmacéutica Bonaerense","B5",2008
"0001-5792","BIOTECNOLOGIA                                     ","Acta Haematologica","B3",2008
"0065-1281","BIOTECNOLOGIA                                     ","Acta Histochemica (Print)","B3",2008
"0567-7572","BIOTECNOLOGIA                                     ","Acta Horticulturae","C ",2008
"0870-399X","BIOTECNOLOGIA                                     ","Acta Médica Portuguesa","C ",2008
"0001-6322","BIOTECNOLOGIA                                     ","Acta Neuropathologica","A1",2008
"0284-186X","BIOTECNOLOGIA                                     ","Acta Oncologica (Stockholm)","B1",2008
"1413-7852","BIOTECNOLOGIA                                     ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0803-5253","BIOTECNOLOGIA                                     ","Acta Paediatrica (Oslo)","B2",2008
"0137-5881","BIOTECNOLOGIA                                     ","Acta Physiologiae Plantarum","B3",2008
"0065-1583","BIOTECNOLOGIA                                     ","Acta Protozoologica (Druk)","B3",2008
"1679-9216","BIOTECNOLOGIA                                     ","Acta Scientiae Veterinariae (Online)","C ",2008
"1678-0345","BIOTECNOLOGIA                                     ","Acta Scientiae Veterinariae (UFRGS. Impresso)","C ",2008
"1415-6814","BIOTECNOLOGIA                                     ","Acta Scientiarum (UEM) (Cessou em 2002)","C ",2008
"1679-9275","BIOTECNOLOGIA                                     ","Acta Scientiarum. Agronomy (Impresso)","C ",2008
"1807-8621","BIOTECNOLOGIA                                     ","Acta Scientiarum. Agronomy (Online)","C ",2008
"1807-8672","BIOTECNOLOGIA                                     ","Acta Scientiarum. Animal Sciences","C ",2008
"1807-863X","BIOTECNOLOGIA                                     ","Acta Scientiarum. Biological Sciences (Online)","C ",2008
"1679-9291","BIOTECNOLOGIA                                     ","Acta Scientiarum. Health Sciences (Impresso)","C ",2008
"0001-706X","BIOTECNOLOGIA                                     ","Acta Tropica","B2",2008
"0236-6290","BIOTECNOLOGIA                                     ","Acta Veterinaria Hungarica (1983)","B4",2008
"0001-723X","BIOTECNOLOGIA                                     ","Acta Virologica (English ed.)","B3",2008
"0001-7272","BIOTECNOLOGIA                                     ","Acta Zoologica (Stockholm)","B3",2008
"0263-6174","BIOTECNOLOGIA                                     ","Adsorption Science & Technology","B4",2008
"0169-409X","BIOTECNOLOGIA                                     ","Advanced Drug Delivery Reviews","A1",2008
"0065-2598","BIOTECNOLOGIA                                     ","Advances in Experimental Medicine and Biology","B4",2008
"0065-2776","BIOTECNOLOGIA                                     ","Advances in Immunology (Print)","A1",2008
"1684-5315","BIOTECNOLOGIA                                     ","African Journal of Biotechnology","B4",2008
"1594-0667","BIOTECNOLOGIA                                     ","Aging Clinical and Experimental Research (Testo stampato)","B3",2008
"1981-0997","BIOTECNOLOGIA                                     ","Agrária (Recife. Online)","C ",2008
"0167-4366","BIOTECNOLOGIA                                     ","Agroforestry Systems (Print)","B3",2008
"0269-9370","BIOTECNOLOGIA                                     ","AIDS (London)","A1",2008
"1090-7165","BIOTECNOLOGIA                                     ","AIDS and Behavior","B1",2008
"0889-2229","BIOTECNOLOGIA                                     ","AIDS Research and Human Retroviruses","B2",2008
"0145-6008","BIOTECNOLOGIA                                     ","Alcoholism, Clinical and Experimental Research","B1",2008
"0971-4693","BIOTECNOLOGIA                                     ","Allelopathy Journal","B4",2008
"0105-4538","BIOTECNOLOGIA                                     ","Allergy (Copenhagen)","A1",2008
"1088-5412","BIOTECNOLOGIA                                     ","Allergy and Asthma Proceedings (Print)","B2",2008
"0065-6755","BIOTECNOLOGIA                                     ","Amazoniana (Kiel)","B5",2008
"0002-9122","BIOTECNOLOGIA                                     ","American Journal of Botany","B1",2008
"0002-9165","BIOTECNOLOGIA                                     ","American Journal of Clinical Nutrition","A1",2008
"0002-9173","BIOTECNOLOGIA                                     ","American Journal of Clinical Pathology","B1",2008
"0002-9262","BIOTECNOLOGIA                                     ","American Journal of Epidemiology","A1",2008
"0002-9297","BIOTECNOLOGIA                                     ","American Journal of Human Genetics","A1",2008
"0148-7299","BIOTECNOLOGIA                                     ","American Journal of Medical Genetics (Print) (Cessou em 2002. Foi desdobrado em três: ISSN 1552-4825, 1552-4841 e 1552-4868)","B1",2008
"1552-4825","BIOTECNOLOGIA                                     ","American Journal of Medical Genetics. Part A","B1",2008
"0002-9378","BIOTECNOLOGIA                                     ","American Journal of Obstetrics and Gynecology (Print)","A2",2008
"0196-0709","BIOTECNOLOGIA                                     ","American Journal of Otolaryngology (Print)","B3",2008
"0363-6135","BIOTECNOLOGIA                                     ","American Journal of Physiology. Heart and Circulatory Physiology","A2",2008
"0275-2565","BIOTECNOLOGIA                                     ","American Journal of Primatology (Print)","B2",2008
"1046-7408","BIOTECNOLOGIA                                     ","American Journal of Reproductive Immunology (1989)","B1",2008
"8755-8920","BIOTECNOLOGIA                                     ","American Journal of Reproductive Immunology and Microbiology (Cessou em 1988. Cont. 1046-7408 American Journal of Reproductive Immunology)","B2",2008
"1073-449X","BIOTECNOLOGIA                                     ","American Journal of Respiratory and Critical Care Medicine","A1",2008
"1044-1549","BIOTECNOLOGIA                                     ","American Journal of Respiratory Cell and Molecular Biology","A2",2008
"0002-9599","BIOTECNOLOGIA                                     ","American Journal of Science (1880)","B1",2008
"1600-6135","BIOTECNOLOGIA                                     ","American Journal of Transplantation (Print)","A1",2008
"0002-9645","BIOTECNOLOGIA                                     ","American Journal of Veterinary Research","B3",2008
"0939-4451","BIOTECNOLOGIA                                     ","Amino Acids (Wien. Print)","A2",2008
"0173-5373","BIOTECNOLOGIA                                     ","Amphibia-Reptilia","B4",2008
"1075-9964","BIOTECNOLOGIA                                     ","Anaerobe (London. Print)","B2",2008
"0365-0596","BIOTECNOLOGIA                                     ","Anais Brasileiros de Dermatologia (Impresso)","C ",2008
"0001-3765","BIOTECNOLOGIA                                     ","Anais da Academia Brasileira de Ciências (Impresso)","B3",2008
"0003-2654","BIOTECNOLOGIA                                     ","Analyst (London. 1877. Print)","A2",2008
"1677-3055","BIOTECNOLOGIA                                     ","Analytica (São Paulo)","C ",2008
"0003-2670","BIOTECNOLOGIA                                     ","Analytica Chimica Acta (Print)","B1",2008
"1618-2642","BIOTECNOLOGIA                                     ","Analytical and Bioanalytical Chemistry","B1",2008
"0003-2697","BIOTECNOLOGIA                                     ","Analytical Biochemistry (Print)","B1",2008
"0003-2700","BIOTECNOLOGIA                                     ","Analytical Chemistry (Washington)","A1",2008
"0003-2719","BIOTECNOLOGIA                                     ","Analytical Letters","B3",2008
"0340-2096","BIOTECNOLOGIA                                     ","Anatomia, Histologia, Embryologia","B4",2008
"0303-4569","BIOTECNOLOGIA                                     ","Andrologia (Berlin)","B3",2008
"1049-5398","BIOTECNOLOGIA                                     ","Animal Biotechnology","B4",2008
"1367-9430","BIOTECNOLOGIA                                     ","Animal Conservation (Print)","B1",2008
"0268-9146","BIOTECNOLOGIA                                     ","Animal Genetics (Print)","B1",2008
"0378-4320","BIOTECNOLOGIA                                     ","Animal Reproduction Science (Print)","B2",2008
"0003-4746","BIOTECNOLOGIA                                     ","Annals of Applied Biology","B2",2008
"0305-7364","BIOTECNOLOGIA                                     ","Annals of Botany (Print)","B1",2008
"1092-9134","BIOTECNOLOGIA                                     ","Annals of Diagnostic Pathology (Print)","C ",2008
"1590-4261","BIOTECNOLOGIA                                     ","Annals of Microbiology","B4",2008
"0013-8746","BIOTECNOLOGIA                                     ","Annals of the Entomological Society of America","B3",2008
"0026-6493","BIOTECNOLOGIA                                     ","Annals of the Missouri Botanical Garden","B3",2008
"0077-8923","BIOTECNOLOGIA                                     ","Annals of the New York Academy of Sciences","B1",2008
"0003-4983","BIOTECNOLOGIA                                     ","Annals of Tropical Medicine and Parasitology","B2",2008
"0954-1020","BIOTECNOLOGIA                                     ","Antarctic Science (Print)","B2",2008
"0959-4973","BIOTECNOLOGIA                                     ","Anti-Cancer Drugs","B1",2008
"0003-5599","BIOTECNOLOGIA                                     ","Anti-Corrosion Methods and Materials","B4",2008
"0066-4804","BIOTECNOLOGIA                                     ","Antimicrobial Agents and Chemotherapy (Print)","A2",2008
"0166-3542","BIOTECNOLOGIA                                     ","Antiviral Research","A2",2008
"0003-6072","BIOTECNOLOGIA                                     ","Antonie van Leeuwenhoek (Gedrukt)","B2",2008
"0044-8435","BIOTECNOLOGIA                                     ","Apidologie (Celle)","B2",2008
"1360-8185","BIOTECNOLOGIA                                     ","Apoptosis (London)","A2",2008
"0099-2240","BIOTECNOLOGIA                                     ","Applied and Environmental Microbiology (Print)","A2",2008
"0273-2289","BIOTECNOLOGIA                                     ","Applied Biochemistry and Biotechnology","B3",2008
"0926-860X","BIOTECNOLOGIA                                     ","Applied Catalysis. A, General (Print)","B1",2008
"0924-669X","BIOTECNOLOGIA                                     ","Applied Intelligence (Boston)","B4",2008
"0175-7598","BIOTECNOLOGIA                                     ","Applied Microbiology and Biotechnology","B1",2008
"0003-6951","BIOTECNOLOGIA                                     ","Applied Physics Letters","A2",2008
"0947-8396","BIOTECNOLOGIA                                     ","Applied Physics. A, Materials Science & Processing (Print)","B2",2008
"0969-8043","BIOTECNOLOGIA                                     ","Applied Radiation and Isotopes","B3",2008
"0929-1393","BIOTECNOLOGIA                                     ","Applied Soil Ecology (Print)","B1",2008
"0169-4332","BIOTECNOLOGIA                                     ","Applied Surface Science","B2",2008
"0144-8609","BIOTECNOLOGIA                                     ","Aquacultural Engineering","B2",2008
"0044-8486","BIOTECNOLOGIA                                     ","Aquaculture (Amsterdam)","B2",2008
"0967-6120","BIOTECNOLOGIA                                     ","Aquaculture International","B4",2008
"1355-557X","BIOTECNOLOGIA                                     ","Aquaculture Research (Print)","B3",2008
"1463-4988","BIOTECNOLOGIA                                     ","Aquatic Ecosystem Health & Management","B4",2008
"0990-7440","BIOTECNOLOGIA                                     ","Aquatic Living Resources","B4",2008
"0166-445X","BIOTECNOLOGIA                                     ","Aquatic Toxicology","A2",2008
"1517-3011","BIOTECNOLOGIA                                     ","ARBS. Annual Review of Biomedical Sciences (Impresso)","C ",2008
"0365-6233","BIOTECNOLOGIA                                     ","Archiv der Pharmazie (Weinheim)","B2",2008
"0003-9861","BIOTECNOLOGIA                                     ","Archives of Biochemistry and Biophysics (Print)","B1",2008
"0003-987X","BIOTECNOLOGIA                                     ","Archives of Dermatology (1960)","B1",2008
"0090-4341","BIOTECNOLOGIA                                     ","Archives of Environmental Contamination and Toxicology (Print)","B2",2008
"0739-4462","BIOTECNOLOGIA                                     ","Archives of Insect Biochemistry and Physiology","B3",2008
"0188-4409","BIOTECNOLOGIA                                     ","Archives of Medical Research","B2",2008
"0302-8933","BIOTECNOLOGIA                                     ","Archives of Microbiology","B2",2008
"0003-9969","BIOTECNOLOGIA                                     ","Archives of Oral Biology","B3",2008
"1517-784X","BIOTECNOLOGIA                                     ","Archives of Veterinary Science","C ",2008
"0304-8608","BIOTECNOLOGIA                                     ","Archives of Virology","B2",2008
"0004-0592","BIOTECNOLOGIA                                     ","Archivos de Zootecnia","C ",2008
"0004-069X","BIOTECNOLOGIA                                     ","Archivum Immunologiae et Therapiae Experimentalis","B2",2008
"1424-6376","BIOTECNOLOGIA                                     ","ARKIVOC","B3",2008
"0197-4033","BIOTECNOLOGIA                                     ","Aroideana","C ",2008
"0102-0935","BIOTECNOLOGIA                                     ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","B4",2008
"1678-4162","BIOTECNOLOGIA                                     ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia (Online)","B4",2008
"0066-782X","BIOTECNOLOGIA                                     ","Arquivos Brasileiros de Cardiologia (Impresso)","B4",2008
"0004-2730","BIOTECNOLOGIA                                     ","Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)","B4",2008
"0004-2749","BIOTECNOLOGIA                                     ","Arquivos Brasileiros de Oftalmologia (Impresso)","B4",2008
"1518-3327","BIOTECNOLOGIA                                     ","Arquivos Brasileiros de Psiquiatria, Neurologia e Medicina Legal (1999)","C ",2008
"0365-0979","BIOTECNOLOGIA                                     ","Arquivos de Biologia e Tecnologia (Cessou em 1997. Cont. ISSN 1516-8913 Brazilian Archives of Biology and Technology (Impresso))","C ",2008
"1807-1325","BIOTECNOLOGIA                                     ","Arquivos de Ciências da Saúde (FAMERP)","C ",2008
