"1516-3210","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","A&C. Revista de Direito Administrativo & Constitucional (Impresso)","B2",2008,
"1677-8855","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Achegas.net","B5",2008,
"0001-6810","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Acta Politica (Meppel)","B5",2008,
"0994-4524","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Actuel Marx","B2",2008,
"0104-8503","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","ADB (Brasília)","B5",2008,
"1850-2040","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ágora Internacional","B3",2008,
"1413-2591","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Alcance (UNIVALI) (Cessou em 2007)","B5",2008,
"1634-6386","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Alternatives Internationales","B3",2008,
"1809-4422","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ambiente & Sociedade (Online)","B1",2008,
"1414-753X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ambiente e Sociedade (Campinas)","B1",2008,
"1390-1230","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","America Latina en Movimiento","B3",2008,
"1130-2887","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","América Latina Hoy","A1",2008,
"1936-797X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Americas Quarterly","A1",2008,
"1807-1090","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Amicus Curiae (UNESC)","C ",2008,
"1516-2680","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Análise (PUCRS)","C ",2008,
"1809-8924","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Análise de Conjuntura OPSA","B2",2008,
"0003-2573","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Análise Social","A1",2008,
"0066-3085","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Annuaire Français de Droit International","B1",2008,
"1808-9194","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Antítese (Goiânia)","C ",2008,
"1984-3356","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Antíteses (Londrina)","C ",2008,
"1414-7378","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Antropolítica (UFF)","B5",2008,
"1982-1050","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Antropos (Manaus)","B5",2008,
"1575-6823","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Araucaria (Madrid)","B4",2008,
"0044-8613","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Archipel (Paris)","B4",2008,
"0328-3151","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Archivos del Presente","B1",2008,
"0338-3520","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Armées d'Aujourd'hui","B1",2008,
"1517-5987","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Arquivos de Direitos Humanos (Rio de Janeiro)","B4",2008,
"1035-7718","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Australian Journal of International Affairs","C ",2008,
"0100-199X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","BIB. Boletim Informativo e Bibliogrãfico de Ciências Sociais (Cessou em 1995) Cont. como: 1516-8085 BIB. Revista Brasileira de Informação Bibliografica em Ciências Sociais)","B1",2008,
"1516-8085","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","BIB. Revista Brasileira de Informação Bibliográfica em Ciências Sociais","B1",2008,
"1562-4730","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Biblios (Lima)","B2",2008,
"1982-1522","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim CEDES","B3",2008,
"1983-6414","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim Clubjus","C ",2008,
"1981-8122","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","B2",2008,
"1809-8827","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim OPSA","B4",2008,
"0102-549X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim Técnico do SENAC","B5",2008,
"1981-3384","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Boletim Tempo Presente (UFRJ)","B5",2008,
"1981-3821","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Brazilian Political Science Review","A2",2008,
"0068-2691","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","British Year Book of International Law","B2",2008,
"0261-3050","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Bulletin of Latin American Research","A1",2008,
"0096-3402","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Bulletin of the Atomic Scientists (Cessou em 2008. Cont. ISSN 1938-3282 Bulletin of the Atomic Scientists (Online))","C ",2008,
"0101-7780","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Caderno CEDEC","B2",2008,
"0103-4979","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Caderno CRH (UFBA. Impresso)","B3",2008,
"1519-0951","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos ADENAUER (São Paulo)","B2",2008,
"1677-9010","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos Aslegis (Impresso)","C ",2008,
"1980-2099","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos Cemarx","B4",2008,
"1679-3366","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos da Escola de Comunicação (Unibrasil)","C ",2008,
"1676-8450","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos da Escola do Legislativo","B3",2008,
"1808-9372","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos da FESPSP","C ",2008,
"1808-0758","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos de Estudos - Secretaria de Avaliação e Gestão da Informação","B5",2008,
"0102-4248","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos de Estudos Sociais","C ",2008,
"0102-311X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos de Saúde Pública (ENSP. Impresso)","B1",2008,
"1809-1814","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos de Sociologia e Política (Online)","B4",2008,
"1676-143X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos do Curso de Direito (Teresópolis)","C ",2008,
"0101-7993","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos do Terceiro Mundo","B4",2008,
"1679-3951","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos EBAPE.BR (FGV)","B3",2008,
"0104-7078","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos ENAP","B4",2008,
"1519-4639","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos Geográficos (UFSC)","B5",2008,
"1517-2422","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos Metrópole (PUCSP)","C ",2008,
"0104-8333","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos Pagu (UNICAMP. Impresso)","B1",2008,
"1676-6288","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cadernos PROLAM/USP","B4",2008,
"0989-5191","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cahiers du Brésil Contemporain","B1",2008,
"0826-3663","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Canadian Journal of Latin American and Caribbean Studies","A2",2008,
"1517-6916","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","CAOS. Revista Eletrônica de Ciências Sociais","B5",2008,
"1414-221X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Caros Amigos","C ",2008,
"1413-0904","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Carta Internacional (USP)","B5",2008,
