"0101-9163","CIÊNCIA DE ALIMENTOS                              ","A Hora Veterinária","B5",2008
"0023-9135","CIÊNCIA DE ALIMENTOS                              ","A Lavoura (Rio de Janeiro)","C ",2008
"0097-6156","CIÊNCIA DE ALIMENTOS                              ","ACS Symposium Series","C ",2008
"0139-3006","CIÊNCIA DE ALIMENTOS                              ","Acta Alimentaria (Print)","B2",2008
"0044-5967","CIÊNCIA DE ALIMENTOS                              ","Acta Amazonica (Impresso)","B3",2008
"0120-548X","CIÊNCIA DE ALIMENTOS                              ","Acta Biologica Colombiana","B4",2008
"0001-5504","CIÊNCIA DE ALIMENTOS                              ","Acta Científica Venezolana","C ",2008
"0102-8650","CIÊNCIA DE ALIMENTOS                              ","Acta Cirúrgica Brasileira (Impresso)","B4",2008
"0326-2383","CIÊNCIA DE ALIMENTOS                              ","Acta Farmacéutica Bonaerense","B2",2008
"0567-7572","CIÊNCIA DE ALIMENTOS                              ","Acta Horticulturae","B3",2008
"1679-9216","CIÊNCIA DE ALIMENTOS                              ","Acta Scientiae Veterinariae (Online)","B5",2008
"1415-6814","CIÊNCIA DE ALIMENTOS                              ","Acta Scientiarum (UEM) (Cessou em 2002)","C ",2008
"1679-9275","CIÊNCIA DE ALIMENTOS                              ","Acta Scientiarum. Agronomy (Impresso)","B5",2008
"1807-8672","CIÊNCIA DE ALIMENTOS                              ","Acta Scientiarum. Animal Sciences","B5",2008
"1806-2563","CIÊNCIA DE ALIMENTOS                              ","Acta Scientiarum. Technology (Impresso)","B5",2008
"1684-5315","CIÊNCIA DE ALIMENTOS                              ","African Journal of Biotechnology","B2",2008
"1996-0824","CIÊNCIA DE ALIMENTOS                              ","African Journal of Plant Science","C ",2008
"1981-0997","CIÊNCIA DE ALIMENTOS                              ","Agrária (Recife. Online)","C ",2008
"0365-2718","CIÊNCIA DE ALIMENTOS                              ","Agronomia (UFRRJ)","B5",2008
"0103-0779","CIÊNCIA DE ALIMENTOS                              ","Agropecuária Catarinense","B5",2008
"0300-5755","CIÊNCIA DE ALIMENTOS                              ","Alimentaria (Madrid)","B2",2008
"0103-4235","CIÊNCIA DE ALIMENTOS                              ","Alimentos e Nutrição (UNESP. Marilia)","B3",2008
"0971-4693","CIÊNCIA DE ALIMENTOS                              ","Allelopathy Journal","B2",2008
"1808-0251","CIÊNCIA DE ALIMENTOS                              ","Ambiência (UNICENTRO)","C ",2008
"0044-7447","CIÊNCIA DE ALIMENTOS                              ","Ambio (Oslo)","A2",2008
"1557-4571","CIÊNCIA DE ALIMENTOS                              ","American Journal of Food Technology","C ",2008
"0001-3765","CIÊNCIA DE ALIMENTOS                              ","Anais da Academia Brasileira de Ciências (Impresso)","B2",2008
"1137-6627","CIÊNCIA DE ALIMENTOS                              ","Anales del Sistema Sanitario de Navarra","B5",2008
