"1809-4872","CIÊNCIAS BIOLÓGICAS I                             ","@rquivos internacionais de otorrinolaringologia (Impresso)","C ",2008
"0101-9163","CIÊNCIAS BIOLÓGICAS I                             ","A Hora Veterinária","B5",2008
"1519-0552","CIÊNCIAS BIOLÓGICAS I                             ","Ação Ambiental (UFV)","B5",2008
"1544-3558","CIÊNCIAS BIOLÓGICAS I                             ","ACM Transactions on Applied Perception (Print)","B5",2008
"1046-8188","CIÊNCIAS BIOLÓGICAS I                             ","ACM Transactions on Information Systems","B2",2008
"0001-5113","CIÊNCIAS BIOLÓGICAS I                             ","Acta Adriatica","B5",2008
"0044-5967","CIÊNCIAS BIOLÓGICAS I                             ","Acta Amazonica (Impresso)","B4",2008
"1677-7298","CIÊNCIAS BIOLÓGICAS I                             ","Acta Ambiental Catarinense","B5",2008
"0001-527X","CIÊNCIAS BIOLÓGICAS I                             ","Acta Biochimica Polonica","B2",2008
"0120-548X","CIÊNCIAS BIOLÓGICAS I                             ","Acta Biologica Colombiana","B4",2008
"0236-5383","CIÊNCIAS BIOLÓGICAS I                             ","Acta Biologica Hungarica (Print)","B4",2008
"0101-5354","CIÊNCIAS BIOLÓGICAS I                             ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B5",2008
"0301-2123","CIÊNCIAS BIOLÓGICAS I                             ","Acta Biológica Paranaense","B5",2008
"0325-2957","CIÊNCIAS BIOLÓGICAS I                             ","Acta Bioquímica Clínica Latinoamericana","B5",2008
"0102-3306","CIÊNCIAS BIOLÓGICAS I                             ","Acta Botanica Brasílica (Impresso)","B3",2008
"0365-0588","CIÊNCIAS BIOLÓGICAS I                             ","Acta Botanica Croatica","B5",2008
"0236-6495","CIÊNCIAS BIOLÓGICAS I                             ","Acta Botanica Hungarica (Print)","B5",2008
"0210-9506","CIÊNCIAS BIOLÓGICAS I                             ","Acta Botánica Malacitana","B5",2008
"0084-5906","CIÊNCIAS BIOLÓGICAS I                             ","Acta Botánica Venezuélica","B5",2008
