"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0044-5967","CIÊNCIAS BIOLÓGICAS II                            ","Acta Amazonica (Impresso)","C ",2008
"0001-5172","CIÊNCIAS BIOLÓGICAS II                            ","Acta Anaesthesiologica Scandinavica","B2",2008
"0120-548X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Biologica Colombiana","C ",2008
"0102-3306","CIÊNCIAS BIOLÓGICAS II                            ","Acta Botanica Brasílica (Impresso)","C ",2008
"0102-8650","CIÊNCIAS BIOLÓGICAS II                            ","Acta Cirúrgica Brasileira (Impresso)","C ",2008
"1678-2674","CIÊNCIAS BIOLÓGICAS II                            ","Acta Cirúrgica Brasileira (Online)","C ",2008
"0907-4449","CIÊNCIAS BIOLÓGICAS II                            ","Acta Crystallographica. Section D, Biological Crystallography","B1",2008
"1600-5368","CIÊNCIAS BIOLÓGICAS II                            ","Acta Crystallographica. Section E","B5",2008
"1744-3091","CIÊNCIAS BIOLÓGICAS II                            ","Acta Crystallographica. Section F","B4",2008
"1330-027X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Dermatovenerologica Croatica","C ",2008
"0326-2383","CIÊNCIAS BIOLÓGICAS II                            ","Acta Farmacéutica Bonaerense","B5",2008
"0065-1281","CIÊNCIAS BIOLÓGICAS II                            ","Acta Histochemica (Print)","B3",2008
"0567-7572","CIÊNCIAS BIOLÓGICAS II                            ","Acta Horticulturae","C ",2008
"1359-6454","CIÊNCIAS BIOLÓGICAS II                            ","Acta Materialia (Oxford)","A2",2008
"0870-399X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Médica Portuguesa","C ",2008
"0001-6314","CIÊNCIAS BIOLÓGICAS II                            ","Acta Neurologica Scandinavica","B2",2008
"0001-6322","CIÊNCIAS BIOLÓGICAS II                            ","Acta Neuropathologica","A2",2008
"1395-3907","CIÊNCIAS BIOLÓGICAS II                            ","Acta Ophthalmologica Scandinavica (Cessou em 2007. Cont. ISSN 1755-375X Acta Ophthalmologica (2008. Print))","B2",2008
"1413-7852","CIÊNCIAS BIOLÓGICAS II                            ","Acta Ortopédica Brasileira (Impresso)","C ",2008
"0803-5253","CIÊNCIAS BIOLÓGICAS II                            ","Acta Paediatrica (Oslo)","B2",2008
