"0101-9163","ECOLOGIA E MEIO AMBIENTE                          ","A Hora Veterinária","B4",2008
"1085-3375","ECOLOGIA E MEIO AMBIENTE                          ","Abstract and Applied Analysis","B2",2008
"1519-0552","ECOLOGIA E MEIO AMBIENTE                          ","Ação Ambiental (UFV)","B5",2008
"0308-437X","ECOLOGIA E MEIO AMBIENTE                          ","Acoustics Bulletin","B5",2008
"0001-5113","ECOLOGIA E MEIO AMBIENTE                          ","Acta Adriatica","B5",2008
"0044-5967","ECOLOGIA E MEIO AMBIENTE                          ","Acta Amazonica (Impresso)","B3",2008
"1677-7298","ECOLOGIA E MEIO AMBIENTE                          ","Acta Ambiental Catarinense","B5",2008
"0101-5354","ECOLOGIA E MEIO AMBIENTE                          ","Acta Biologica Leopoldensia (Cessou em 2006. Cont. ISSN 1809-9939 Neotropical Biology and Conservation)","B4",2008
"0301-2123","ECOLOGIA E MEIO AMBIENTE                          ","Acta Biológica Paranaense","B5",2008
"0001-5342","ECOLOGIA E MEIO AMBIENTE                          ","Acta Biotheoretica","B2",2008
"0102-3306","ECOLOGIA E MEIO AMBIENTE                          ","Acta Botanica Brasílica (Impresso)","B2",2008
"0210-9506","ECOLOGIA E MEIO AMBIENTE                          ","Acta Botánica Malacitana","B5",2008
"0084-5906","ECOLOGIA E MEIO AMBIENTE                          ","Acta Botánica Venezuélica","B5",2008
"1508-1109","ECOLOGIA E MEIO AMBIENTE                          ","Acta Chiropterologica","B2",2008
"0001-5504","ECOLOGIA E MEIO AMBIENTE                          ","Acta Científica Venezolana","B4",2008
"1600-5368","ECOLOGIA E MEIO AMBIENTE                          ","Acta Crystallographica. Section E","B2",2008
"0873-9749","ECOLOGIA E MEIO AMBIENTE                          ","Acta Ethologica (Print)","B2",2008
"0567-7572","ECOLOGIA E MEIO AMBIENTE                          ","Acta Horticulturae","B5",2008
"0323-4320","ECOLOGIA E MEIO AMBIENTE                          ","Acta Hydrochimica et Hydrobiologica (Cessou em 2006)","B1",2008
"0102-6712","ECOLOGIA E MEIO AMBIENTE                          ","Acta Limnológica Brasiliensia","B4",2008
"1146-609X","ECOLOGIA E MEIO AMBIENTE                          ","Acta Oecologica (Montrouge)","B1",2008
"0567-7920","ECOLOGIA E MEIO AMBIENTE                          ","Acta Palaeontologica Polonica","B1",2008
"1230-2821","ECOLOGIA E MEIO AMBIENTE                          ","Acta Parasitologica","B2",2008
"0065-1583","ECOLOGIA E MEIO AMBIENTE                          ","Acta Protozoologica (Druk)","B1",2008
"1517-4492","ECOLOGIA E MEIO AMBIENTE                          ","Acta Scientiae (ULBRA)","B5",2008
