"1415-8973","EDUCAÇÃO                                          ","A Cor das Letras (UEFS)","B4",2008
"1676-0336","EDUCAÇÃO                                          ","A Terceira Idade","B5",2008
"1806-6844","EDUCAÇÃO                                          ","Academia (FAU/UFRJ)","C ",2008
"1519-0552","EDUCAÇÃO                                          ","Ação Ambiental (UFV)","B5",2008
"0102-700X","EDUCAÇÃO                                          ","Acervo (Rio de Janeiro)","B3",2008
"1981-867X","EDUCAÇÃO                                          ","Acervo On-line de Mídia Regional (UNITAU)","B4",2008
"1677-8855","EDUCAÇÃO                                          ","Achegas.net","B4",2008
"1980-7686","EDUCAÇÃO                                          ","Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)","B2",2008
"0354-9542","EDUCAÇÃO                                          ","Acta Agriculturae Serbica","C ",2008
"0102-3306","EDUCAÇÃO                                          ","Acta Botanica Brasílica (Impresso)","C ",2008
"1519-9800","EDUCAÇÃO                                          ","Acta Científica. Ciências Humanas","B4",2008
"0188-8145","EDUCAÇÃO                                          ","Acta Comportamentalia","B1",2008
"0103-2100","EDUCAÇÃO                                          ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","C ",2008
"1517-4492","EDUCAÇÃO                                          ","Acta Scientiae (ULBRA)","B4",2008
"1415-6814","EDUCAÇÃO                                          ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"1679-7361","EDUCAÇÃO                                          ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B3",2008
"1850-2032","EDUCAÇÃO                                          ","Actas de Diseño","B5",2008
"1645-2240","EDUCAÇÃO                                          ","Administração Educacional","B5",2008
"1679-9941","EDUCAÇÃO                                          ","Adolescência & Saúde (UERJ)","B5",2008
"0342-7633","EDUCAÇÃO                                          ","Adult Education and Development","B1",2008
"1981-9862","EDUCAÇÃO                                          ","Agenda Social (UENF)","B4",2008
"1516-9464","EDUCAÇÃO                                          ","Ágere (UFBA)","C ",2008
"1516-1498","EDUCAÇÃO                                          ","Ágora ( PPGTP/UFRJ)","A2",2008
"0104-7507","EDUCAÇÃO                                          ","Agora (UNC)","C ",2008
"1414-0454","EDUCAÇÃO                                          ","Ágora (UNISC)","B5",2008
"1133-9837","EDUCAÇÃO                                          ","Alambique (Barcelona)","B3",2008
"1413-2591","EDUCAÇÃO                                          ","Alcance (UNIVALI) (Cessou em 2007)","B5",2008
"1518-8728","EDUCAÇÃO                                          ","Alceu (PUCRJ)","B3",2008
"0735-0414","EDUCAÇÃO                                          ","Alcohol and Alcoholism (Oxford)","A2",2008
"0120-0216","EDUCAÇÃO                                          ","Aleph (Manizales)","B2",2008
"1807-6211","EDUCAÇÃO                                          ","Aleph (UFF. Online)","B5",2008
"1413-0394","EDUCAÇÃO                                          ","Aletheia (ULBRA)","B3",2008
"1982-5153","EDUCAÇÃO                                          ","Alexandria (UFSC)","B3",2008
"1005-3867","EDUCAÇÃO                                          ","Algebra Colloquium","C ",2008
"1405-339X","EDUCAÇÃO                                          ","Alternativas en Psicología","B3",2008
"0102-0471","EDUCAÇÃO                                          ","AMAE Educando","B5",2008
"1517-3127","EDUCAÇÃO                                          ","Amazônida (UFAM)","B4",2008
