"1676-5656","ENGENHARIAS II                                    ","ABCDesing","B3",2008
"0949-1775","ENGENHARIAS II                                    ","Accreditation and Quality Assurance","B2",2008
"0889-325X","ENGENHARIAS II                                    ","ACI Materials Journal","B2",2008
"1346-3969","ENGENHARIAS II                                    ","Acoustical Science and Technology","B3",2008
"1436-7947","ENGENHARIAS II                                    ","Acta Acustica","B3",2008
"0139-3006","ENGENHARIAS II                                    ","Acta Alimentaria (Print)","B2",2008
"0044-5967","ENGENHARIAS II                                    ","Acta Amazonica (Impresso)","B2",2008
"1677-7298","ENGENHARIAS II                                    ","Acta Ambiental Catarinense","B3",2008
"0353-5150","ENGENHARIAS II                                    ","Acta Analytica","B5",2008
"0094-5765","ENGENHARIAS II                                    ","Acta Astronautica","B2",2008
"1742-7061","ENGENHARIAS II                                    ","Acta Biomaterialia","A1",2008
"0102-3306","ENGENHARIAS II                                    ","Acta Botanica Brasílica (Impresso)","B2",2008
"0102-8650","ENGENHARIAS II                                    ","Acta Cirúrgica Brasileira (Impresso)","B2",2008
"0108-7681","ENGENHARIAS II                                    ","Acta Crystallographica. Section B, Structural Science","A2",2008
"0108-2701","ENGENHARIAS II                                    ","Acta Crystallographica. Section C, Crystal Structure Communications.","B2",2008
"1600-5368","ENGENHARIAS II                                    ","Acta Crystallographica. Section E","B2",2008
"0326-2383","ENGENHARIAS II                                    ","Acta Farmacéutica Bonaerense","B3",2008
"0567-7572","ENGENHARIAS II                                    ","Acta Horticulturae","B3",2008
"1359-6454","ENGENHARIAS II                                    ","Acta Materialia (Oxford)","A1",2008
"0001-6160","ENGENHARIAS II                                    ","Acta Metallurgica","B5",2008
"1335-1532","ENGENHARIAS II                                    ","Acta Metallurgica Slovaca","B3",2008
"0798-4545","ENGENHARIAS II                                    ","Acta Microscópica - Interamerican Committee of Societies for Electron Microscopy","B3",2008
"0326-4815","ENGENHARIAS II                                    ","Acta Odontológica Latinoamericana","B3",2008
"0001-6357","ENGENHARIAS II                                    ","Acta Odontologica Scandinavica (Trykt utg.)","B1",2008
"0001-6365","ENGENHARIAS II                                    ","Acta Odontológica Venezolana","B2",2008
"0103-2100","ENGENHARIAS II                                    ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","B5",2008
"0587-4246","ENGENHARIAS II                                    ","Acta Physica Polonica. A","B2",2008
"1679-9216","ENGENHARIAS II                                    ","Acta Scientiae Veterinariae (Online)","B5",2008
"1415-6814","ENGENHARIAS II                                    ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"1806-2563","ENGENHARIAS II                                    ","Acta Scientiarum. Technology (Impresso)","B3",2008
"1807-8664","ENGENHARIAS II                                    ","Acta Scientiarum. Technology (Online)","B3",2008
"0001-706X","ENGENHARIAS II                                    ","Acta Tropica","A2",2008
"1518-0204","ENGENHARIAS II                                    ","Activity Report (Laboratório Nacional de Luz Síncrotron)","B5",2008
"1518-9929","ENGENHARIAS II                                    ","Adm. MADE (Universidade Estácio de Sá)","B5",2008
"0929-5607","ENGENHARIAS II                                    ","Adsorption (Boston)","A1",2008
"0263-6174","ENGENHARIAS II                                    ","Adsorption Science & Technology","B1",2008
"1438-1656","ENGENHARIAS II                                    ","Advanced Engineering Materials (Print)","A1",2008
"1616-301X","ENGENHARIAS II                                    ","Advanced Functional Materials (Print)","A1",2008
"0935-9648","ENGENHARIAS II                                    ","Advanced Materials (Weinheim Print)","A1",2008
