"1433-3015","ENGENHARIAS III                                   ","?The ?International Journal of Advanced Manufacturing Technology (Internet)","B4",2008
"1516-1528","ENGENHARIAS III                                   ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1809-4872","ENGENHARIAS III                                   ","@rquivos internacionais de otorrinolaringologia (Impresso)","B5",2008
"1676-0336","ENGENHARIAS III                                   ","A Terceira Idade","C ",2008
"0149-1423","ENGENHARIAS III                                   ","AAPG Bulletin (Print)","A1",2008
"0126-7434","ENGENHARIAS III                                   ","ABCM Newsletter","C ",2008
"1980-4814","ENGENHARIAS III                                   ","ABCustos (São Leopoldo, RS)","B4",2008
"1519-0552","ENGENHARIAS III                                   ","Ação Ambiental (UFV)","B5",2008
"1519-7859","ENGENHARIAS III                                   ","Ação Ergonômica","B3",2008
"0889-325X","ENGENHARIAS III                                   ","ACI Materials Journal","B1",2008
"1084-4309","ENGENHARIAS III                                   ","ACM Transactions on Design Automation of Electronic Systems","B1",2008
"1046-8188","ENGENHARIAS III                                   ","ACM Transactions on Information Systems","A2",2008
"0044-5967","ENGENHARIAS III                                   ","Acta Amazonica (Impresso)","B2",2008
"0094-5765","ENGENHARIAS III                                   ","Acta Astronautica","B1",2008
"1742-7061","ENGENHARIAS III                                   ","Acta Biomaterialia","A2",2008
"0102-3306","ENGENHARIAS III                                   ","Acta Botanica Brasílica (Impresso)","B2",2008
"0102-8650","ENGENHARIAS III                                   ","Acta Cirúrgica Brasileira (Impresso)","B2",2008
"0104-7795","ENGENHARIAS III                                   ","Acta Fisiatrica (USP)","B5",2008
"1895-6572","ENGENHARIAS III                                   ","Acta Geophysica (Druk)","B1",2008
"1809-8770","ENGENHARIAS III                                   ","Acta ORL","C ",2008
"1413-7852","ENGENHARIAS III                                   ","Acta Ortopédica Brasileira (Impresso)","B2",2008
"0103-2100","ENGENHARIAS III                                   ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","B2",2008
"1610-1928","ENGENHARIAS III                                   ","Acustica United with Acta Acustica","B1",2008
"0044-0027","ENGENHARIAS III                                   ","Adernaâ Fizika / Journal of Nuclear Physics","B5",2008
"1518-9929","ENGENHARIAS III                                   ","Adm. MADE (Universidade Estácio de Sá)","B5",2008
"0929-5607","ENGENHARIAS III                                   ","Adsorption (Boston)","A2",2008
"1572-8757","ENGENHARIAS III                                   ","Adsorption (Dordrecht. Online)","B4",2008
"1438-1656","ENGENHARIAS III                                   ","Advanced Engineering Materials (Print)","B1",2008
"0935-9648","ENGENHARIAS III                                   ","Advanced Materials (Weinheim Print)","A1",2008
"0921-8831","ENGENHARIAS III                                   ","Advanced Powder Technology (Print)","B1",2008
"0169-1864","ENGENHARIAS III                                   ","Advanced Robotics (Print)","B1",2008
"0974-1658","ENGENHARIAS III                                   ","Advances and Applications in Discrete Methematics","B5",2008
"0951-7197","ENGENHARIAS III                                   ","Advances in Cement Research","B1",2008
"0965-9978","ENGENHARIAS III                                   ","Advances in Engineering Software (1992)","B1",2008
"1730-2439","ENGENHARIAS III                                   ","Advances in Materials Science","B4",2008
"1065-5824","ENGENHARIAS III                                   ","Advances in Powder Metallurgy and Particulate Materials (Cessou em 1992. Cont. ISSN 1546-7724 Advances in Powder Metallurgy & Particulate Materials (1993))","C ",2008
"1662-0356","ENGENHARIAS III                                   ","Advances in Science and Technology (Online)","C ",2008
"0273-1177","ENGENHARIAS III                                   ","Advances in Space Research","B1",2008
"0065-3438","ENGENHARIAS III                                   ","Advances in the Astronautical Sciences","B3",2008
"1824-5463","ENGENHARIAS III                                   ","Advances in Transportation Studies","B4",2008
"1569-7649","ENGENHARIAS III                                   ","Aerlines (Amsterdam)","B5",2008
"0001-9240","ENGENHARIAS III                                   ","Aeronautical Journal (1968)","B1",2008
"1270-9638","ENGENHARIAS III                                   ","Aerospace Science and Technology (Imprimé)","A2",2008
"1983-005X","ENGENHARIAS III                                   ","Agitprop (São Paulo)","B5",2008
"1981-0997","ENGENHARIAS III                                   ","Agrária (Recife. Online)","B5",2008
"0044-6793","ENGENHARIAS III                                   ","Agricultura em São Paulo (Impresso) (Cessou em 2006. Cont. ISSN 1981-4771 Revista de Economia Agrícola (Impresso)","B5",2008
"0100-4298","ENGENHARIAS III                                   ","Agroanalysis (FGV)","B4",2008
"0101-7004","ENGENHARIAS III                                   ","Águas Subterrâneas (São Paulo)","B5",2008
"0001-1452","ENGENHARIAS III                                   ","AIAA Journal (Print)","A1",2008
"0001-1541","ENGENHARIAS III                                   ","AIChE Journal","A1",2008
"0094-243X","ENGENHARIAS III                                   ","AIP Conference Proceedings","C ",2008
"1348-5504","ENGENHARIAS III                                   ","Akamon Management Review (Tokyo)","B5",2008
"1413-2591","ENGENHARIAS III                                   ","Alcance (UNIVALI) (Cessou em 2007)","B5",2008
"1807-1724","ENGENHARIAS III                                   ","Alicerce","C ",2008
"1390-2180","ENGENHARIAS III                                   ","Alimentos Ciencia e Ingeniería","B5",2008
"1809-4058","ENGENHARIAS III                                   ","Amazônia (Banco da Amazônia. 2005)","B5",2008
"1678-8621","ENGENHARIAS III                                   ","Ambiente Construído (Online)","B4",2008
"1415-8876","ENGENHARIAS III                                   ","Ambiente Construído (São Paulo. Impresso)","B4",2008
"1414-753X","ENGENHARIAS III                                   ","Ambiente e Sociedade (Campinas)","B2",2008
"0002-7812","ENGENHARIAS III                                   ","American Ceramic Society Bulletin","B1",2008
"1050-6586","ENGENHARIAS III                                   ","American Journal of Rhinology (Cessou em 2008. Cont. ISSN 1945-8924 American Journal of Rhinology & Allergy)","B1",2008
"1809-7189","ENGENHARIAS III                                   ","Anais - SIMPEP","C ",2008
"0365-0596","ENGENHARIAS III                                   ","Anais Brasileiros de Dermatologia (Impresso)","B2",2008
"1516-2680","ENGENHARIAS III                                   ","Análise (PUCRS)","B5",2008
"0102-9924","ENGENHARIAS III                                   ","Análise Econômica (UFRGS)","B5",2008
"0925-1030","ENGENHARIAS III                                   ","Analog Integrated Circuits and Signal Processing","B1",2008
"1677-3055","ENGENHARIAS III                                   ","Analytica (São Paulo)","B5",2008
"1873-4324","ENGENHARIAS III                                   ","Analytica Chimica Acta (Online)","B4",2008
"0003-2670","ENGENHARIAS III                                   ","Analytica Chimica Acta (Print)","A2",2008
"1618-2642","ENGENHARIAS III                                   ","Analytical and Bioanalytical Chemistry","A2",2008
"0910-6340","ENGENHARIAS III                                   ","Analytical Sciences","B1",2008
"1012-2443","ENGENHARIAS III                                   ","Annals of Mathematics and Artificial Intelligence","B1",2008
"0306-4549","ENGENHARIAS III                                   ","Annals of Nuclear Energy","B1",2008
"0254-5330","ENGENHARIAS III                                   ","Annals of Operation Research","B1",2008
"1572-9338","ENGENHARIAS III                                   ","Annals of Operations Research (Dordrecht. Online)","B1",2008
"1584-2665","ENGENHARIAS III                                   ","Annals of the Faculty of Engineering Hunedoara (Print)","B5",2008
"0020-3157","ENGENHARIAS III                                   ","Annals of the Institute of Statistical Mathematics","B1",2008
"1982-3169","ENGENHARIAS III                                   ","Anuário da Produção Acadêmica Docente (Anhanguera Educacional. Valinhos)","C ",2008
"0101-9759","ENGENHARIAS III                                   ","Anuário do Instituto de Geociências (UFRJ. Impresso)","B2",2008
"1452-8630","ENGENHARIAS III                                   ","Applicable Analysis and Discrete Mathematics","B4",2008
"0003-682X","ENGENHARIAS III                                   ","Applied Acoustics","B1",2008
"1176-2322","ENGENHARIAS III                                   ","Applied Bionics and Biomechanics","B3",2008
"0926-860X","ENGENHARIAS III                                   ","Applied Catalysis. A, General (Print)","A1",2008
"0926-3373","ENGENHARIAS III                                   ","Applied Catalysis. B, Environmental (Print)","A1",2008
"0169-1317","ENGENHARIAS III                                   ","Applied Clay Science (Print)","A2",2008
"0929-189X","ENGENHARIAS III                                   ","Applied Composite Materials","B1",2008
"0003-6846","ENGENHARIAS III                                   ","Applied Economics (Print)","B1",2008
"0306-2619","ENGENHARIAS III                                   ","Applied Energy","A2",2008
"0003-6870","ENGENHARIAS III                                   ","Applied Ergonomics","A2",2008
"0143-6228","ENGENHARIAS III                                   ","Applied Geography (Sevenoaks)","A1",2008
"0307-904X","ENGENHARIAS III                                   ","Applied Mathematical Modelling","A2",2008
"0096-3003","ENGENHARIAS III                                   ","Applied Mathematics and Computation","B1",2008
"0893-9659","ENGENHARIAS III                                   ","Applied Mathematics Letters","B1",2008
"1660-9336","ENGENHARIAS III                                   ","Applied Mechanics and Materials","B4",2008
"0003-6900","ENGENHARIAS III                                   ","Applied Mechanics Reviews","B3",2008
"0168-9274","ENGENHARIAS III                                   ","Applied Numerical Mathematics","A2",2008
"0141-1187","ENGENHARIAS III                                   ","Applied Ocean Research","A2",2008
"0003-6935","ENGENHARIAS III                                   ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","A1",2008
"0003-6951","ENGENHARIAS III                                   ","Applied Physics Letters","A1",2008
"0947-8396","ENGENHARIAS III                                   ","Applied Physics. A, Materials Science & Processing (Print)","A2",2008
"1430-6395","ENGENHARIAS III                                   ","Applied Rheology (Print)","B1",2008
"1568-4946","ENGENHARIAS III                                   ","Applied Soft Computing (Print)","A2",2008
"1524-1904","ENGENHARIAS III                                   ","Applied Stochastic Models in Business and Industry (Print)","B1",2008
"0169-4332","ENGENHARIAS III                                   ","Applied Surface Science","A2",2008
"1359-4311","ENGENHARIAS III                                   ","Applied Thermal Engineering","A2",2008
"1380-6165","ENGENHARIAS III                                   ","Aquatic Geochemistry","B1",2008
"0939-1533","ENGENHARIAS III                                   ","Archive of Applied Mechanics (1991)","B1",2008
"0137-5075","ENGENHARIAS III                                   ","Archives of Acoustics","B3",2008
"0003-9993","ENGENHARIAS III                                   ","Archives of Physical Medicine and Rehabilitation (Print)","A1",2008
"0304-8608","ENGENHARIAS III                                   ","Archives of Virology","B1",2008
"0103-9253","ENGENHARIAS III                                   ","Ariús: Revista de Ciências Humanas e Artes (UFCG)","B5",2008
"1809-6298","ENGENHARIAS III                                   ","Arquitextos (São Paulo)","B5",2008
"0102-0935","ENGENHARIAS III                                   ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","B1",2008
"0066-782X","ENGENHARIAS III                                   ","Arquivos Brasileiros de Cardiologia (Impresso)","B2",2008
"0004-2730","ENGENHARIAS III                                   ","Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)","B2",2008
"0103-5355","ENGENHARIAS III                                   ","Arquivos Brasileiros de Neurocirurgia","B4",2008
"0004-282X","ENGENHARIAS III                                   ","Arquivos de Neuro-Psiquiatria (Impresso)","B1",2008
"1808-0901","ENGENHARIAS III                                   ","Arquivos em Movimento (UFRJ. Impresso) (Cessou em 2005. Cont. ISSN 1809-9556 Arquivos em Movimento (Online))","B5",2008
"1809-9556","ENGENHARIAS III                                   ","Arquivos em Movimento (UFRJ. Online)","B5",2008
"0890-0604","ENGENHARIAS III                                   ","Artificial Intelligence for Engineering Design, Analysis and Manufacturing","B1",2008
"0160-564X","ENGENHARIAS III                                   ","Artificial Organs","B1",2008
"0927-6505","ENGENHARIAS III                                   ","Astroparticle Physics (Print)","A2",2008
"0102-1656","ENGENHARIAS III                                   ","Atlântica","B5",2008
"1680-7316","ENGENHARIAS III                                   ","Atmospheric Chemistry and Physics (Print)","A1",2008
"1352-2310","ENGENHARIAS III                                   ","Atmospheric Environment (1994)","A1",2008
"0169-8095","ENGENHARIAS III                                   ","Atmospheric Research (Print)","B1",2008
"1448-4846","ENGENHARIAS III                                   ","Australian Journal of Mechanical Engineering","B3",2008
"0929-5593","ENGENHARIAS III                                   ","Autonomous Robots","B1",2008
"1414-4077","ENGENHARIAS III                                   ","Avaliação (UNICAMP)","B5",2008
"0329-5184","ENGENHARIAS III                                   ","Avances en Energías Renovables y Medio Ambiente","B4",2008
"0103-8117","ENGENHARIAS III                                   ","Bahia Analise & Dados","B5",2008
"1676-7845","ENGENHARIAS III                                   ","Banas Qualidade (Cessou em 2003. Cont. ISSN 1679-9690 Falando em Qualidade)","B5",2008
"1807-7692","ENGENHARIAS III                                   ","BAR. Brazilian Administration Review","B4",2008
"1807-054X","ENGENHARIAS III                                   ","Base (UNISINOS)","B5",2008
"1463-5771","ENGENHARIAS III                                   ","Benchmarking (Bradford)","B2",2008
"0340-1200","ENGENHARIAS III                                   ","Biological Cybernetics","A1",2008
"0929-1016","ENGENHARIAS III                                   ","Biological Rhythm Research","B1",2008
"0961-9534","ENGENHARIAS III                                   ","Biomass & Bioenergy","A1",2008
"1806-3810","ENGENHARIAS III                                   ","Biomassa & Energia (Viçosa)","B5",2008
"0323-3847","ENGENHARIAS III                                   ","Biometrical Journal (1977)","B1",2008
"0006-3444","ENGENHARIAS III                                   ","Biometrika (London)","A2",2008
"1615-7591","ENGENHARIAS III                                   ","Bioprocess and Biosystems Engineering (Print)","A2",2008
"0960-8524","ENGENHARIAS III                                   ","Bioresource Technology","A1",2008
"0956-5663","ENGENHARIAS III                                   ","Biosensors & Bioelectronics","A1",2008
"1676-0603","ENGENHARIAS III                                   ","Biota Neopropica (Edição em Português. Online)","B5",2008
"1226-8372","ENGENHARIAS III                                   ","Biotechnology and Bioprocess Engineering (Seoul. Print)","B1",2008
"1464-4096","ENGENHARIAS III                                   ","BJU International (Print)","A2",2008
"1359-5237","ENGENHARIAS III                                   ","Blood Pressure Monitoring","B1",2008
"1414-9230","ENGENHARIAS III                                   ","BNDES Setorial","C ",2008
"1415-711X","ENGENHARIAS III                                   ","Boletim - Academia Paulista de Psicologia","B4",2008
"1518-160X","ENGENHARIAS III                                   ","Boletim da SOBRAPO","C ",2008
"0037-8712","ENGENHARIAS III                                   ","Boletim da Sociedade Paranaense de Matemática","B5",2008
"1414-8374","ENGENHARIAS III                                   ","Boletim SBMAC (Rio de Janeiro)","C ",2008
"1517-3534","ENGENHARIAS III                                   ","Boletim Técnico da Escola Politécnica da USP. BT/PME","C ",2008
"0104-0553","ENGENHARIAS III                                   ","Boletim Técnico da Escola Politécnica da USP. BT/PMI","C ",2008
"1517-3526","ENGENHARIAS III                                   ","Boletim Técnico da Escola Politécnica da USP. BT/PMR","C ",2008
"1413-2141","ENGENHARIAS III                                   ","Boletim Técnico da Escola Politécnica da USP. BT/PNV","C ",2008
"1413-2168","ENGENHARIAS III                                   ","Boletim Técnico da Escola Politécnica da USP. BT/PRO","C ",2008
"1518-9082","ENGENHARIAS III                                   ","Boletim Técnico da Faculdade de Tecnologia de São Paulo","B5",2008
"1809-6751","ENGENHARIAS III                                   ","Boletim Técnico da Produção de Petróleo","C ",2008
"1808-1304","ENGENHARIAS III                                   ","Boletim Técnico Organização & Estratégia","B5",2008
"0366-3175","ENGENHARIAS III                                   ","Boletín de la Sociedad Española de Cerámica y Vidrio","B1",2008
"0006-8314","ENGENHARIAS III                                   ","Boundary - Layer Meteorology","A1",2008
"1386-4475","ENGENHARIAS III                                   ","Brandbrief (Utrecht)","B5",2008
"1808-1983","ENGENHARIAS III                                   ","Brasil em Números (Edição em Inglês. Impresso)","C ",2008
"0102-4728","ENGENHARIAS III                                   ","Brasil Mineral (São Paulo)","B5",2008
"1516-8913","ENGENHARIAS III                                   ","Brazilian Archives of Biology and Technology (Impresso)","B1",2008
"0103-6440","ENGENHARIAS III                                   ","Brazilian Dental Journal (Impresso)","B2",2008
