"1678-6416","GEOGRAFIA                                         ","7 Faces (Itabira)","B5",2008
"1413-6090","GEOGRAFIA                                         ","A Economia em Revista","B3",2008
"1519-0552","GEOGRAFIA                                         ","Ação Ambiental (UFV)","B4",2008
"0044-5967","GEOGRAFIA                                         ","Acta Amazonica (Impresso)","B1",2008
"0102-3306","GEOGRAFIA                                         ","Acta Botanica Brasílica (Impresso)","B2",2008
"0583-6050","GEOGRAFIA                                         ","Acta Carsologica","B3",2008
"1980-5772","GEOGRAFIA                                         ","Acta Geográfica (UFRR)","B5",2008
"0567-7572","GEOGRAFIA                                         ","Acta Horticulturae","B4",2008
"0102-6712","GEOGRAFIA                                         ","Acta Limnológica Brasiliensia","B3",2008
"1415-6814","GEOGRAFIA                                         ","Acta Scientiarum (UEM) (Cessou em 2002)","B2",2008
"1679-9275","GEOGRAFIA                                         ","Acta Scientiarum. Agronomy (Impresso)","B2",2008
"1679-9283","GEOGRAFIA                                         ","Acta Scientiarum. Biological Sciences (Impresso)","B1",2008
"1679-7361","GEOGRAFIA                                         ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B2",2008
"1806-2563","GEOGRAFIA                                         ","Acta Scientiarum. Technology (Impresso)","B1",2008
"1807-8664","GEOGRAFIA                                         ","Acta Scientiarum. Technology (Online)","B1",2008
"0001-706X","GEOGRAFIA                                         ","Acta Tropica","B3",2008
"0104-6233","GEOGRAFIA                                         ","Aero Magazine (Sao Paulo)","C ",2008
"1414-0454","GEOGRAFIA                                         ","Ágora (UNISC)","B5",2008
"1982-6737","GEOGRAFIA                                         ","Ágora (UNISC. Online)","B5",2008
"1808-1150","GEOGRAFIA                                         ","Agrária (São Paulo. Online)","B2",2008
"1516-134X","GEOGRAFIA                                         ","Agricultura Biodinâmica","B4",2008
"0169-5150","GEOGRAFIA                                         ","Agricultural Economics","B1",2008
"0167-8809","GEOGRAFIA                                         ","Agriculture, Ecosystems & Environment (Print)","A2",2008
"1982-8470","GEOGRAFIA                                         ","Agro@mbiente On-line","C ",2008
"0103-3816","GEOGRAFIA                                         ","Agrotrópica (Itabuna)","B5",2008
"1679-3749","GEOGRAFIA                                         ","Aletria (UFMG)","C ",2008
"1808-0251","GEOGRAFIA                                         ","Ambiência (UNICENTRO)","B4",2008
"1414-753X","GEOGRAFIA                                         ","Ambiente e Sociedade (Campinas)","B3",2008
"1980-4563","GEOGRAFIA                                         ","Anais (Simpósio Nacional de Geografia Agrária ... Simpósio Internacional de Geografia Agrária. CD-Rom)","B5",2008
"1808-9755","GEOGRAFIA                                         ","Anais - Encontro Nacional de Turismo com Base Local","B4",2008
"0001-3765","GEOGRAFIA                                         ","Anais da Academia Brasileira de Ciências (Impresso)","B1",2008
"0103-0884","GEOGRAFIA                                         ","Anais da Associação dos Geógrafos Brasileiros","B5",2008
"0211-9803","GEOGRAFIA                                         ","Anales de Geografía de la Universidad Complutense","B1",2008
"0102-0374","GEOGRAFIA                                         ","Análise Conjuntural - IPARDES","B2",2008
"0003-2573","GEOGRAFIA                                         ","Análise Social","B3",2008
"0260-3055","GEOGRAFIA                                         ","Annals of Glaciology","A2",2008
"0101-9759","GEOGRAFIA                                         ","Anuário do Instituto de Geociências (UFRJ. Impresso)","B4",2008
,"GEOGRAFIA                                         ","APOGEO-Revista da Associação de Professores de Geografia","C ",2008
"0329-2045","GEOGRAFIA                                         ","Aportes y Transferencias / Tiempo Libre: Turismo y Recreación","B4",2008
"0883-2927","GEOGRAFIA                                         ","Applied Geochemistry","A2",2008
"0143-6228","GEOGRAFIA                                         ","Applied Geography (Sevenoaks)","A1",2008
"1806-7700","GEOGRAFIA                                         ","Ar (Unileste)","B5",2008
"1578-0007","GEOGRAFIA                                         ","Ar@cne (Barcelona)","B1",2008
"0004-0592","GEOGRAFIA                                         ","Archivos de Zootecnia","B3",2008
"1679-6497","GEOGRAFIA                                         ","Argumentos (Chapecó)","B5",2008
"1806-020X","GEOGRAFIA                                         ","Arigó (Rio Branco)","B5",2008
"1809-6298","GEOGRAFIA                                         ","Arquitextos (São Paulo)","B4",2008
"1517-7432","GEOGRAFIA                                         ","Assentamentos Humanos (Marília)","C ",2008
"1982-1956","GEOGRAFIA                                         ","Ateliê Geográfico (UFG)","B3",2008
"1646-5709","GEOGRAFIA                                         ","Aurora (Guimarães)","B5",2008
"1645-9369","GEOGRAFIA                                         ","Aurora Geography Journal","B5",2008
"1414-4077","GEOGRAFIA                                         ","Avaliação (UNICAMP)","B4",2008
"0103-8117","GEOGRAFIA                                         ","Bahia Analise & Dados","B5",2008
"1808-2688","GEOGRAFIA                                         ","Balduinia (UFSM)","C ",2008
"1377-2368","GEOGRAFIA                                         ","BELGEO (Leuven)","B4",2008
"0005-9099","GEOGRAFIA                                         ","Berichte zur Deutschen Landeskunde","B1",2008
"1516-8085","GEOGRAFIA                                         ","BIB. Revista Brasileira de Informação Bibliográfica em Ciências Sociais","B2",2008
"1138-9796","GEOGRAFIA                                         ","Biblio 3w (Barcelona)","A2",2008
"0102-4388","GEOGRAFIA                                         ","Biblos (Rio Grande)","B5",2008
"1516-3725","GEOGRAFIA                                         ","Bioscience Journal (UFU. Impresso)","B5",2008
"0103-1643","GEOGRAFIA                                         ","Biotemas (UFSC)","B5",2008
"0957-5235","GEOGRAFIA                                         ","Blood Coagulation & Fibrinolysis","C ",2008
"0006-5218","GEOGRAFIA                                         ","Blumenau em Cadernos","B5",2008
"1646-3137","GEOGRAFIA                                         ","BOCC. Biblioteca On-line de Ciências da Comunicação","C ",2008
"0102-8243","GEOGRAFIA                                         ","Boletim ABRASCO","B5",2008
"1413-4853","GEOGRAFIA                                         ","Boletim de Ciências Geodésicas (Impresso)","B2",2008
"0102-5198","GEOGRAFIA                                         ","Boletim de Geografia (UEM)","B2",2008
"0102-0013","GEOGRAFIA                                         ","Boletim de Pesquisa (Centro de Pesquisa Agropecuária dos Cerrados) (Cessou em 1985. Cont. ISSN 1518-0417 Boletim de Pesquisa (Embrapa Cerrados)","B3",2008
"1678-0892","GEOGRAFIA                                         ","Boletim de Pesquisa e Desenvolvimento (Embrapa Solos. Online)","B2",2008
"0046-9939","GEOGRAFIA                                         ","Boletim do Instituto de Pesca (Impresso) (Cessou em 1982)","B4",2008
"1677-437X","GEOGRAFIA                                         ","Boletim do IRIB em Revista","B4",2008
"1981-8122","GEOGRAFIA                                         ","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","B5",2008
"0101-7888","GEOGRAFIA                                         ","Boletim Gaúcho de Geografia","B2",2008
"0101-708X","GEOGRAFIA                                         ","Boletim Goiano de Geografia (Impresso)","B2",2008
"1808-0812","GEOGRAFIA                                         ","Boletim Informativo (Sociedade Brasileira de Zoologia)","B5",2008
"0067-964X","GEOGRAFIA                                         ","Boletim Paranaense de Geociências","B3",2008
"0006-6079","GEOGRAFIA                                         ","Boletim Paulista de Geografia","B1",2008
"1980-0649","GEOGRAFIA                                         ","Boletim Regional","B5",2008
"0104-6411","GEOGRAFIA                                         ","Boletim Técnico Científico do CEPENE","B5",2008
"1413-2192","GEOGRAFIA                                         ","Boletim Técnico da Escola Politécnica da USP. BT/PHD","B2",2008
"1981-3384","GEOGRAFIA                                         ","Boletim Tempo Presente (UFRJ)","B5",2008
"0716-0763","GEOGRAFIA                                         ","Boletín Antártico Chileno","B3",2008
"0006-8152","GEOGRAFIA                                         ","Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie","B2",2008
"0103-9288","GEOGRAFIA                                         ","Brasil em Números (1992. Impresso) (Cessou em 1996)","C ",2008
"1808-1983","GEOGRAFIA                                         ","Brasil em Números (Edição em Inglês. Impresso)","C ",2008
"0175-1859","GEOGRAFIA                                         ","Brasilien-Dialog","B4",2008
