"1809-4856","LETRAS / LINGUÍSTICA                              ","@rquivos internacionais de otorrinolaringologia (Online)","B3",2008
"1676-2916","LETRAS / LINGUÍSTICA                              ","404notf0und (UFBA)","C ",2008
"1548-7083","LETRAS / LINGUÍSTICA                              ","A Contracorriente (Raleigh, N.C.)","A2",2008
"1415-8973","LETRAS / LINGUÍSTICA                              ","A Cor das Letras (UEFS)","B1",2008
"0747-0088","LETRAS / LINGUÍSTICA                              ","ABA journal","B3",2008
"1982-6184","LETRAS / LINGUÍSTICA                              ","ABEI Bahia Newsletter","C ",2008
"1518-0581","LETRAS / LINGUÍSTICA                              ","ABEI Journal (São Paulo)","A2",2008
"1984-2090","LETRAS / LINGUÍSTICA                              ","Abril (Niterói)","B3",2008
"1809-3604","LETRAS / LINGUÍSTICA                              ","Academos (São Bernardo do Campo)","B5",2008
"1678-1996","LETRAS / LINGUÍSTICA                              ","Acauã","B5",2008
"0329-8191","LETRAS / LINGUÍSTICA                              ","Acheronta (Buenos Aires. Impresa)","B4",2008
"1980-7686","LETRAS / LINGUÍSTICA                              ","Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)","B3",2008
"1585-1923","LETRAS / LINGUÍSTICA                              ","Across Languages and Cultures (Print)","A2",2008
"1554-8929","LETRAS / LINGUÍSTICA                              ","ACS Chemical Biology","B4",2008
"1984-0918","LETRAS / LINGUÍSTICA                              ","Acta Científica (Patos de Minas)","B4",2008
"1519-9800","LETRAS / LINGUÍSTICA                              ","Acta Científica. Ciências Humanas","B4",2008
"1216-8076","LETRAS / LINGUÍSTICA                              ","Acta Linguistica Hungarica (Print)","B4",2008
"1809-8770","LETRAS / LINGUÍSTICA                              ","Acta ORL","B5",2008
"1415-6814","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"0065-1656","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum Socialium","B5",2008
"1679-7361","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","A2",2008
"1807-8656","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum. Human and Social Sciences (Online) (Cessou em 2007. Cont. ISSN 1983-4683 Acta Scientiarum. Language and Culture (Online))","B1",2008
"1983-4675","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum. Language and Culture (Impresso)","B2",2008
"1983-4683","LETRAS / LINGUÍSTICA                              ","Acta Scientiarum. Language and Culture (Online)","B2",2008
"0102-4264","LETRAS / LINGUÍSTICA                              ","Acta Semiótica et Linguística","B2",2008
"1980-4172","LETRAS / LINGUÍSTICA                              ","Actio (São Paulo. Online)","B5",2008
"1808-883X","LETRAS / LINGUÍSTICA                              ","Advérbio (FAG)","B5",2008
"1980-8224","LETRAS / LINGUÍSTICA                              ","Adverbum (Campinas)","B5",2008
"0002-0206","LETRAS / LINGUÍSTICA                              ","African Studies Review","A1",2008
"0947-1723","LETRAS / LINGUÍSTICA                              ","Afrika, Asien, Brasilien, Portugal","B1",2008
"1130-3557","LETRAS / LINGUÍSTICA                              ","Agalia (A Corunha)","A1",2008
"1808-8554","LETRAS / LINGUÍSTICA                              ","Agathos (Idaial)","B4",2008
"0874-5498","LETRAS / LINGUÍSTICA                              ","Ágora (Aveiro)","A2",2008
"1809-4589","LETRAS / LINGUÍSTICA                              ","Ágora (URI. Cerro Grande)","B5",2008
"1679-5385","LETRAS / LINGUÍSTICA                              ","Ágora Filosófica (UNICAP. Impresso)","B5",2008
"1678-7471","LETRAS / LINGUÍSTICA                              ","Água Viva (UNB)","B5",2008
"1461-0213","LETRAS / LINGUÍSTICA                              ","AILA Review","A1",2008
"0568-3939","LETRAS / LINGUÍSTICA                              ","Aisthesis (Santiago. Impreso)","B3",2008
"1517-5367","LETRAS / LINGUÍSTICA                              ","Akrópolis (UNIPAR)","B3",2008
"1809-3078","LETRAS / LINGUÍSTICA                              ","Al (Assis. Online)","B5",2008
"0888-3181","LETRAS / LINGUÍSTICA                              ","Alba de America","A1",2008
"1518-8728","LETRAS / LINGUÍSTICA                              ","Alceu (PUCRJ)","B4",2008
"1807-0299","LETRAS / LINGUÍSTICA                              ","Alea : Estudos Neolatinos (Online)","A1",2008
"1517-106X","LETRAS / LINGUÍSTICA                              ","Alea: Estudos Neolatinos (Impresso)","A1",2008
"1413-0394","LETRAS / LINGUÍSTICA                              ","Aletheia (ULBRA)","B4",2008
"1679-3749","LETRAS / LINGUÍSTICA                              ","Aletria (UFMG)","A1",2008
"1981-5794","LETRAS / LINGUÍSTICA                              ","Alfa : Revista de Linguística (UNESP. São José do Rio Preto. Online)","A1",2008
"0002-5216","LETRAS / LINGUÍSTICA                              ","Alfa: Revista de Linguística (UNESP. São José do Rio Preto. Impresso)","A1",2008
"1139-9139","LETRAS / LINGUÍSTICA                              ","Alhucema (Albolote)","B5",2008
"1676-3262","LETRAS / LINGUÍSTICA                              ","Almanaque CIFEFIL","B5",2008
"0100-1655","LETRAS / LINGUÍSTICA                              ","Alter: Revista de Estudos Psicanalíticos","B4",2008
"1517-3127","LETRAS / LINGUÍSTICA                              ","Amazônida (UFAM)","B4",2008
"1413-8638","LETRAS / LINGUÍSTICA                              ","Ambiente & Educação (FURG)","B4",2008
"0002-6980","LETRAS / LINGUÍSTICA                              ","Ambix (Cambridge)","B4",2008
"1841-964X","LETRAS / LINGUÍSTICA                              ","American, British and Canadian Studies (Online)","C ",2008
"0221-8852","LETRAS / LINGUÍSTICA                              ","Amérindia (Paris)","A2",2008
"1807-3115","LETRAS / LINGUÍSTICA                              ","Anais (Congresso Brasileiro de Fonoaudiologia)","B3",2008
"1809-0559","LETRAS / LINGUÍSTICA                              ","Anais - Seminário de Pesquisa, Uniguaçu","C ",2008
"1981-9420","LETRAS / LINGUÍSTICA                              ","Anais ... EPCT (Impresso)","C ",2008
"1808-7450","LETRAS / LINGUÍSTICA                              ","Anais ... Semana de Letras (Jandaia do Sul. CD-Rom)","C ",2008
"1807-3441","LETRAS / LINGUÍSTICA                              ","Anais ... Seminário de Pesquisa ... Semana de Iniciação Científica (Guarapuava. CD-Rom)","C ",2008
"1982-7822","LETRAS / LINGUÍSTICA                              ","Anais da ... JIED. Jornada Internacional de Estudos do Discurso","C ",2008
"1982-5323","LETRAS / LINGUÍSTICA                              ","Anais de Filosofia Clássica (Online)","C ",2008
"1982-5218","LETRAS / LINGUÍSTICA                              ","Anais do ... Congresso Brasileiro de Hispanistas","C ",2008
"1981-8211","LETRAS / LINGUÍSTICA                              ","Anais do ... Congresso Nacional de Linguagens em Interação","C ",2008
"1808-6004","LETRAS / LINGUÍSTICA                              ","Anais do ... ERIC","C ",2008
"1981-9153","LETRAS / LINGUÍSTICA                              ","Anais do SETA (UNICAMP)","C ",2008
"1983-4098","LETRAS / LINGUÍSTICA                              ","Anais Enieduc","C ",2008
"1518-6520","LETRAS / LINGUÍSTICA                              ","Analecta (UNICENTRO)","B5",2008
"1220-0271","LETRAS / LINGUÍSTICA                              ","Analele Universitatii Bucuresti. Limba si Literatura Romana (1977)","B3",2008
"0210-4547","LETRAS / LINGUÍSTICA                              ","Anales de Literatura Hispanoamericana","B3",2008
"1678-8087","LETRAS / LINGUÍSTICA                              ","Análise & Síntese","B3",2008
"1980-9824","LETRAS / LINGUÍSTICA                              ","Âncora (Instituto Âncora de Ensino. Online)","C ",2008
"0101-191X","LETRAS / LINGUÍSTICA                              ","Ângulo (FATEA. Impresso)","B4",2008
"1722-8468","LETRAS / LINGUÍSTICA                              ","Annali Storici di Principato Citra","C ",2008
"1983-7615","LETRAS / LINGUÍSTICA                              ","Antiguidade Clássica (Apucarama)","B3",2008
"0103-8893","LETRAS / LINGUÍSTICA                              ","Anuario Brasileno de Estudios Hispanicos","B3",2008
"1414-5235","LETRAS / LINGUÍSTICA                              ","Anuário de Literatura (UFSC)","B3",2008
"1560-6201","LETRAS / LINGUÍSTICA                              ","Anuario L/L. Serie: Linguística","B4",2008
"1518-3610","LETRAS / LINGUÍSTICA                              ","Ao Pé da Letra (UFPE. Impresso)","B3",2008
"1982-8462","LETRAS / LINGUÍSTICA                              ","Ao Peda-letra (Macaé)","B5",2008
"1646-7698","LETRAS / LINGUÍSTICA                              ","APEF - Associação Portuguesa de Estudos Franceses","B5",2008
"0142-6001","LETRAS / LINGUÍSTICA                              ","Applied Linguistics","A1",2008
"1492-4145","LETRAS / LINGUÍSTICA                              ","Apuntes Hispanicos","B3",2008
"1808-5733","LETRAS / LINGUÍSTICA                              ","Aquinate (Niterói)","B2",2008
"1645-6947","LETRAS / LINGUÍSTICA                              ","Area Domeniu","B4",2008
"1890-4580","LETRAS / LINGUÍSTICA                              ","Arena Romanistica","A2",2008
"0325-4194","LETRAS / LINGUÍSTICA                              ","Argos (Buenos Aires)","B2",2008
"1519-0854","LETRAS / LINGUÍSTICA                              ","Argumento (Jundiaí)","B5",2008
"0870-1253","LETRAS / LINGUÍSTICA                              ","Ariane (Lisboa)","B3",2008
"0103-9253","LETRAS / LINGUÍSTICA                              ","Ariús: Revista de Ciências Humanas e Artes (UFCG)","B4",2008
"1808-5326","LETRAS / LINGUÍSTICA                              ","Arquipélago (Porto Alegre)","B5",2008
"0100-2244","LETRAS / LINGUÍSTICA                              ","Arquivo e Administração","B4",2008
"1982-3053","LETRAS / LINGUÍSTICA                              ","Arquivo Maaravi (UFMG)","B1",2008
"1414-7149","LETRAS / LINGUÍSTICA                              ","Arquivos da APADEC (Cessou em 2005. Cont. ISSN 1980-959X Arquivos do Mudi)","B5",2008
"1980-959X","LETRAS / LINGUÍSTICA                              ","Arquivos do Mudi","B5",2008
"1808-8872","LETRAS / LINGUÍSTICA                              ","Arquivos FOG","B5",2008
"1678-5320","LETRAS / LINGUÍSTICA                              ","ARS (São Paulo)","B2",2008
"1806-2962","LETRAS / LINGUÍSTICA                              ","Art& (São Paulo. Online)","B4",2008
"1646-3463","LETRAS / LINGUÍSTICA                              ","ARTCIENCIA.COM","B5",2008
"1516-8603","LETRAS / LINGUÍSTICA                              ","ArtCultura (UFU)","B1",2008
"0328-9249","LETRAS / LINGUÍSTICA                              ","Artefacto (Buenos Aires)","B4",2008
"1809-8274","LETRAS / LINGUÍSTICA                              ","Artefilosofia (UFOP)","B4",2008
"1983-6759","LETRAS / LINGUÍSTICA                              ","Arteira: Revista de Psicanálise","B4",2008
"1984-056X","LETRAS / LINGUÍSTICA                              ","ArteSESC (Porto Alegre)","B5",2008
"1594-378X","LETRAS / LINGUÍSTICA                              ","Artifara (Torino)","B4",2008
,"LETRAS / LINGUÍSTICA                              ","As Ciências do Léxico: lexicologia, Lexicografia, Terminologia.","C ",2008
"1806-2857","LETRAS / LINGUÍSTICA                              ","Asa-Palavra (Brumadinho)","B5",2008
"1415-7950","LETRAS / LINGUÍSTICA                              ","Asas da Palavra (UNAMA)","B4",2008
"1668-7515","LETRAS / LINGUÍSTICA                              ","Astrolabio (Buenos Aires)","B4",2008
"1584-1804","LETRAS / LINGUÍSTICA                              ","Atelier de Traduction","B4",2008
"1578-8946","LETRAS / LINGUÍSTICA                              ","Athenea Digital","B3",2008
"1677-0811","LETRAS / LINGUÍSTICA                              ","Athos & Ethos","B4",2008
"1809-5720","LETRAS / LINGUÍSTICA                              ","Atitude (Porto Alegre)","C ",2008
"1982-6672","LETRAS / LINGUÍSTICA                              ","Aurora (PUCSP. Online)","B4",2008
"0155-0640","LETRAS / LINGUÍSTICA                              ","Australian Review of Applied Linguistics (Print)","A2",2008
"1414-4077","LETRAS / LINGUÍSTICA                              ","Avaliação (UNICAMP)","B1",2008
"1807-6130","LETRAS / LINGUÍSTICA                              ","Ave Palavra (UNEMAT)","B4",2008
"1678-7862","LETRAS / LINGUÍSTICA                              ","Avesso do Avesso (Araçatuba)","B4",2008
"1856-6170","LETRAS / LINGUÍSTICA                              ","Bacyyelmo: Letras, Imágenes, Creación","B3",2008
"1808-8473","LETRAS / LINGUÍSTICA                              ","Baleia na Rede (UNESP. Marília)","B3",2008
"1982-2022","LETRAS / LINGUÍSTICA                              ","Barbarói (UNISC. Online)","B5",2008
"0341-7301","LETRAS / LINGUÍSTICA                              ","Behindertenpadagogik (Giessen)","B3",2008
"1981-710X","LETRAS / LINGUÍSTICA                              ","Berggasse19 (Rio de Janeiro)","B5",2008
"1562-4730","LETRAS / LINGUÍSTICA                              ","Biblios (Lima)","B4",2008
"1808-8066","LETRAS / LINGUÍSTICA                              ","Biblioteca Entre Livros","B4",2008
"0870-4112","LETRAS / LINGUÍSTICA                              ","Biblos (Coimbra)","A2",2008
"0102-4388","LETRAS / LINGUÍSTICA                              ","Biblos (Rio Grande)","B4",2008
"0104-1401","LETRAS / LINGUÍSTICA                              ","Bioética (Brasília) (Cessou em 2006. Cont. ISSN 1983-8042 Revista Bioética (Impresso))","B5",2008
"1450-3417","LETRAS / LINGUÍSTICA                              ","Biolinguistics","A1",2008
"0006-5218","LETRAS / LINGUÍSTICA                              ","Blumenau em Cadernos","B4",2008
"1646-3137","LETRAS / LINGUÍSTICA                              ","BOCC. Biblioteca On-line de Ciências da Comunicação","B5",2008
"1980-4504","LETRAS / LINGUÍSTICA                              ","Boitatá","B3",2008
"0101-7934","LETRAS / LINGUÍSTICA                              ","Boletim (Centro de Estudos Portugueses, Faculdade de Letras da UFMG) (Cessou em 2000. Cont. ISSN 1676-515X Revista do Centro de Estudos Portugueses (UFMG. Belo Horizonte)","B3",2008
"1415-7365","LETRAS / LINGUÍSTICA                              ","Boletim - Centro de Estudos Portugueses Jorge de Sena","B3",2008
"0102-6968","LETRAS / LINGUÍSTICA                              ","Boletim - Centro de Letras e Ciências Humanas (UEL)","B3",2008
"0874-1921","LETRAS / LINGUÍSTICA                              ","Boletim Centro de Estudos Regianos","B3",2008
"1518-7284","LETRAS / LINGUÍSTICA                              ","Boletim de Pesquisa NELIC (Impresso)","B4",2008
"1677-8693","LETRAS / LINGUÍSTICA                              ","Boletim do CPA (UNICAMP)","B4",2008
"0374-6380","LETRAS / LINGUÍSTICA                              ","Boletim do Museu Paraense Emilio Goeldi","B4",2008
"0522-7291","LETRAS / LINGUÍSTICA                              ","Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)","B5",2008
"1806-2105","LETRAS / LINGUÍSTICA                              ","Boletim Inter-Cultural (Rio de Janeiro)","B4",2008
"1518-9082","LETRAS / LINGUÍSTICA                              ","Boletim Técnico da Faculdade de Tecnologia de São Paulo","B5",2008
"1981-3384","LETRAS / LINGUÍSTICA                              ","Boletim Tempo Presente (UFRJ)","B4",2008
"0214-9117","LETRAS / LINGUÍSTICA                              ","Boletín Galego de Literatura","B1",2008
"1122-1836","LETRAS / LINGUÍSTICA                              ","Bollettino dell'Atlante Linguistico Italiano (1976)","B3",2008
"0278-2626","LETRAS / LINGUÍSTICA                              ","Brain and Cognition","A1",2008
"0093-934X","LETRAS / LINGUÍSTICA                              ","Brain and Language","A1",2008
"0103-751X","LETRAS / LINGUÍSTICA                              ","Brasil (Porto Alegre)","A1",2008
"1866-203X","LETRAS / LINGUÍSTICA                              ","Brasil-Europa","C ",2008
"1519-9053","LETRAS / LINGUÍSTICA                              ","Brathair (Online)","B5",2008
"1516-182X","LETRAS / LINGUÍSTICA                              ","Braz-Tesol Newsletter (São Paulo)","C ",2008
"0100-879X","LETRAS / LINGUÍSTICA                              ","Brazilian Journal of Medical and Biological Research (Impresso)","A2",2008
"1467-8527","LETRAS / LINGUÍSTICA                              ","British Journal of Educational Studies (Online)","A2",2008
"1475-3820","LETRAS / LINGUÍSTICA                              ","Bulletin of Spanish Studies (2002. Print)","A1",2008
"0716-2138","LETRAS / LINGUÍSTICA                              ","Byzantion Nea Hellas","B5",2008
"1519-3233","LETRAS / LINGUÍSTICA                              ","Caderno CE. Caderno de Currículo e Ensino","B4",2008
"0103-0566","LETRAS / LINGUÍSTICA                              ","Caderno Cultural","B5",2008
"1518-6954","LETRAS / LINGUÍSTICA                              ","Caderno de Debates Plural (Cessou em 2001. Cont. ISSN 1678-7331 Revista de Psicologia Plural)","B5",2008
"1519-4175","LETRAS / LINGUÍSTICA                              ","Caderno de Discussão do Centro de Pesquisas Sociossemióticas (Impresso)","B5",2008
"1808-1533","LETRAS / LINGUÍSTICA                              ","Caderno de Extensão","C ",2008
"1679-3501","LETRAS / LINGUÍSTICA                              ","Caderno de Idéias","B5",2008
"0102-9576","LETRAS / LINGUÍSTICA                              ","Caderno de Letras (UFPEL)","B3",2008
"1806-2911","LETRAS / LINGUÍSTICA                              ","Caderno de Literatura e Cultura Russa","B2",2008
"1517-820X","LETRAS / LINGUÍSTICA                              ","Caderno de Pesquisa (São Caetano do Sul) (Cessou em 2005. Cont. ISSN 1809-1644 Caderno de Gestão & Regionalidade)","C ",2008
"1980-2544","LETRAS / LINGUÍSTICA                              ","Caderno de Resumos - Seminário de Pesquisa ... Seminário de Iniciação Científica","C ",2008
"1808-4087","LETRAS / LINGUÍSTICA                              ","Caderno de Resumos do ENIC","C ",2008
"1516-9286","LETRAS / LINGUÍSTICA                              ","Caderno Espaço Feminino (UFU)","B1",2008
"1807-7633","LETRAS / LINGUÍSTICA                              ","Caderno Fênix Ciência (UNEMAT)","B5",2008
"1414-4298","LETRAS / LINGUÍSTICA                              ","Caderno Seminal (UERJ) (Cessou em 2003. Cont. ISSN 1806-9142 Caderno Seminal Digital)","B2",2008
"1806-9142","LETRAS / LINGUÍSTICA                              ","Caderno Seminal Digital (Rio de Janeiro)","B2",2008
"1677-9193","LETRAS / LINGUÍSTICA                              ","Cadernos - Associação dos Orientadores Educacionais do RGS","C ",2008
"1413-6597","LETRAS / LINGUÍSTICA                              ","Cadernos Arquivo Edgard Leuenroth (UNICAMP)","B3",2008
"1518-0395","LETRAS / LINGUÍSTICA                              ","Cadernos Camilliani","B3",2008
"0101-3262","LETRAS / LINGUÍSTICA                              ","Cadernos CEDES (Impresso)","A2",2008
"1808-9631","LETRAS / LINGUÍSTICA                              ","Cadernos CENPEC","B5",2008
"1516-4020","LETRAS / LINGUÍSTICA                              ","Cadernos CESPUC de Pesquisa. Série Ensaios","B3",2008
"1677-9703","LETRAS / LINGUÍSTICA                              ","Cadernos da ABF","B4",2008
"1807-8206","LETRAS / LINGUÍSTICA                              ","Cadernos da Escola de Educação da Unibrasil","B5",2008
"1806-7328","LETRAS / LINGUÍSTICA                              ","Cadernos da ESTEF","B4",2008
"0104-1371","LETRAS / LINGUÍSTICA                              ","Cadernos de Educação (UFPel)","B4",2008
"1415-5133","LETRAS / LINGUÍSTICA                              ","Cadernos de Educação (UNIC)","B5",2008
"1677-0277","LETRAS / LINGUÍSTICA                              ","Cadernos de Educação Escolar Indígena","B5",2008
"1517-5758","LETRAS / LINGUÍSTICA                              ","Cadernos de Estudos e Pesquisas (Universidade Salgado Oliveira)","B5",2008
"0102-5767","LETRAS / LINGUÍSTICA                              ","Cadernos de Estudos Linguísticos (UNICAMP)","A1",2008
"1413-0238","LETRAS / LINGUÍSTICA                              ","Cadernos de Letras (UFRJ)","B1",2008
"1413-053X","LETRAS / LINGUÍSTICA                              ","Cadernos de Letras da UFF","B1",2008
"1415-7977","LETRAS / LINGUÍSTICA                              ","Cadernos de Língua e Literatura Hebraica","B1",2008
"1415-5117","LETRAS / LINGUÍSTICA                              ","Cadernos de Língua Portuguesa","B4",2008
"0104-9712","LETRAS / LINGUÍSTICA                              ","Cadernos de Linguagem e Sociedade","B2",2008
"1413-652X","LETRAS / LINGUÍSTICA                              ","Cadernos de Literatura Brasileira","A2",2008
"1645-1112","LETRAS / LINGUÍSTICA                              ","Cadernos de Literatura Comparada","B1",2008
"1676-8272","LETRAS / LINGUÍSTICA                              ","Cadernos de Literatura e Diversidade (UEFS)","B5",2008
"1981-2558","LETRAS / LINGUÍSTICA                              ","Cadernos de Literatura em Tradução","B5",2008
"1678-1848","LETRAS / LINGUÍSTICA                              ","Cadernos de Pedagogia (Patos de Minas)","B5",2008
"1518-7640","LETRAS / LINGUÍSTICA                              ","Cadernos de Pesquisa do CDHIS (UFU. Impresso)","B5",2008
"1808-3137","LETRAS / LINGUÍSTICA                              ","Cadernos de Pesquisas em Linguística (PUCRS)","B3",2008
"1982-8853","LETRAS / LINGUÍSTICA                              ","Cadernos de Pesquisas em Literatura","B5",2008
"1809-4163","LETRAS / LINGUÍSTICA                              ","Cadernos de Pós Graduação em Letras (Online)","B3",2008
"1516-0793","LETRAS / LINGUÍSTICA                              ","Cadernos de Pós-Graduação","B5",2008
