"1346-3969","MATERIAIS                                         ","Acoustical Science and Technology","B3",2008
"1742-7061","MATERIAIS                                         ","Acta Biomaterialia","A1",2008
"0326-2383","MATERIAIS                                         ","Acta Farmacéutica Bonaerense","C ",2008
"1359-6454","MATERIAIS                                         ","Acta Materialia (Oxford)","A1",2008
"1438-1656","MATERIAIS                                         ","Advanced Engineering Materials (Print)","A2",2008
"1616-301X","MATERIAIS                                         ","Advanced Functional Materials (Print)","A1",2008
"0935-9648","MATERIAIS                                         ","Advanced Materials (Weinheim Print)","A1",2008
"1615-4150","MATERIAIS                                         ","Advanced Synthesis & Catalysis (Print)","A2",2008
"1743-6753","MATERIAIS                                         ","Advances in Applied Ceramics (Print)","B2",2008
"0001-8686","MATERIAIS                                         ","Advances in Colloid and Interface Science (Print)","A2",2008
"1662-0356","MATERIAIS                                         ","Advances in Science and Technology (Online)","B4",2008
"1440-0731","MATERIAIS                                         ","Advances in Technology of Materials and Materials Processing","B2",2008
"1684-5315","MATERIAIS                                         ","African Journal of Biotechnology","B3",2008
"0002-7812","MATERIAIS                                         ","American Ceramic Society Bulletin","B2",2008
"1546-9239","MATERIAIS                                         ","American Journal of Applied Sciences","B3",2008
"0002-9505","MATERIAIS                                         ","American Journal of Physics","B2",2008
"0003-2654","MATERIAIS                                         ","Analyst (London. 1877. Print)","A2",2008
"1677-3055","MATERIAIS                                         ","Analytica (São Paulo)","C ",2008
"0003-2670","MATERIAIS                                         ","Analytica Chimica Acta (Print)","A2",2008
"1618-2642","MATERIAIS                                         ","Analytical and Bioanalytical Chemistry","B1",2008
"0003-2700","MATERIAIS                                         ","Analytical Chemistry (Washington)","A2",2008
"0910-6340","MATERIAIS                                         ","Analytical Sciences","B1",2008
"1433-7851","MATERIAIS                                         ","Angewandte Chemie (International ed. Print)","A2",2008
"0926-860X","MATERIAIS                                         ","Applied Catalysis. A, General (Print)","A2",2008
"0926-3373","MATERIAIS                                         ","Applied Catalysis. B, Environmental (Print)","A2",2008
"0175-7598","MATERIAIS                                         ","Applied Microbiology and Biotechnology","B2",2008
"0003-6935","MATERIAIS                                         ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","B1",2008
"0003-6951","MATERIAIS                                         ","Applied Physics Letters","A1",2008
"1432-0630","MATERIAIS                                         ","Applied Physics. A, Materials Science & Processing (Internet)","B1",2008
"0947-8396","MATERIAIS                                         ","Applied Physics. A, Materials Science & Processing (Print)","B1",2008
"0946-2171","MATERIAIS                                         ","Applied Physics. B, Lasers and Optics (Print)","B1",2008
"1430-6395","MATERIAIS                                         ","Applied Rheology (Print)","B2",2008
"0003-7028","MATERIAIS                                         ","Applied Spectroscopy","B1",2008
"0169-4332","MATERIAIS                                         ","Applied Surface Science","B1",2008
"0090-4341","MATERIAIS                                         ","Archives of Environmental Contamination and Toxicology (Print)","B2",2008
"0365-0979","MATERIAIS                                         ","Arquivos de Biologia e Tecnologia (Cessou em 1997. Cont. ISSN 1516-8913 Brazilian Archives of Biology and Technology (Impresso))","B5",2008
"0160-564X","MATERIAIS                                         ","Artificial Organs","B2",2008
"0155-0640","MATERIAIS                                         ","Australian Review of Applied Linguistics (Print)","C ",2008
"1515-1565","MATERIAIS                                         ","Avances en Análisis por Técnicas de Rayos X","B4",2008
"1024-2422","MATERIAIS                                         ","Biocatalysis and Biotransformation (Print)","B2",2008
"0829-8211","MATERIAIS                                         ","Biochemistry and Cell Biology (Print)","B4",2008
"0005-2736","MATERIAIS                                         ","Biochimica et Biophysica Acta. Biomembranes","B2",2008
"1570-9639","MATERIAIS                                         ","Biochimica et Biophysica Acta. Proteins and Proteomics","B2",2008
"1525-7797","MATERIAIS                                         ","Biomacromolecules","A1",2008
"1615-7591","MATERIAIS                                         ","Bioprocess and Biosystems Engineering (Print)","B1",2008
"0960-8524","MATERIAIS                                         ","Bioresource Technology","B1",2008
"1414-4522","MATERIAIS                                         ","Biotecnologia Ciência & Desenvolvimento (Impresso)","C ",2008
"1518-9082","MATERIAIS                                         ","Boletim Técnico da Faculdade de Tecnologia de São Paulo","C ",2008
"0366-3175","MATERIAIS                                         ","Boletín de la Sociedad Española de Cerámica y Vidrio","B3",2008
"1516-8913","MATERIAIS                                         ","Brazilian Archives of Biology and Technology (Impresso)","B2",2008
"0104-6632","MATERIAIS                                         ","Brazilian Journal of Chemical Engineering (Impresso)","B1",2008
"1415-7004","MATERIAIS                                         ","Brazilian Journal of Materials Science and Engineering","B3",2008
"0100-879X","MATERIAIS                                         ","Brazilian Journal of Medical and Biological Research (Impresso)","B4",2008
"1677-3217","MATERIAIS                                         ","Brazilian Journal of Oral Sciences (Impresso)","B4",2008
"0103-9733","MATERIAIS                                         ","Brazilian Journal of Physics (Impresso)","B2",2008
"1806-8324","MATERIAIS                                         ","Brazilian Oral Research (Impresso)","B3",2008
"0967-9782","MATERIAIS                                         ","British Ceramic Transactions","B3",2008
"0360-1323","MATERIAIS                                         ","Building and Environment","B2",2008
"0250-4707","MATERIAIS                                         ","Bulletin of Materials Science","B3",2008
"1982-1816","MATERIAIS                                         ","Cadernos UniFOA (Online)","C ",2008
"1205-6685","MATERIAIS                                         ","Canadian Journal of Analytical Sciences and Spectroscopy","B3",2008
"0008-4166","MATERIAIS                                         ","Canadian Journal of Microbiology (Print)","B5",2008
"0144-8617","MATERIAIS                                         ","Carbohydrate Polymers","A2",2008
"0008-6215","MATERIAIS                                         ","Carbohydrate Research (Chicago, Ill.. Print)","B1",2008
"0008-6223","MATERIAIS                                         ","Carbon (New York)","A2",2008
"0008-6568","MATERIAIS                                         ","Caries Research","B2",2008
"1566-7367","MATERIAIS                                         ","Catalysis Communications (Print)","B1",2008
"1011-372X","MATERIAIS                                         ","Catalysis Letters","B1",2008
"0920-5861","MATERIAIS                                         ","Catalysis Today (Print)","A2",2008
"1478-2421","MATERIAIS                                         ","Cellular Polymers (Online)","B5",2008
"0958-9465","MATERIAIS                                         ","Cement & Concrete Composites","B2",2008
"0196-6219","MATERIAIS                                         ","Ceramic Engineering and Science Proceedings","B4",2008
