"1516-1528","MEDICINA III                                      ","@rquivos da Fundação Otorrinolaringologia","B5",2008
"1677-7530","MEDICINA III                                      ","@rquivos de Otorrinolaringologia (Cessou em 2005. Cont. 1809-4872 @rquivos Internacionais de Otorrinolaringologia)","C ",2008
"1809-4872","MEDICINA III                                      ","@rquivos internacionais de otorrinolaringologia (Impresso)","B5",2008
"1809-4856","MEDICINA III                                      ","@rquivos internacionais de otorrinolaringologia (Online)","B5",2008
"0102-6720","MEDICINA III                                      ","ABCD. Arquivos Brasileiros de Cirurgia Digestiva","B5",2008
"1547-1608","MEDICINA III                                      ","ACS Surgery (Print)","C ",2008
"0001-5172","MEDICINA III                                      ","Acta Anaesthesiologica Scandinavica","B1",2008
"0103-555X","MEDICINA III                                      ","Acta AWHO (Impresso) (Cessou em 2001. Cont. ISSN 1678-2143 Acta AWHO (Online))","C ",2008
"1784-3421","MEDICINA III                                      ","Acta Chirurgica Belgica (English ed.)","B3",2008
"0102-8650","MEDICINA III                                      ","Acta Cirúrgica Brasileira (Impresso)","B2",2008
"1678-2674","MEDICINA III                                      ","Acta Cirúrgica Brasileira (Online)","B2",2008
"0001-5512","MEDICINA III                                      ","Acta Clinica Belgica (Ed. multilingue) (Cessou em 1997. Cont. ISSN 1784-3286 Acta Clinica Belgica (English ed.)","B2",2008
"0001-5547","MEDICINA III                                      ","Acta Cytologica","B2",2008
"0104-7795","MEDICINA III                                      ","Acta Fisiatrica (USP)","B5",2008
"0300-9033","MEDICINA III                                      ","Acta Gastroenterológica Latinoamericana","B3",2008
"0870-399X","MEDICINA III                                      ","Acta Médica Portuguesa","B3",2008
"0001-6268","MEDICINA III                                      ","Acta Neurochirurgica","B1",2008
"1646-5830","MEDICINA III                                      ","Acta Obstetrica e Ginecologica Portuguesa","B4",2008
"0001-6349","MEDICINA III                                      ","Acta Obstetricia et Gynecologica Scandinavica","B1",2008
"1509-409X","MEDICINA III                                      ","Acta of Bioengineering and Biomechanics","B3",2008
"0100-3127","MEDICINA III                                      ","Acta Oncologica Brasileira (Cessou em 2004. Cont. ISSN 1808-5512 Applied Cancer Research (Impresso))","B5",2008
"1395-3907","MEDICINA III                                      ","Acta Ophthalmologica Scandinavica (Cessou em 2007. Cont. ISSN 1755-375X Acta Ophthalmologica (2008. Print))","B3",2008
"1809-8770","MEDICINA III                                      ","Acta ORL","C ",2008
"1413-7852","MEDICINA III                                      ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0001-6489","MEDICINA III                                      ","Acta Oto-Laryngologica","B2",2008
"0392-100X","MEDICINA III                                      ","Acta Otorhinolaryngologica Italica (Testo stampato)","B3",2008
"0103-2100","MEDICINA III                                      ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","C ",2008
