"0326-2383","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Acta Farmacéutica Bonaerense","B4",2008
"1415-6814","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"1807-8621","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Acta Scientiarum. Agronomy (Online)","B3",2008
"0104-7507","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Agora (UNC)","B5",2008
"1414-0454","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Ágora (UNISC)","B5",2008
"1413-2591","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Alcance (UNIVALI) (Cessou em 2007)","B4",2008
"1809-4058","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Amazônia (Banco da Amazônia. 2005)","C ",2008
"1980-5128","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Amazônia (UFPA. 2004)","B4",2008
"1678-8621","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Ambiente Construído (Online)","B1",2008
"1414-753X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Ambiente e Sociedade (Campinas)","B2",2008
"0090-0036","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","American Journal of Public Health (1971)","A1",2008
"1936-797X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Americas Quarterly","C ",2008
"0001-3765","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Anais da Academia Brasileira de Ciências (Impresso)","B3",2008
"0003-2573","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Análise Social","B1",2008
"0273-2289","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Applied Biochemistry and Biotechnology","B1",2008
"1809-5879","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquitetura e Urbanismo","B5",2008
"1808-5741","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquiteturarevista (UNISINOS)","B3",2008
"1809-6298","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquitextos (São Paulo)","B3",2008
"0066-782X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquivos Brasileiros de Cardiologia (Impresso)","B3",2008
"1415-076X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquivos de Ciências da Saúde da UNIPAR (Impresso)","B5",2008
"0004-282X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquivos de Neuro-Psiquiatria (Impresso)","B2",2008
"0020-3653","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Arquivos do Instituto Biológico (Impresso)","B4",2008
"1516-8603","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","ArtCultura (UFU)","B2",2008
"0210-4466","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Asclepio (Madrid)","B3",2008
"0197-4254","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Atlantic Economic Journal","B2",2008
"1278-3986","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Autrepart (La Tour d'Aigues)","B2",2008
"0103-8117","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Bahia Analise & Dados","B4",2008
"1414-6339","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Benjamin Constant (Rio de Janeiro)","B4",2008
"1806-4272","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","BEPA. Boletim Epidemiológico Paulista (Online)","B4",2008
"1138-9796","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Biblio 3w (Barcelona)","A2",2008
"0006-3444","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Biometrika (London)","A2",2008
"1516-3725","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Bioscience Journal (UFU. Impresso)","B4",2008
"0103-1643","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Biotemas (UFSC)","B5",2008
"0730-7659","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Birth (Berkeley, Calif.)","B2",2008
"0006-5218","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Blumenau em Cadernos","B5",2008
"1808-1320","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Boletim Estatísticas Públicas","C ",2008
"0101-7888","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Boletim Gaúcho de Geografia","B3",2008
"0102-549X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Boletim Técnico do SENAC","B3",2008
"0717-7917","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas","B5",2008
"0006-8705","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Bragantia (São Paulo, SP. Impresso)","B2",2008
"0103-9288","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Brasil em Números (1992. Impresso) (Cessou em 1996)","C ",2008
"0100-879X","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Brazilian Journal of Medical and Biological Research (Impresso)","B1",2008
"1679-8171","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Brazilian Journal of Operations and Production Management","B3",2008
"0074-8609","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Bulletin of the International Statistical Institute","B1",2008
"0103-4979","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Caderno CRH (UFBA. Impresso)","B2",2008
"0103-8427","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Caderno de Geografia (PUCMG. Impresso)","B5",2008
"1516-9286","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Caderno Espaço Feminino (UFU)","B4",2008
"1807-3492","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Caderno Pós Ciências Sociais (UFMA) (Cessou em 2005. Cont. 1983-4527 Revista Pós Ciências Sociais (UFMA))","B5",2008
"1677-6976","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Caderno Virtual de Turismo (UFRJ)","B4",2008
"1518-0395","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Cadernos Camilliani","B5",2008
"0104-1495","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Cadernos da FCECA (PUCCAMP)","B4",2008
"1413-2095","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Cadernos de Arquitetura e Urbanismo (PUCMG)","B3",2008
"1415-3939","PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ","Cadernos de Economia (UNOESC. Impresso)","C ",2008
