"1414-915X","QUÍMICA                                           ","(Syn)Thesis (Rio de Janeiro)","C ",2008
"1528-7106","QUÍMICA                                           ","AACE International Transactions","C ",2008
"0065-7727","QUÍMICA                                           ","Abstracts of Papers - American Chemical Society (Cessou em 2005)","C ",2008
"0001-4842","QUÍMICA                                           ","Accounts of Chemical Research","A1",2008
"1936-0851","QUÍMICA                                           ","ACS Nano","A1",2008
"0097-6156","QUÍMICA                                           ","ACS Symposium Series","C ",2008
"0139-3006","QUÍMICA                                           ","Acta Alimentaria (Print)","B5",2008
"0044-5967","QUÍMICA                                           ","Acta Amazonica (Impresso)","B3",2008
"1742-7061","QUÍMICA                                           ","Acta Biomaterialia","A2",2008
"0102-3306","QUÍMICA                                           ","Acta Botanica Brasílica (Impresso)","C ",2008
"1318-0207","QUÍMICA                                           ","Acta Chimica Slovenica (Print ed.)","B3",2008
"0102-8650","QUÍMICA                                           ","Acta Cirúrgica Brasileira (Impresso)","C ",2008
"0108-7673","QUÍMICA                                           ","Acta Crystallographica. Section A, Foundations of Crystallography","B1",2008
"0108-7681","QUÍMICA                                           ","Acta Crystallographica. Section B, Structural Science","B1",2008
"0108-2701","QUÍMICA                                           ","Acta Crystallographica. Section C, Crystal Structure Communications.","B4",2008
"0907-4449","QUÍMICA                                           ","Acta Crystallographica. Section D, Biological Crystallography","B1",2008
"1600-5368","QUÍMICA                                           ","Acta Crystallographica. Section E","B4",2008
"1744-3091","QUÍMICA                                           ","Acta Crystallographica. Section F","B4",2008
"0326-2383","QUÍMICA                                           ","Acta Farmacéutica Bonaerense","B5",2008
"0323-4320","QUÍMICA                                           ","Acta Hydrochimica et Hydrobiologica (Cessou em 2006)","B4",2008
"1359-6454","QUÍMICA                                           ","Acta Materialia (Oxford)","A2",2008
"1678-0345","QUÍMICA                                           ","Acta Scientiae Veterinariae (UFRGS. Impresso)","C ",2008
"1807-8672","QUÍMICA                                           ","Acta Scientiarum. Animal Sciences","C ",2008
"0001-706X","QUÍMICA                                           ","Acta Tropica","B1",2008
"0001-723X","QUÍMICA                                           ","Acta Virologica (English ed.)","B4",2008
"1510-8139","QUÍMICA                                           ","Actas Odontológicas (Facultad de Odontología de la Universidad Católica del Uruguay )","C ",2008
"1518-0204","QUÍMICA                                           ","Activity Report (Laboratório Nacional de Luz Síncrotron)","C ",2008
"0929-5607","QUÍMICA                                           ","Adsorption (Boston)","B3",2008
"0263-6174","QUÍMICA                                           ","Adsorption Science & Technology","B5",2008
"1616-301X","QUÍMICA                                           ","Advanced Functional Materials (Print)","A1",2008
"0935-9648","QUÍMICA                                           ","Advanced Materials (Weinheim Print)","A1",2008
"1615-4150","QUÍMICA                                           ","Advanced Synthesis & Catalysis (Print)","A1",2008
"0065-3055","QUÍMICA                                           ","Advances in Organometallic Chemistry","A2",2008
"0730-6679","QUÍMICA                                           ","Advances in Polymer Technology (Print)","B3",2008
"0065-3276","QUÍMICA                                           ","Advances in Quantum Chemistry","A2",2008
"1662-0356","QUÍMICA                                           ","Advances in Science and Technology (Online)","C ",2008
"1021-3589","QUÍMICA                                           ","African Entomology","B5",2008
"1684-5315","QUÍMICA                                           ","African Journal of Biotechnology","B4",2008
"1677-6550","QUÍMICA                                           ","Ágora (Campo Grande)","C ",2008
"1981-1160","QUÍMICA                                           ","Agrária (UFPE. Impresso)","C ",2008
"1984-252X","QUÍMICA                                           ","Agrarian (Dourados. Impresso)","C ",2008
"1461-9555","QUÍMICA                                           ","Agricultural and Forest Entomology (Print)","B3",2008
