"1809-8630","SAÚDE COLETIVA                                    ","ABRAMET. Associação Brasileira de Medicina de Tráfego","B5",2008
"1807-9792","SAÚDE COLETIVA                                    ","Abstracta : linguagem, mente e ação (Niterói)","C ",2008
"1040-2446","SAÚDE COLETIVA                                    ","Academic Medicine","B1",2008
"1806-9436","SAÚDE COLETIVA                                    ","Ação & Movimento (Rio de Janeiro)","B5",2008
"1056-8751","SAÚDE COLETIVA                                    ","ACP Journal Club (Cessou em 2008)","B2",2008
"0044-5967","SAÚDE COLETIVA                                    ","Acta Amazonica (Impresso)","B4",2008
"0102-8650","SAÚDE COLETIVA                                    ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"0001-5547","SAÚDE COLETIVA                                    ","Acta Cytologica","B1",2008
"0326-2383","SAÚDE COLETIVA                                    ","Acta Farmacéutica Bonaerense","B2",2008
"0104-7795","SAÚDE COLETIVA                                    ","Acta Fisiatrica (USP)","B3",2008
"0300-9033","SAÚDE COLETIVA                                    ","Acta Gastroenterológica Latinoamericana","B2",2008
"0102-6712","SAÚDE COLETIVA                                    ","Acta Limnológica Brasiliensia","B5",2008
"0870-399X","SAÚDE COLETIVA                                    ","Acta Médica Portuguesa","B3",2008
"0001-6349","SAÚDE COLETIVA                                    ","Acta Obstetricia et Gynecologica Scandinavica","A2",2008
"1413-7852","SAÚDE COLETIVA                                    ","Acta Ortopédica Brasileira (Impresso)","B4",2008
"0392-100X","SAÚDE COLETIVA                                    ","Acta Otorhinolaryngologica Italica (Testo stampato)","B2",2008
"0803-5253","SAÚDE COLETIVA                                    ","Acta Paediatrica (Oslo)","B1",2008
"0103-2100","SAÚDE COLETIVA                                    ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","B4",2008
"0001-6640","SAÚDE COLETIVA                                    ","Acta Pediátrica Española","B3",2008
"0001-690X","SAÚDE COLETIVA                                    ","Acta Psychiatrica Scandinavica","B1",2008
"0303-464X","SAÚDE COLETIVA                                    ","Acta Reumatológica Portuguesa","B4",2008
"1415-6814","SAÚDE COLETIVA                                    ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"1807-863X","SAÚDE COLETIVA                                    ","Acta Scientiarum. Biological Sciences (Online)","B4",2008
"1679-9291","SAÚDE COLETIVA                                    ","Acta Scientiarum. Health Sciences (Impresso)","B3",2008
"1807-8648","SAÚDE COLETIVA                                    ","Acta Scientiarum. Health Sciences (Online)","B3",2008
"0001-706X","SAÚDE COLETIVA                                    ","Acta Tropica","B1",2008
"0001-723X","SAÚDE COLETIVA                                    ","Acta Virologica (English ed.)","B2",2008
"0965-2140","SAÚDE COLETIVA                                    ","Addiction (Abingdon. Print)","A1",2008
"0001-8082","SAÚDE COLETIVA                                    ","Addiction (Toronto)","B5",2008
"0306-4603","SAÚDE COLETIVA                                    ","Addictive Behaviors","A2",2008
"1679-9941","SAÚDE COLETIVA                                    ","Adolescência & Saúde (UERJ)","B5",2008
"0065-2164","SAÚDE COLETIVA                                    ","Advances in Applied Microbiology","B1",2008
"1382-4996","SAÚDE COLETIVA                                    ","Advances in Health Sciences Education","B2",2008
"0364-216X","SAÚDE COLETIVA                                    ","Aesthetic Plastic Surgery","B2",2008
"0002-0591","SAÚDE COLETIVA                                    ","Afro-Ásia (UFBA. Impresso)","B5",2008
"1360-7863","SAÚDE COLETIVA                                    ","Aging & Mental Health (Print)","B1",2008
"1594-0667","SAÚDE COLETIVA                                    ","Aging Clinical and Experimental Research (Testo stampato)","B1",2008
