"1950-196X","SOCIOLOGIA                                        ","2050 / Deux Mille Cinquante","C ",2008
"0011-7641","SOCIOLOGIA                                        ","A Defesa Nacional","C ",2008
"0102-700X","SOCIOLOGIA                                        ","Acervo (Rio de Janeiro)","B3",2008
"1677-8855","SOCIOLOGIA                                        ","Achegas.net","B5",2008
"0354-9542","SOCIOLOGIA                                        ","Acta Agriculturae Serbica","B4",2008
"1679-7361","SOCIOLOGIA                                        ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B3",2008
"0335-5322","SOCIOLOGIA                                        ","Actes de la Recherche en Sciences Sociales","A1",2008
"0994-4524","SOCIOLOGIA                                        ","Actuel Marx","B3",2008
"1679-0235","SOCIOLOGIA                                        ","Administração em Pauta","C ",2008
"1808-883X","SOCIOLOGIA                                        ","Advérbio (FAG)","B5",2008
"0874-2375","SOCIOLOGIA                                        ","Africana Studia","B4",2008
"0002-0591","SOCIOLOGIA                                        ","Afro-Ásia (UFBA. Impresso)","B2",2008
"1130-3557","SOCIOLOGIA                                        ","Agalia (A Corunha)","B2",2008
"1981-9862","SOCIOLOGIA                                        ","Agenda Social (UENF)","B5",2008
"1414-0454","SOCIOLOGIA                                        ","Ágora (UNISC)","B5",2008
"1808-1150","SOCIOLOGIA                                        ","Agrária (São Paulo. Online)","B2",2008
"0044-6793","SOCIOLOGIA                                        ","Agricultura em São Paulo (Impresso) (Cessou em 2006. Cont. ISSN 1981-4771 Revista de Economia Agrícola (Impresso)","B5",2008
"1166-7699","SOCIOLOGIA                                        ","Agricultures (Montrouge) / Cahiers d'Études et de Recherches Francophones","B1",2008
"0100-4298","SOCIOLOGIA                                        ","Agroanalysis (FGV)","C ",2008
"0954-0121","SOCIOLOGIA                                        ","AIDS Care (Print)","A2",2008
"0889-2229","SOCIOLOGIA                                        ","AIDS Research and Human Retroviruses","A2",2008
"1851-7145","SOCIOLOGIA                                        ","Alambre (Buenos Aires)","B3",2008
"1518-8728","SOCIOLOGIA                                        ","Alceu (PUCRJ)","B4",2008
"1413-0394","SOCIOLOGIA                                        ","Aletheia (ULBRA)","B4",2008
"1518-7551","SOCIOLOGIA                                        ","Alfabetização e Cidadania (São Paulo)","B5",2008
"1205-8009","SOCIOLOGIA                                        ","Altérités - Revue québecoise des étudiants en anthropologie","B5",2008
"0252-886X","SOCIOLOGIA                                        ","Amazonia Peruana","B4",2008
"1413-8638","SOCIOLOGIA                                        ","Ambiente & Educação (FURG)","B5",2008
"1809-4422","SOCIOLOGIA                                        ","Ambiente & Sociedade (Online)","B2",2008
"1981-4127","SOCIOLOGIA                                        ","Ambiente : Gestão e Desenvolvimento (UERR)","C ",2008
"1678-8621","SOCIOLOGIA                                        ","Ambiente Construído (Online)","B4",2008
"1414-753X","SOCIOLOGIA                                        ","Ambiente e Sociedade (Campinas)","B1",2008
