"0101-9163","ZOOTECNIA / RECURSOS PESQUEIROS                   ","A Hora Veterinária","B5",2008
"0001-5113","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Adriatica","B3",2008
"0906-4702","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Agriculturae Scandinavica. Section A, Animal Science","B1",2008
"0044-5967","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Amazonica (Impresso)","B2",2008
"0120-548X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Biologica Colombiana","B4",2008
"0102-3306","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Botanica Brasílica (Impresso)","B4",2008
"0102-8650","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Cirúrgica Brasileira (Impresso)","B3",2008
"1678-2674","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Cirúrgica Brasileira (Online)","B3",2008
"0567-7572","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Horticulturae","B5",2008
"0102-6712","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Limnológica Brasiliensia","B5",2008
"1146-609X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Oecologica (Montrouge)","A2",2008
"0065-1583","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Protozoologica (Druk)","C ",2008
"1679-9216","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiae Veterinariae (Online)","B4",2008
"1678-0345","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiae Veterinariae (UFRGS. Impresso)","B4",2008
"1415-6814","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum (UEM) (Cessou em 2002)","B3",2008
"1679-9275","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Agronomy (Impresso)","B3",2008
"1807-8621","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Agronomy (Online)","B3",2008
"1807-8672","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Animal Sciences","B2",2008
"1679-9283","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Biological Sciences (Impresso)","B3",2008
"1807-863X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Biological Sciences (Online)","B3",2008
"1679-9291","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Health Sciences (Impresso)","B3",2008
"1806-2563","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Technology (Impresso)","B3",2008
"1807-8664","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Technology (Online)","B3",2008
"1806-2636","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Scientiarum. Zootechny","B3",2008
"0001-706X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Tropica","A2",2008
"1981-5484","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Acta Veterinaria Brasilica (UFERSA)","B5",2008
"0304-3584","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Actualidades Biologicas","B4",2008
"1991-637X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","African Journal of Agricultural Research","B5",2008
"1814-232X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","African Journal of Marine Science (Print)","C ",2008
"1022-0119","ZOOTECNIA / RECURSOS PESQUEIROS                   ","African Journal of Range & Forage Science","B3",2008
"1981-0997","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrária (Recife. Online)","B4",2008
"1981-1160","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrária (UFPE. Impresso)","B4",2008
"1984-252X","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrarian (Dourados. Impresso)","C ",2008
"1984-2538","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrarian (Dourados. Online)","C ",2008
"0100-4298","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agroanalysis (FGV)","B5",2008
"1405-3195","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrociencia (Montecillo)","B1",2008
"0167-4366","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agroforestry Systems (Print)","C ",2008
"0002-1962","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agronomy Journal (Print)","A2",2008
"0103-0779","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agropecuária Catarinense","B5",2008
"1415-6822","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agropecuária Clima Temperado (Pelotas)","B5",2008
"0100-7467","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agropecuária Técnica (UFPB)","B5",2008
"1806-9215","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Agrossilvicultura (Viçosa)","C ",2008
"0300-5755","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Alimentaria (Madrid)","B4",2008
"0103-4235","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Alimentos e Nutrição (UNESP. Marilia)","B5",2008
"0971-4693","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Allelopathy Journal","B1",2008
"1809-4058","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Amazônia (Banco da Amazônia. 2005)","C ",2008
"1808-0251","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Ambiência (UNICENTRO)","C ",2008
"0365-0596","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Anais Brasileiros de Dermatologia (Impresso)","B3",2008
"0001-3765","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Anais da Academia Brasileira de Ciências (Impresso)","A2",2008
"0213-5434","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Anales de Veterinaria de Murcia","B4",2008
"1677-3055","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Analytica (São Paulo)","C ",2008
"0340-2096","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Anatomia, Histologia, Embryologia","B1",2008
"1751-7311","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Animal (Cambridge. Print)","A2",2008
"0003-3472","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Animal Behaviour","C ",2008
"0377-8401","ZOOTECNIA / RECURSOS PESQUEIROS                   ","Animal Feed Science and Technology (Print)","A2",2008
